run_id,window_index,n_samples,rtt_samples,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,total_bytes,total_packets,active_flows,label
CONT_s10_bola_BigBuckBunny,1,99,99,1.19092,1.795667,0.355973,18.803914,26.898612,54.23638,0.949367,12,132.186342,177.082186,33.525401,1506756,1264,4,Good
CONT_s10_bola_BigBuckBunny,2,99,71,0.953566,1.884529,0.0,18.803914,24.949278,86.836231,1.432958,14,123.413228,156.774743,37.561281,1207287,977,4,Good
CONT_s10_bola_BigBuckBunny,3,98,98,1.081699,0.119491,0.751094,1.317473,41.093917,85.599877,0.0,0,116.001635,162.908918,35.297696,1361321,1322,5,Good
CONT_s10_bola_BigBuckBunny,4,98,98,1.083636,0.11563,0.937274,1.223759,39.059908,76.643012,0.0,0,107.51546,137.089006,31.799303,1366704,1352,6,Degraded
CONT_s10_bola_BigBuckBunny,5,98,50,0.543021,0.554483,0.0,1.642335,15.689858,79.64774,0.0,0,71.374222,145.418715,26.869527,684520,649,2,Degraded
CONT_s10_bola_BigBuckBunny,6,98,38,0.359725,0.502217,0.0,1.677121,28.466811,132.06707,0.536193,2,118.151181,170.857327,50.426846,453772,373,2,Degraded
CONT_s10_bola_BigBuckBunny,7,98,98,0.849349,0.166311,0.352868,1.28838,46.39986,110.025377,0.101317,1,136.725982,206.577182,43.945381,1075933,987,5,Degraded
CONT_s10_bola_BigBuckBunny,8,98,98,0.847971,0.20271,0.467336,1.397992,46.940631,101.533645,0.0,0,149.208975,213.954503,44.655674,1075180,949,4,Good
CONT_s10_bola_BigBuckBunny,9,97,82,0.709493,0.389219,0.0,1.403362,22.439389,36.240925,0.0,0,138.159413,184.358702,43.018872,890182,737,2,Good
CONT_s10_bola_BigBuckBunny,10,98,78,0.534402,0.356372,0.0,1.402052,38.179274,64.307905,2.268761,13,179.075925,251.145135,67.5419,677267,573,2,Good
CONT_s10_bola_BigBuckBunny,11,98,92,0.574046,0.247138,0.0,1.167459,35.086702,41.504227,0.0,0,200.885348,251.676086,51.933461,727565,608,2,Good
CONT_s10_bola_BigBuckBunny,12,97,96,0.573372,0.181777,0.0,1.058533,60.01673,106.659302,0.0,0,235.573378,312.657377,56.034509,720129,647,4,Good
CONT_s10_bola_BigBuckBunny,13,97,76,2.656752,17.979715,0.0,174.596959,57.327288,107.448744,0.412139,11,230.475132,310.930376,80.163679,3345912,2669,4,Good
CONT_s10_bola_BigBuckBunny,14,98,55,0.321342,0.31863,0.0,1.194528,39.914971,124.652351,0.0,0,221.102336,318.820489,110.010255,408473,336,3,Degraded
CONT_s10_bola_BigBuckBunny,15,97,53,0.320162,0.316456,0.0,1.196834,40.28581,102.877855,0.0,0,226.419584,319.222951,84.571186,402956,326,2,Degraded
CONT_s10_bola_BigBuckBunny,16,97,50,0.317352,0.336451,0.0,1.19568,45.429486,142.59483,0.0,0,220.167103,318.455351,99.286291,399421,320,2,Degraded
CONT_s10_bola_BigBuckBunny,17,98,53,0.330263,0.330466,0.0,1.194528,31.253622,74.073455,0.0,0,237.262206,319.149189,96.405554,419968,340,2,Degraded
CONT_s10_bola_BigBuckBunny,18,97,74,0.799916,3.242555,0.0,31.401305,50.816946,142.059821,0.988875,8,221.733143,319.061267,97.593572,1008607,809,2,Degraded
CONT_s10_bola_BigBuckBunny,19,97,59,0.150558,0.176046,0.0,1.328756,46.68515,182.138461,12.173913,28,322.761336,583.074856,155.760984,189481,230,2,Degraded
CONT_s10_bola_BigBuckBunny,20,98,72,0.200561,0.155443,0.0,0.582604,60.540069,99.205165,8.66426,24,378.715588,612.915162,200.539021,255191,277,4,Degraded
CONT_s10_bola_BigBuckBunny,21,125,103,0.185738,0.145306,0.0,1.318807,73.972296,183.286831,8.595989,30,273.410367,606.836203,176.931154,301844,349,4,Critical
CONT_s10_bola_BigBuckBunny,22,97,68,0.18638,0.182936,0.0,1.17898,49.769925,97.856221,8.267717,21,275.043972,508.789526,160.661964,235077,254,2,Critical
CONT_s10_bola_BigBuckBunny,23,97,41,0.144166,0.170192,0.0,0.350829,54.097817,131.507617,0.0,0,461.427876,509.011431,125.545336,181810,162,2,Critical
CONT_s10_bola_BigBuckBunny,24,97,40,0.143422,0.172378,0.0,0.443237,53.144873,132.516914,0.0,0,440.261109,508.997663,146.692803,180910,163,2,Critical
CONT_s10_bola_BigBuckBunny,25,97,39,0.139515,0.170767,0.0,0.374154,52.186518,133.262162,0.0,0,463.003963,508.99828,124.915051,175976,157,2,Critical
CONT_s10_bola_BigBuckBunny,26,97,44,0.140139,0.157962,0.0,0.396154,73.252547,238.660001,0.588235,1,617.530274,1434.743819,382.683107,177052,170,4,Critical
CONT_s10_bola_BigBuckBunny,27,100,53,0.144137,0.150733,0.0,0.464645,146.778006,368.861376,0.537634,1,791.166605,1519.289315,430.180765,187597,186,4,Degraded
CONT_s10_bola_BigBuckBunny,28,97,26,0.090754,0.19647,0.0,1.452745,55.272344,255.501489,5.217391,6,407.228533,782.568248,247.205839,114767,115,2,Critical
CONT_s10_bola_BigBuckBunny,29,97,5,0.002279,0.011881,0.0,0.069732,31.56978,505.443605,0.0,0,18.93626,44.34626,16.606648,2886,12,2,Critical
CONT_s10_bola_ElephantsDream,1,99,83,1.457211,6.103604,0.0,61.713176,19.378517,49.578182,0.876601,13,127.693613,171.776938,43.052184,1842283,1483,4,Good
CONT_s10_bola_ElephantsDream,2,99,76,0.833208,0.50997,0.0,1.767664,35.17969,98.864926,0.0,0,125.413449,179.983859,44.533859,1055507,904,4,Good
CONT_s10_bola_ElephantsDream,3,98,98,1.076655,0.267994,0.588277,1.655259,40.779381,57.577462,0.0,0,144.754309,190.570037,37.650653,1353379,1160,5,Good
CONT_s10_bola_ElephantsDream,4,98,94,1.028349,0.318809,0.0,1.650428,35.022548,58.473563,0.0,0,137.44974,190.538913,41.15899,1294476,1095,5,Good
CONT_s10_bola_ElephantsDream,5,99,76,0.827522,0.535261,0.0,2.146056,21.059478,57.687167,0.0,0,124.836706,156.862219,30.010253,1051856,837,2,Good
CONT_s10_bola_ElephantsDream,6,108,108,1.764168,6.976309,0.237741,65.476923,22.435043,27.978747,3.311913,67,132.77734,185.062168,46.561176,2446375,2023,4,Critical
CONT_s10_bola_ElephantsDream,7,98,98,0.847743,0.187002,0.469602,1.307701,54.578329,66.382034,0.0,0,176.021983,217.293519,28.581654,1070486,977,5,Degraded
CONT_s10_bola_ElephantsDream,8,98,65,0.563805,0.436069,0.0,1.440777,43.222929,106.644607,0.0,0,148.907132,181.507019,40.590116,712494,630,4,Degraded
