run_id,window_index,n_samples,rtt_samples,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,total_bytes,total_packets,active_flows,rq_akhir_durasi,rq_akhir_laju_efektif,rq_akhir_slack,rq_akhir_ukuran,rq_akhir_unduh,rq_n_chunk_100s,rq_n_chunk_10s,rq_n_chunk_110s,rq_n_chunk_120s,rq_n_chunk_130s,rq_n_chunk_140s,rq_n_chunk_150s,rq_n_chunk_160s,rq_n_chunk_170s,rq_n_chunk_180s,rq_n_chunk_190s,rq_n_chunk_200s,rq_n_chunk_20s,rq_n_chunk_30s,rq_n_chunk_40s,rq_n_chunk_50s,rq_n_chunk_60s,rq_n_chunk_70s,rq_n_chunk_80s,rq_n_chunk_90s,rq_ukuran_rata_100s,rq_ukuran_rata_10s,rq_ukuran_rata_110s,rq_ukuran_rata_120s,rq_ukuran_rata_130s,rq_ukuran_rata_140s,rq_ukuran_rata_150s,rq_ukuran_rata_160s,rq_ukuran_rata_170s,rq_ukuran_rata_180s,rq_ukuran_rata_190s,rq_ukuran_rata_200s,rq_ukuran_rata_20s,rq_ukuran_rata_30s,rq_ukuran_rata_40s,rq_ukuran_rata_50s,rq_ukuran_rata_60s,rq_ukuran_rata_70s,rq_ukuran_rata_80s,rq_ukuran_rata_90s,rq_unduh_rata_100s,rq_unduh_rata_10s,rq_unduh_rata_110s,rq_unduh_rata_120s,rq_unduh_rata_130s,rq_unduh_rata_140s,rq_unduh_rata_150s,rq_unduh_rata_160s,rq_unduh_rata_170s,rq_unduh_rata_180s,rq_unduh_rata_190s,rq_unduh_rata_200s,rq_unduh_rata_20s,rq_unduh_rata_30s,rq_unduh_rata_40s,rq_unduh_rata_50s,rq_unduh_rata_60s,rq_unduh_rata_70s,rq_unduh_rata_80s,rq_unduh_rata_90s,label
CONT_s10_bola_BigBuckBunny,11,,,0.567541,,,,,,,,,,,,,,4.346,0.529883,0.519,287859.0,3.827,9,0,10,10,10,10,10,10,10,10,10,10,2,4,4,4,5,8,8,8,930458.556,0.0,1143620.1,1143620.1,1143620.1,1143620.1,1143620.1,1143620.1,1143620.1,1143620.1,1143620.1,1143620.1,289270.0,919441.5,919441.5,919441.5,775730.6,1011967.375,1011967.375,1011967.375,7.894445,0.0,9.3431,9.3431,9.3431,9.3431,9.3431,9.3431,9.3431,9.3431,9.3431,9.3431,3.519,9.0275,9.0275,9.0275,7.5724,8.638125,8.638125,8.638125,Good
CONT_s10_bola_BigBuckBunny,12,,,0.583014,,,,,,,,,,,,,,4.346,0.529883,0.519,287859.0,3.827,8,0,9,10,10,10,10,10,10,10,10,10,0,2,4,4,4,5,8,8,1011967.375,0.0,930458.556,1143620.1,1143620.1,1143620.1,1143620.1,1143620.1,1143620.1,1143620.1,1143620.1,1143620.1,0.0,289270.0,919441.5,919441.5,919441.5,775730.6,1011967.375,1011967.375,8.638125,0.0,7.894445,9.3431,9.3431,9.3431,9.3431,9.3431,9.3431,9.3431,9.3431,9.3431,0.0,3.519,9.0275,9.0275,9.0275,7.5724,8.638125,8.638125,Good
CONT_s10_bola_BigBuckBunny,13,,,2.586107,,,,,,,,,,,,,,4.257,0.365237,1.039,194352.0,3.218,10,2,10,11,12,12,12,12,12,12,12,12,2,2,4,6,6,6,7,10,1297185.3,2438057.0,1297185.3,1204567.364,1359359.583,1359359.583,1359359.583,1359359.583,1359359.583,1359359.583,1359359.583,1359359.583,2438057.0,2438057.0,1363663.5,1425646.667,1425646.667,1425646.667,1250681.0,1297185.3,9.8838,14.8665,9.8838,9.162091,10.263667,10.263667,10.263667,10.263667,10.263667,10.263667,10.263667,10.263667,14.8665,14.8665,9.19275,10.973833,10.973833,10.973833,9.656429,9.8838,Good
CONT_s10_bola_BigBuckBunny,14,,,0.317783,,,,,,,,,,,,,,3.84,0.354173,1.037,170003.0,2.803,12,2,12,12,13,14,14,14,14,14,14,14,4,4,4,6,8,8,8,9,1122568.417,249484.0,1122568.417,1122568.417,1057631.462,1200805.929,1200805.929,1200805.929,1200805.929,1200805.929,1200805.929,1200805.929,1343770.5,1343770.5,1343770.5,992270.333,1131606.0,1131606.0,1131606.0,1028192.778,8.928667,4.153,8.928667,8.928667,8.391462,9.390714,9.390714,9.390714,9.390714,9.390714,9.390714,9.390714,9.50975,9.50975,9.50975,7.512833,9.268625,9.268625,9.268625,8.433444,Degraded
CONT_s10_bola_BigBuckBunny,15,,,0.314992,,,,,,,,,,,,,,4.358,0.263827,2.075,143720.0,2.283,11,2,14,14,14,15,16,16,16,16,16,16,4,6,6,6,8,10,10,10,867818.091,146132.0,983077.5,983077.5,983077.5,936098.2,1068971.688,1068971.688,1068971.688,1068971.688,1068971.688,1068971.688,197808.0,944557.667,944557.667,944557.667,780735.75,934511.2,934511.2,934511.2,7.315273,2.2835,7.979357,7.979357,7.979357,7.577067,8.502313,8.502313,8.502313,8.502313,8.502313,8.502313,3.21825,7.101,7.101,7.101,6.2055,7.8716,7.8716,7.8716,Degraded
CONT_s10_bola_BigBuckBunny,16,,,0.329247,,,,,,,,,,,,,,4.253,0.37313,1.037,198365.0,3.216,13,3,14,17,17,17,18,19,19,19,19,19,5,7,9,9,9,11,13,13,758421.769,171457.0,718597.857,839850.353,839850.353,839850.353,808658.0,927258.842,927258.842,927258.842,927258.842,927258.842,161327.0,186514.714,686857.444,686857.444,686857.444,614568.818,758421.769,758421.769,6.693692,2.767333,6.340714,7.059588,7.059588,7.059588,6.775445,7.59679,7.59679,7.59679,7.59679,7.59679,2.5738,3.025,5.656444,5.656444,5.656444,5.267818,6.693692,6.693692,Degraded
CONT_s10_bola_BigBuckBunny,17,,,0.334856,,,,,,,,,,,,,,4.152,0.204794,2.492,106288.0,1.66,15,2,15,16,19,19,19,20,21,21,21,21,5,7,9,11,11,11,13,15,677633.4,152509.0,677633.4,647836.75,767498.632,767498.632,767498.632,743043.1,853473.143,853473.143,853473.143,853473.143,163877.8,158807.571,178957.889,589703.182,589703.182,589703.182,543482.692,677633.4,6.1264,2.439,6.1264,5.853,6.573211,6.573211,6.573211,6.3418,7.105571,7.105571,7.105571,7.105571,2.636,2.535286,2.894778,5.071455,5.071455,5.071455,4.832615,6.1264,Degraded
CONT_s10_bola_BigBuckBunny,18,,,0.718192,,,,,,,,,,,,,,12.149,0.664158,3.529,1008607.0,8.62,16,1,16,16,17,20,20,20,21,22,22,22,3,6,8,10,12,12,12,14,698319.25,1008607.0,698319.25,698319.25,669058.529,779554.05,779554.05,779554.05,755689.0,860524.682,860524.682,860524.682,437875.0,304666.0,265032.5,261922.8,624611.833,624611.833,624611.833,576705.857,6.28225,8.62,6.28225,6.28225,6.015765,6.67555,6.67555,6.67555,6.450286,7.174409,7.174409,7.174409,4.499333,3.633333,3.295875,3.4673,5.367167,5.367167,5.367167,5.103143,Degraded
CONT_s10_bola_BigBuckBunny,19,,,0.202471,,,,,,,,,,,,,,12.149,0.664158,3.529,1008607.0,8.62,14,0,16,16,16,17,20,20,20,21,22,22,1,3,6,8,10,12,12,12,576705.857,0.0,698319.25,698319.25,698319.25,669058.529,779554.05,779554.05,779554.05,755689.0,860524.682,860524.682,1008607.0,437875.0,304666.0,265032.5,261922.8,624611.833,624611.833,624611.833,5.103143,0.0,6.28225,6.28225,6.28225,6.015765,6.67555,6.67555,6.67555,6.450286,7.174409,7.174409,8.62,4.499333,3.633333,3.295875,3.4673,5.367167,5.367167,5.367167,Degraded
CONT_s10_bola_BigBuckBunny,20,,,0.202176,,,,,,,,,,,,,,12.149,0.664158,3.529,1008607.0,8.62,12,0,14,16,16,16,17,20,20,20,21,22,0,1,3,6,8,10,12,12,624611.833,0.0,576705.857,698319.25,698319.25,698319.25,669058.529,779554.05,779554.05,779554.05,755689.0,860524.682,0.0,1008607.0,437875.0,304666.0,265032.5,261922.8,624611.833,624611.833,5.367167,0.0,5.103143,6.28225,6.28225,6.28225,6.015765,6.67555,6.67555,6.67555,6.450286,7.174409,0.0,8.62,4.499333,3.633333,3.295875,3.4673,5.367167,5.367167,Degraded
CONT_s10_bola_BigBuckBunny,21,,,0.184847,,,,,,,,,,,,,,27.017,0.193061,1.56,651991.0,25.457,13,1,13,14,17,17,17,18,20,21,21,21,1,1,2,4,6,8,11,12,626717.923,651991.0,626717.923,602513.714,695594.059,695594.059,695594.059,668110.333,616244.45,773479.619,773479.619,773479.619,651991.0,651991.0,830299.0,491404.0,392227.5,327963.375,297383.545,288797.583,6.912538,25.457,6.912538,6.692143,7.410177,7.410177,7.410177,7.095833,6.4994,7.569905,7.569905,7.569905,25.457,25.457,17.0385,9.73875,7.5475,6.1925,5.466364,5.279,Critical
