run_id,window_index,n_samples,rtt_samples,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,total_bytes,total_packets,active_flows,bytes_kumulatif,pkt_delta_prev,rasio_diam,tp_delta_prev,tp_kumulatif,tp_pendek_max,tp_pendek_mean,tp_pendek_std,tp_rasio_kumulatif,tp_rasio_prev,tp_slot_akhir,label
CONT_s10_bola_BigBuckBunny,11,98,92,0.574046,0.247138,0.0,1.167459,35.086702,41.385815,0.0,0,200.885348,251.648162,51.933461,727565,608,2,12305011,35,0.061224,0.039644,0.811615,0.820426,0.589935,0.200533,0.707289,1.074184,0.587749,Good
CONT_s10_bola_BigBuckBunny,12,97,96,0.573372,0.181777,0.0,1.058533,60.01673,106.422513,0.0,0,235.573378,312.119472,56.034509,720129,647,4,13025140,39,0.010309,-0.000674,0.793394,0.708395,0.571445,0.10912,0.722683,0.998826,0.471351,Good
CONT_s10_bola_BigBuckBunny,13,97,76,2.656752,17.979715,0.0,174.596959,57.327288,106.992163,0.412139,11,230.475132,310.874302,80.163679,3345912,2669,4,16371052,2022,0.216495,2.08338,0.926202,1.281851,0.461771,0.295792,2.868437,4.633557,0.582042,Good
CONT_s10_bola_BigBuckBunny,14,98,55,0.321342,0.31863,0.0,1.194528,39.914971,122.637463,0.0,0,221.102336,318.755189,110.010255,408473,336,3,16779525,-2333,0.438776,-2.33541,0.885587,1.081004,0.177846,0.300881,0.362858,0.120953,0.582042,Degraded
CONT_s10_bola_BigBuckBunny,15,97,53,0.320162,0.316456,0.0,1.196834,40.28581,95.624467,0.0,0,226.419584,317.121063,84.571186,402956,326,2,17182481,-10,0.453608,-0.00118,0.850369,0.582604,0.320773,0.289154,0.376498,0.996328,0.0,Degraded
CONT_s10_bola_BigBuckBunny,16,97,50,0.317352,0.336451,0.0,1.19568,45.429486,141.491048,0.0,0,220.167103,318.455351,99.286291,399421,320,2,17581902,-6,0.484536,-0.00281,0.819118,1.19568,0.406796,0.365154,0.387431,0.991223,0.0,Degraded
CONT_s10_bola_BigBuckBunny,17,98,53,0.330263,0.330466,0.0,1.194528,31.253622,70.318999,0.0,0,237.262206,319.127115,96.405554,419968,340,2,18001870,20,0.459184,0.012911,0.791787,0.719074,0.193217,0.313069,0.417111,1.040684,0.0,Degraded
CONT_s10_bola_BigBuckBunny,18,97,74,0.799916,3.242555,0.0,31.401305,50.816946,123.687422,0.988875,8,221.733143,319.008359,97.593572,1008607,809,2,19010477,469,0.247423,0.469653,0.79227,31.401305,1.717706,5.811141,1.009651,2.422058,0.0,Degraded
CONT_s10_bola_BigBuckBunny,19,97,59,0.150558,0.176046,0.0,1.328756,46.68515,160.100593,12.173913,28,322.761336,573.267586,155.760984,189481,230,2,19199958,-579,0.360825,-0.649358,0.760286,0.482158,0.201308,0.107256,0.198028,0.188217,0.235222,Degraded
CONT_s10_bola_BigBuckBunny,20,98,72,0.200561,0.155443,0.0,0.582604,60.540069,97.678802,8.66426,24,378.715588,612.767763,200.539021,255191,277,4,19455149,47,0.265306,0.050003,0.733437,0.47676,0.2035,0.094404,0.273454,1.332118,0.240615,Degraded
CONT_s10_bola_BigBuckBunny,21,125,103,0.185738,0.145306,0.0,1.318807,73.972296,183.286831,8.595989,30,273.410367,606.836203,176.931154,301844,349,4,19756993,72,0.176,-0.014823,0.701816,1.318807,0.234424,0.228284,0.264653,0.926092,0.0,Critical
CONT_s10_bola_BigBuckBunny,22,97,68,0.18638,0.182936,0.0,1.17898,49.769925,93.424742,8.267717,21,275.043972,508.789526,160.661964,235077,254,2,19992070,-95,0.309278,0.000642,0.679721,1.17898,0.179071,0.235938,0.274201,1.003456,0.350154,Critical
