run_id,window_index,t_start,mean_o22,stall_s,label
CONT_s3_l2a_RedBullPlayStreets,0,0.0,2.5182,1.728,Critical
CONT_s3_l2a_RedBullPlayStreets,1,10.0,2.5655,0.234,Degraded
CONT_s3_l2a_RedBullPlayStreets,2,20.0,2.8515,0,Degraded
CONT_s3_l2a_RedBullPlayStreets,3,30.0,2.7426,4.027,Critical
CONT_s3_l2a_RedBullPlayStreets,4,40.0,1.9658,0,Critical
CONT_s3_l2a_RedBullPlayStreets,5,50.0,3.2332,0,Good
CONT_s3_l2a_RedBullPlayStreets,6,60.0,4.0403,0.499,Degraded
CONT_s3_l2a_RedBullPlayStreets,7,70.0,3.4702,0,Good
CONT_s3_l2a_RedBullPlayStreets,8,80.0,3.9061,0.495,Degraded
CONT_s3_l2a_RedBullPlayStreets,9,90.0,3.8782,0.28,Degraded
CONT_s3_l2a_RedBullPlayStreets,10,100.0,4.0125,0,Excellent
CONT_s3_l2a_RedBullPlayStreets,11,110.0,4.1094,0,Excellent
CONT_s3_l2a_RedBullPlayStreets,12,120.0,3.8671,0,Good
CONT_s3_l2a_RedBullPlayStreets,13,130.0,3.9086,0,Good
CONT_s3_l2a_RedBullPlayStreets,14,140.0,3.9267,0.908,Degraded
CONT_s3_l2a_RedBullPlayStreets,15,150.0,3.8877,2.787,Critical
CONT_s3_l2a_RedBullPlayStreets,16,160.0,4.0403,0,Excellent
CONT_s3_l2a_RedBullPlayStreets,17,170.0,4.0403,0,Excellent
CONT_s3_l2a_RedBullPlayStreets,18,180.0,4.0403,0,Excellent
CONT_s3_l2a_RedBullPlayStreets,19,190.0,4.0403,0,Excellent
CONT_s3_l2a_RedBullPlayStreets,20,200.0,3.6901,0,Good
CONT_s3_l2a_RedBullPlayStreets,21,210.0,2.8509,0,Degraded
CONT_s3_l2a_RedBullPlayStreets,22,220.0,2.829,0,Degraded
CONT_s3_l2a_RedBullPlayStreets,23,230.0,2.2463,0,Degraded
CONT_s3_l2a_RedBullPlayStreets,24,240.0,2.4708,0,Degraded
CONT_s3_l2a_RedBullPlayStreets,25,250.0,2.8684,0,Degraded
CONT_s3_l2a_RedBullPlayStreets,26,260.0,2.8933,0,Degraded
CONT_s3_l2a_RedBullPlayStreets,27,270.0,2.9344,0,Degraded
CONT_s3_l2a_RedBullPlayStreets,28,280.0,2.8478,0,Degraded
