run,mechanism,resolution,block_size,loss_pct,repeat,frames,ok,bad,timeout,secs,fps,goodput_mbps,lat_mean,lat_p50,lat_p95,lat_p99,lat_max,dg_in,dg_out,dg_per_frame,bytes,gaps,srv_cpu_s,srv_captured,srv_served
1,rfc7959,640x480,1024,0,1,30,33,0,0,0.707,42.415,4.0552,21.15,20.04,30.14,34.09,34.47,366,366,24.40,358525,0,0.050,86,33
2,rfc9177,640x480,1024,0,1,30,33,0,0,0.322,93.032,9.1963,9.62,9.23,12.40,14.34,14.99,382,67,14.97,370688,0,0.010,79,33
3,rfc7959,640x480,1024,2,1,30,32,0,1,27.634,1.086,0.0994,581.76,22.22,2888.51,4602.62,5234.51,362,371,24.43,343215,398,0.140,490,33
4,rfc9177,640x480,1024,2,1,30,33,0,0,6.832,4.391,0.3965,140.86,7.37,9.56,2853.86,4015.59,355,51,13.53,338620,59,0.030,177,33
5,rfc7959,640x480,1024,5,1,30,33,0,0,37.343,0.803,0.0774,1169.90,23.26,2986.42,4577.56,5221.57,371,385,25.20,361324,501,0.160,637,33
6,rfc9177,640x480,1024,5,1,30,32,0,1,30.603,0.980,0.0939,846.72,10.09,4066.48,4104.15,4107.43,375,74,14.97,359084,388,0.110,533,34
7,rfc7959,640x480,1024,10,1,30,27,0,6,112.461,0.267,0.0203,2793.43,2554.37,5614.22,5630.15,5633.32,374,404,25.93,285284,1628,0.420,1761,33
8,rfc9177,640x480,1024,10,1,30,27,0,7,70.156,0.428,0.0333,1349.35,10.76,4046.84,4053.17,4054.03,400,102,16.73,292377,978,0.260,1129,39
9,rfc7959,640x480,1024,20,1,30,1,0,30,183.193,0.164,0.0004,0.00,0.00,0.00,0.00,0.00,214,255,15.63,10223,0,0.660,2822,74
10,rfc9177,640x480,1024,20,1,30,25,0,10,104.639,0.287,0.0208,2210.31,4015.77,4088.44,4109.24,4114.36,419,116,17.83,272009,1460,0.400,1662,41
