run,mechanism,resolution,block_size,loss_pct,repeat,frames,ok,bad,timeout,secs,fps,goodput_mbps,lat_mean,lat_p50,lat_p95,lat_p99,lat_max,dg_in,dg_out,dg_per_frame,bytes,gaps,srv_cpu_s,srv_captured,srv_served
1,rfc7959,640x480,128,0,1,100,105,0,0,27.273,3.667,0.4589,262.16,215.52,253.12,2469.87,2497.87,12291,12285,245.76,1564548,302,1.320,487,105
2,rfc9177,640x480,128,0,1,100,104,0,1,32.844,3.045,0.3819,227.02,79.92,339.17,4172.46,4220.66,12310,1282,135.92,1567723,388,0.590,571,105
3,rfc7959,640x480,256,0,1,100,105,0,0,14.135,7.074,0.8851,112.07,109.79,136.46,146.62,178.99,6166,6164,123.30,1563980,106,0.650,289,105
4,rfc9177,640x480,256,0,1,100,105,0,0,4.493,22.256,2.8009,42.50,41.12,52.47,69.33,83.99,6196,671,68.67,1573088,1,0.250,145,105
5,rfc7959,640x480,512,0,1,100,105,0,0,5.995,16.680,2.0834,56.07,52.76,80.94,97.74,105.79,3101,3100,62.01,1561274,3,0.230,165,105
6,rfc9177,640x480,512,0,1,100,105,0,0,2.763,36.195,4.4934,26.48,21.93,50.35,71.47,90.86,3097,351,34.48,1551797,0,0.130,118,105
7,rfc7959,640x480,1024,0,1,100,105,0,0,3.633,27.523,3.4426,34.41,32.00,50.79,80.10,85.07,1581,1581,31.62,1563492,1,0.200,134,105
8,rfc9177,640x480,1024,0,1,100,104,0,1,11.813,8.465,1.0533,17.42,13.49,51.41,77.00,92.57,1565,212,17.77,1555274,151,0.100,254,104
