run_id,window_index,t_start,mean_o22,stall_s,label
S5A_ElephantsDream_rep1,0,0.0,4.189,8.39,Critical
S5A_ElephantsDream_rep1,1,10.0,3.7776,1.185,Critical
S5A_ElephantsDream_rep1,2,20.0,3.1251,0,Good
S5A_ElephantsDream_rep1,3,30.0,2.8797,0,Degraded
S5A_ElephantsDream_rep1,4,40.0,2.8979,0,Degraded
S5A_ElephantsDream_rep1,5,50.0,2.8979,0,Degraded
S5A_ElephantsDream_rep1,6,60.0,3.2546,0,Good
S5A_ElephantsDream_rep1,7,70.0,2.9324,0,Degraded
S5A_ElephantsDream_rep1,8,80.0,3.7657,0,Good
S5A_ElephantsDream_rep1,9,90.0,3.2974,0.285,Degraded
S5A_ElephantsDream_rep1,10,100.0,2.9367,0,Degraded
S5A_ElephantsDream_rep1,11,110.0,2.895,0,Degraded
S5A_ElephantsDream_rep1,12,120.0,2.8979,0,Degraded
S5A_ElephantsDream_rep1,13,130.0,3.3438,0,Good
S5A_ElephantsDream_rep1,14,140.0,3.7729,0,Good
S5A_ElephantsDream_rep1,15,150.0,3.7657,0,Good
S5A_ElephantsDream_rep1,16,160.0,3.7657,0,Good
S5A_ElephantsDream_rep1,17,170.0,3.6924,0,Good
S5A_ElephantsDream_rep1,18,180.0,3.2683,0,Good
S5A_ElephantsDream_rep1,19,190.0,2.9367,0,Degraded
S5A_ElephantsDream_rep1,20,200.0,2.9367,0,Degraded
S5A_ElephantsDream_rep1,21,210.0,3.7019,0,Good
S5A_ElephantsDream_rep1,22,220.0,3.1699,0,Good
S5A_ElephantsDream_rep1,23,230.0,2.9367,0,Degraded
S5A_ElephantsDream_rep1,24,240.0,2.9367,0,Degraded
S5A_ElephantsDream_rep1,25,250.0,3.7019,0,Good
S5A_ElephantsDream_rep1,26,260.0,3.7657,0,Good
S5A_ElephantsDream_rep1,27,270.0,3.7657,0.67,Degraded
S5A_ElephantsDream_rep1,28,280.0,3.1958,0,Good
