model,macro_f1,macro_f1_std,akurasi,ulangan,f1_Excellent,f1_Good,f1_Degraded,f1_Critical,loto_mean,loto_std,ukuran_kb,latensi_us,params,berkas
Tebak mayoritas,0.176,0.0,0.5434,5,0.7042,0.0,0.0,0.0,0.176,0.0,0.8,0.13,{},Tebak_mayoritas.joblib
LogReg,0.8275,0.0038,0.8728,5,0.9738,0.7114,0.7479,0.8771,0.819,0.0,2.0,0.65,"{""m__C"": 10}",LogReg.joblib
DecisionTree,0.8253,0.006,0.8741,5,0.9777,0.7011,0.7438,0.8787,0.8296,0.0002,11.4,0.41,"{""m__max_depth"": 10, ""m__min_samples_leaf"": 20}",DecisionTree.joblib
RandomForest,0.8425,0.0022,0.8873,5,0.9813,0.7272,0.769,0.8924,0.8355,0.0013,3251.0,104.82,"{""m__max_depth"": 10, ""m__min_samples_leaf"": 5}",RandomForest.joblib
SVM RBF,0.8352,0.0044,0.8843,5,0.9785,0.7336,0.7722,0.8563,0.8319,0.0,99.9,48.69,"{""m__C"": 100, ""m__gamma"": ""scale""}",SVM_RBF.joblib
SOM 10x10,0.7908,0.0093,0.8555,5,0.9684,0.6365,0.7405,0.8178,0.7808,0.0102,49.2,16.43,"{""m__grid"": 15, ""m__sigma"": 1.0}",SOM_10x10.joblib
