run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
CONT_s14_RedBullPlayStreets,0,0.0,1789002985.787,1789002997.663,0.124539,0.074206,0.0,0.469001,192881,223,5,33,0.065127,0.120662,0.021397,0.134191,0.124539,0.0,223,0.124715,0.998589,192881,0.060606
CONT_s14_RedBullPlayStreets,1,10.0,1789002997.663,1789003007.663,0.12087,0.023266,0.065127,0.146328,152337,154,2,27,0.133823,0.118861,0.028374,0.146328,-0.003669,0.970539,-69,0.123013,0.982579,345218,0.0
CONT_s14_RedBullPlayStreets,2,20.0,1789003007.663,1789003017.663,0.184588,0.388079,0.0,2.182095,238107,225,2,28,0.158781,0.339314,0.701474,2.182095,0.063718,1.527161,71,0.141767,1.302052,583325,0.142857
CONT_s14_RedBullPlayStreets,3,30.0,1789003017.663,1789003029.282,0.122766,0.041656,0.063416,0.199103,185417,167,2,32,0.092029,0.122501,0.041123,0.195575,-0.061822,0.665081,-58,0.136606,0.898687,768742,0.0
CONT_s14_RedBullPlayStreets,4,40.0,1789003029.282,1789003039.282,0.119921,0.040686,0.081499,0.195838,155163,142,3,27,0.097239,0.118071,0.039004,0.195838,-0.002845,0.976826,-25,0.133493,0.898332,923905,0.0
CONT_s14_RedBullPlayStreets,5,50.0,1789003039.282,1789003049.282,0.120666,0.036937,0.065039,0.201223,155661,153,4,27,0.065039,0.114768,0.031413,0.160974,0.000745,1.006212,11,0.131482,0.917738,1079566,0.0
CONT_s14_RedBullPlayStreets,6,60.0,1789003049.282,1789003061.031,0.120407,0.038054,0.065039,0.196048,186128,189,6,33,0.096084,0.114733,0.031729,0.187181,-0.000259,0.997854,36,0.129737,0.928085,1265694,0.0
CONT_s14_RedBullPlayStreets,7,70.0,1789003061.031,1789003075.074,1.175212,6.40231,0.062192,40.118178,2184169,1740,6,38,0.067332,0.124286,0.050664,0.204652,1.054805,9.76033,1551,0.298732,3.934001,3449863,0.0
CONT_s14_RedBullPlayStreets,8,80.0,1789003075.074,1789003092.823,0.121088,0.022854,0.065511,0.144248,272939,274,4,48,0.130847,0.124258,0.021035,0.144248,-1.054124,0.103035,-1466,0.269765,0.448865,3722802,0.0
CONT_s14_RedBullPlayStreets,9,90.0,1789003092.823,1789003102.823,0.376153,1.29221,0.064747,6.964092,496656,441,4,27,0.129884,0.982544,2.260828,6.964092,0.255065,3.106443,167,0.279533,1.345648,4219458,0.0
CONT_s14_RedBullPlayStreets,10,100.0,1789003102.823,1789003112.823,0.12071,0.024732,0.06872,0.188782,156753,178,4,27,0.09553,0.117502,0.032886,0.188782,-0.255443,0.320907,-263,0.266979,0.452133,4376211,0.0
