run_id,window_index,t_start,mean_o22,stall_s,label
CONT_s13_RedBullPlayStreets,0,0.0,2.8177,0.321,Degraded
CONT_s13_RedBullPlayStreets,1,10.0,2.9413,0,Degraded
CONT_s13_RedBullPlayStreets,2,20.0,2.5937,0,Degraded
CONT_s13_RedBullPlayStreets,3,30.0,1.6189,0,Critical
CONT_s13_RedBullPlayStreets,4,40.0,1.8834,2.652,Critical
CONT_s13_RedBullPlayStreets,5,50.0,1.6189,1.145,Critical
CONT_s13_RedBullPlayStreets,6,60.0,1.6189,0.907,Degraded
CONT_s13_RedBullPlayStreets,7,70.0,2.6089,0,Degraded
CONT_s13_RedBullPlayStreets,8,80.0,2.8728,0,Degraded
CONT_s13_RedBullPlayStreets,9,90.0,2.8728,0,Degraded
CONT_s13_RedBullPlayStreets,10,100.0,2.9276,0,Degraded
CONT_s13_RedBullPlayStreets,11,110.0,2.8728,0,Degraded
CONT_s13_RedBullPlayStreets,12,120.0,2.8728,0,Degraded
CONT_s13_RedBullPlayStreets,13,130.0,3.2254,0,Good
CONT_s13_RedBullPlayStreets,14,140.0,3.7542,0.801,Degraded
CONT_s13_RedBullPlayStreets,15,150.0,3.9658,0,Good
CONT_s13_RedBullPlayStreets,16,160.0,3.8671,0,Good
CONT_s13_RedBullPlayStreets,17,170.0,3.8671,0,Good
CONT_s13_RedBullPlayStreets,18,180.0,3.8671,0,Good
CONT_s13_RedBullPlayStreets,19,190.0,3.8671,0,Good
CONT_s13_RedBullPlayStreets,20,200.0,4.0403,0,Excellent
CONT_s13_RedBullPlayStreets,21,210.0,4.0403,0.795,Degraded
CONT_s13_RedBullPlayStreets,22,220.0,4.0796,0,Excellent
CONT_s13_RedBullPlayStreets,23,230.0,4.1823,0,Excellent
CONT_s13_RedBullPlayStreets,24,240.0,4.3517,0,Excellent
CONT_s13_RedBullPlayStreets,25,250.0,4.3517,0,Excellent
CONT_s13_RedBullPlayStreets,26,260.0,4.3797,0,Excellent
CONT_s13_RedBullPlayStreets,27,270.0,4.1895,0,Excellent
CONT_s13_RedBullPlayStreets,28,280.0,3.9228,0,Good
CONT_s13_RedBullPlayStreets,29,290.0,3.9228,0,Good
