run_id,window_index,o22_degraded,stall_degraded,label_degraded
CONT_s10_TheSwissAccount,7,3.7938,0,Good
CONT_s10_TheSwissAccount,8,3.8292,0,Good
CONT_s10_TheSwissAccount,9,3.6896,0,Good
CONT_s10_TheSwissAccount,10,2.8024,0,Degraded
CONT_s10_TheSwissAccount,11,2.9802,0,Degraded
CONT_s10_TheSwissAccount,12,3.793,0,Good
CONT_s10_TheSwissAccount,13,4.248,0,Excellent
CONT_s10_TheSwissAccount,14,2.8911,0,Degraded
CONT_s10_TheSwissAccount,15,2.8411,0,Degraded
CONT_s10_TheSwissAccount,16,2.8973,0,Degraded
CONT_s10_TheSwissAccount,17,2.8973,0,Degraded
CONT_s10_TheSwissAccount,18,2.8868,0,Degraded
CONT_s10_TheSwissAccount,19,2.7864,0,Degraded
CONT_s10_TheSwissAccount,20,2.7367,0,Degraded
CONT_s10_TheSwissAccount,21,2.7367,0,Degraded
CONT_s10_TheSwissAccount,22,2.6303,0,Degraded
CONT_s10_TheSwissAccount,23,1.6723,0,Critical
CONT_s10_TheSwissAccount,24,1.6723,0,Critical
CONT_s10_TheSwissAccount,25,1.6641,0,Critical
CONT_s10_TheSwissAccount,26,1.5985,0,Critical
CONT_s10_TheSwissAccount,27,1.6723,0,Critical
CONT_s10_TheSwissAccount,28,1.6641,0,Critical
CONT_s10_TheSwissAccount,29,1.5903,0,Critical
CONT_s10_Valkaama,0,4.2546,0,Excellent
CONT_s10_Valkaama,1,4.1164,0,Excellent
CONT_s10_Valkaama,2,3.0136,0,Good
CONT_s10_Valkaama,3,4.2844,0,Excellent
CONT_s10_Valkaama,4,4.2341,0,Excellent
CONT_s10_Valkaama,5,3.7806,0,Good
CONT_s10_Valkaama,6,3.7806,0,Good
CONT_s10_Valkaama,7,3.7806,0,Good
CONT_s10_Valkaama,8,3.7806,0,Good
CONT_s10_Valkaama,9,3.7806,0,Good
CONT_s10_Valkaama,10,3.6898,0,Good
CONT_s10_Valkaama,11,2.8724,0,Degraded
CONT_s10_Valkaama,12,3.022,0,Good
CONT_s10_Valkaama,13,4.2136,0,Excellent
CONT_s10_Valkaama,14,2.9119,0,Degraded
CONT_s10_Valkaama,15,3.6412,0,Good
CONT_s10_Valkaama,16,2.7506,0,Degraded
CONT_s10_Valkaama,17,1.7714,0,Critical
CONT_s10_Valkaama,18,2.9149,0,Degraded
CONT_s10_Valkaama,19,3.6545,0,Good
CONT_s10_Valkaama,20,2.737,0,Degraded
CONT_s10_Valkaama,21,2.737,0,Degraded
CONT_s10_Valkaama,22,2.6287,0,Degraded
CONT_s10_Valkaama,23,1.6341,0,Critical
CONT_s10_Valkaama,24,1.469,0,Critical
CONT_s10_Valkaama,25,1.6548,0,Critical
CONT_s10_Valkaama,26,1.6548,0,Critical
CONT_s10_Valkaama,27,1.763,0,Critical
CONT_s10_Valkaama,28,2.6081,0,Degraded
CONT_s10_Valkaama,29,1.4484,0,Critical
CONT_s11_BigBuckBunny,0,3.7878,0,Good
CONT_s11_BigBuckBunny,1,3.7878,0,Good
CONT_s11_BigBuckBunny,2,2.9383,0,Degraded
CONT_s11_BigBuckBunny,3,2.9284,0,Degraded
CONT_s11_BigBuckBunny,4,2.9806,0,Degraded
CONT_s11_BigBuckBunny,5,4.2684,0,Excellent
CONT_s11_BigBuckBunny,6,4.3411,0,Excellent
CONT_s11_BigBuckBunny,7,3.7627,0,Good
CONT_s11_BigBuckBunny,8,3.7878,0,Good
CONT_s11_BigBuckBunny,9,4.4053,0,Excellent
CONT_s11_BigBuckBunny,10,3.7878,0,Good
CONT_s11_BigBuckBunny,11,3.7878,0,Good
CONT_s11_BigBuckBunny,12,2.898,0,Degraded
CONT_s11_BigBuckBunny,13,2.9383,0,Degraded
CONT_s11_BigBuckBunny,14,2.9383,0,Degraded
CONT_s11_BigBuckBunny,15,2.9284,0,Degraded
CONT_s11_BigBuckBunny,16,2.8392,0,Degraded
CONT_s11_BigBuckBunny,17,2.8451,0,Degraded
CONT_s11_BigBuckBunny,18,2.888,0,Degraded
CONT_s11_BigBuckBunny,19,2.8975,0,Degraded
CONT_s11_BigBuckBunny,20,3.6929,0,Good
CONT_s11_BigBuckBunny,21,2.8491,0,Degraded
CONT_s11_BigBuckBunny,22,3.0802,0,Good
CONT_s11_BigBuckBunny,23,4.3572,0,Excellent
CONT_s11_BigBuckBunny,24,4.2153,0,Excellent
CONT_s11_BigBuckBunny,25,3.0233,0,Good
CONT_s11_BigBuckBunny,26,3.8384,0,Good
CONT_s11_BigBuckBunny,27,4.2901,0,Excellent
CONT_s11_BigBuckBunny,28,4.1118,0,Excellent
CONT_s11_BigBuckBunny,29,2.8392,0,Degraded
CONT_s11_ElephantsDream,0,3.7895,0,Good
CONT_s11_ElephantsDream,1,3.7895,0,Good
CONT_s11_ElephantsDream,2,2.9366,0,Degraded
CONT_s11_ElephantsDream,3,2.9328,0,Degraded
CONT_s11_ElephantsDream,4,2.9874,0,Degraded
CONT_s11_ElephantsDream,5,3.851,0,Good
CONT_s11_ElephantsDream,6,4.3429,0,Excellent
CONT_s11_ElephantsDream,7,3.7895,0,Good
CONT_s11_ElephantsDream,8,3.7895,0,Good
CONT_s11_ElephantsDream,9,4.4043,0,Excellent
CONT_s11_ElephantsDream,10,4.2552,0,Excellent
CONT_s11_ElephantsDream,11,4.2552,0,Excellent
CONT_s11_ElephantsDream,12,2.8424,0,Degraded
CONT_s11_ElephantsDream,13,2.9366,0,Degraded
CONT_s11_ElephantsDream,14,2.9366,0,Degraded
CONT_s11_ElephantsDream,15,2.9231,0,Degraded
CONT_s11_ElephantsDream,16,2.6667,0,Degraded
CONT_s11_ElephantsDream,17,1.5845,0,Critical
CONT_s11_ElephantsDream,18,2.9007,0,Degraded
CONT_s11_ElephantsDream,19,3.6948,0,Good
CONT_s11_ElephantsDream,20,2.8384,0,Degraded
CONT_s11_ElephantsDream,21,2.9473,0,Degraded
CONT_s11_ElephantsDream,22,4.2652,0,Excellent
CONT_s11_ElephantsDream,23,4.352,0,Excellent
CONT_s11_ElephantsDream,24,4.1704,0,Excellent
CONT_s11_ElephantsDream,25,2.9473,0,Degraded
CONT_s11_ElephantsDream,26,4.2592,0,Excellent
CONT_s11_ElephantsDream,27,4.2913,0,Excellent
CONT_s11_ElephantsDream,28,4.1099,0,Excellent
CONT_s11_ElephantsDream,29,2.802,0,Degraded
CONT_s11_OfForestAndMen,0,2.9494,0,Degraded
CONT_s11_OfForestAndMen,1,3.7806,0,Good
CONT_s11_OfForestAndMen,2,3.8012,0,Good
CONT_s11_OfForestAndMen,3,3.7458,0,Good
CONT_s11_OfForestAndMen,4,3.7806,0,Good
CONT_s11_OfForestAndMen,5,3.8517,0,Good
CONT_s11_OfForestAndMen,6,4.2002,0,Excellent
CONT_s11_OfForestAndMen,7,3.7776,0,Good
CONT_s11_OfForestAndMen,8,3.8078,0,Good
CONT_s11_OfForestAndMen,9,4.2471,0,Excellent
CONT_s11_OfForestAndMen,10,4.0675,0,Excellent
CONT_s11_OfForestAndMen,11,3.8078,0,Good
CONT_s11_OfForestAndMen,12,2.8574,0,Degraded
CONT_s11_OfForestAndMen,13,2.9278,0,Degraded
CONT_s11_OfForestAndMen,14,2.9278,0,Degraded
CONT_s11_OfForestAndMen,15,2.9278,0,Degraded
CONT_s11_OfForestAndMen,16,2.9278,0,Degraded
CONT_s11_OfForestAndMen,17,1.5839,0,Critical
CONT_s11_OfForestAndMen,18,1.6,0,Critical
CONT_s11_OfForestAndMen,19,3.0092,0,Good
CONT_s11_OfForestAndMen,20,3.6538,0,Good
CONT_s11_OfForestAndMen,21,2.9784,0,Degraded
CONT_s11_OfForestAndMen,22,4.0712,0,Excellent
CONT_s11_OfForestAndMen,23,4.1185,0,Excellent
CONT_s11_OfForestAndMen,24,4.2292,0,Excellent
CONT_s11_OfForestAndMen,25,4.035,0,Excellent
CONT_s11_OfForestAndMen,26,3.7785,0,Good
CONT_s11_OfForestAndMen,27,4.1042,0,Excellent
CONT_s11_OfForestAndMen,28,4.1042,0,Excellent
CONT_s11_OfForestAndMen,29,3.7423,0,Good
CONT_s11_RedBullPlayStreets,0,3.7544,0,Good
CONT_s11_RedBullPlayStreets,1,3.7544,0,Good
CONT_s11_RedBullPlayStreets,2,3.6662,0,Good
CONT_s11_RedBullPlayStreets,3,2.8685,0,Degraded
CONT_s11_RedBullPlayStreets,4,2.9504,0,Degraded
CONT_s11_RedBullPlayStreets,5,4.0762,0,Excellent
CONT_s11_RedBullPlayStreets,6,4.334,0,Excellent
CONT_s11_RedBullPlayStreets,7,3.7544,0,Good
CONT_s11_RedBullPlayStreets,8,3.8223,0,Good
CONT_s11_RedBullPlayStreets,9,4.3938,0,Excellent
CONT_s11_RedBullPlayStreets,10,4.0118,0,Excellent
CONT_s11_RedBullPlayStreets,11,3.7657,0,Good
CONT_s11_RedBullPlayStreets,12,3.7676,0,Good
CONT_s11_RedBullPlayStreets,13,2.8728,0,Degraded
CONT_s11_RedBullPlayStreets,14,2.961,0,Degraded
CONT_s11_RedBullPlayStreets,15,3.6731,0,Good
CONT_s11_RedBullPlayStreets,16,2.9301,0,Degraded
CONT_s11_RedBullPlayStreets,17,2.8405,0,Degraded
CONT_s11_RedBullPlayStreets,18,2.9413,0,Degraded
CONT_s11_RedBullPlayStreets,19,3.0901,0,Good
CONT_s11_RedBullPlayStreets,20,4.4265,0,Excellent
CONT_s11_RedBullPlayStreets,21,4.3984,0,Excellent
CONT_s11_RedBullPlayStreets,22,4.4019,0,Excellent
CONT_s11_RedBullPlayStreets,23,4.4369,0,Excellent
CONT_s11_RedBullPlayStreets,24,4.4675,0,Excellent
CONT_s11_RedBullPlayStreets,25,4.3938,0,Excellent
CONT_s11_RedBullPlayStreets,26,4.023,0,Excellent
CONT_s11_RedBullPlayStreets,27,3.8671,0,Good
CONT_s11_RedBullPlayStreets,28,3.8558,0,Good
CONT_s11_RedBullPlayStreets,29,3.7544,0,Good
CONT_s11_TearsOfSteel,0,3.3004,0,Good
CONT_s11_TearsOfSteel,1,3.3004,0,Good
CONT_s11_TearsOfSteel,2,3.3004,0,Good
CONT_s11_TearsOfSteel,3,3.3119,0,Good
CONT_s11_TearsOfSteel,4,3.4157,0,Good
CONT_s11_TearsOfSteel,5,3.5102,0,Good
CONT_s11_TearsOfSteel,6,4.2665,0,Excellent
CONT_s11_TearsOfSteel,7,3.4157,0,Good
CONT_s11_TearsOfSteel,8,3.3004,0,Good
CONT_s11_TearsOfSteel,9,4.361,0,Excellent
CONT_s11_TearsOfSteel,10,3.4157,0,Good
CONT_s11_TearsOfSteel,11,3.3004,0,Good
