run_id,window_index,n_samples,rtt_samples,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,total_bytes,total_packets,active_flows,label
CONT_s10_ElephantsDream,20,35,,0.200092,0.0326,0.12853,0.254178,,,,,,,,257203,322,4,Degraded
CONT_s10_ElephantsDream,21,36,,0.203926,0.03167,0.133012,0.263989,,,,,,,,267196,336,4,Critical
CONT_s10_ElephantsDream,22,35,,0.201127,0.030386,0.127474,0.264972,,,,,,,,255103,317,2,Critical
CONT_s10_ElephantsDream,23,36,,0.147051,0.08802,0.0,0.462637,,,,,,,,192055,179,2,Critical
CONT_s10_ElephantsDream,24,34,,0.112931,0.120223,0.0,0.425358,,,,,,,,141119,119,2,Critical
CONT_s10_ElephantsDream,25,35,,0.098694,0.131506,0.0,0.41636,,,,,,,,130333,106,2,Critical
CONT_s10_ElephantsDream,26,34,,0.142741,0.076449,0.0,0.243912,,,,,,,,183100,162,4,Critical
CONT_s10_ElephantsDream,27,35,,0.147057,0.080536,0.0,0.282303,,,,,,,,187618,177,4,Critical
CONT_s10_ElephantsDream,28,36,,0.131634,0.065813,0.0,0.257812,,,,,,,,172449,170,5,Critical
CONT_s10_ElephantsDream,29,35,,0.003003,0.007888,0.0,0.025403,,,,,,,,3800,15,2,Critical
CONT_s10_OfForestAndMen,1,31,,1.015352,0.079971,0.815006,1.182681,,,,,,,,1284380,1073,4,Excellent
CONT_s10_OfForestAndMen,2,32,,1.355585,1.771424,0.0,11.151836,,,,,,,,1767997,1428,4,Excellent
CONT_s10_OfForestAndMen,3,31,,1.080865,0.049669,1.000198,1.21208,,,,,,,,1401379,1277,6,Critical
CONT_s10_OfForestAndMen,4,31,,1.073704,0.056352,0.948263,1.193449,,,,,,,,1372760,1208,5,Degraded
CONT_s10_OfForestAndMen,5,32,,1.069719,0.070264,0.932478,1.202366,,,,,,,,1399408,1121,2,Good
