model,macro_f1,macro_f1_std,akurasi,ulangan,f1_Excellent,f1_Good,f1_Degraded,f1_Critical,loto_mean,loto_std,ukuran_kb,latensi_us,params,berkas
Tebak mayoritas,0.176,0.0,0.5434,5,0.7042,0.0,0.0,0.0,0.176,0.0,0.8,0.13,{},Tebak_mayoritas.joblib
LogReg,0.8163,0.0082,0.8714,5,0.9726,0.7284,0.748,0.816,0.7925,0.0,1.8,0.68,"{""m__C"": 10}",LogReg.joblib
DecisionTree,0.8313,0.0048,0.8778,5,0.9755,0.715,0.7559,0.8787,0.8335,0.0002,11.7,0.53,"{""m__max_depth"": 10, ""m__min_samples_leaf"": 20}",DecisionTree.joblib
RandomForest,0.8406,0.0022,0.8856,5,0.9778,0.7315,0.7718,0.8811,0.8354,0.0019,5040.5,144.02,"{""m__max_depth"": 10, ""m__min_samples_leaf"": 1}",RandomForest.joblib
SVM RBF,0.8377,0.0029,0.8843,5,0.9749,0.734,0.7791,0.8629,0.8246,0.0,86.5,134.91,"{""m__C"": 300, ""m__gamma"": 0.1}",SVM_RBF.joblib
SOM 10x10,0.8042,0.0126,0.8667,5,0.9749,0.6824,0.746,0.8138,0.7729,0.0067,45.0,50.13,"{""m__grid"": 15, ""m__sigma"": 1.5}",SOM_10x10.joblib
