model,macro_f1,macro_f1_std,akurasi,ulangan,f1_Excellent,f1_Good,f1_Degraded,f1_Critical,loto_mean,loto_std,loso_mean,loso_std,ukuran_kb,latensi_us,params,berkas
Tebak mayoritas,0.1094,0.0,0.2801,5,0.0,0.0,0.0,0.4376,0.1083,0.0,0.0359,0.0,0.8,0.12,{},Tebak_mayoritas.joblib
LogReg,0.6878,0.0033,0.6902,5,0.7533,0.6041,0.5983,0.7956,0.6812,0.0,0.5218,0.0,2.2,0.73,"{""m__C"": 10}",LogReg.joblib
DecisionTree,0.6827,0.0072,0.6849,5,0.7487,0.6126,0.5848,0.7846,0.6706,0.0005,0.4667,0.0008,11.9,0.39,"{""m__max_depth"": 6, ""m__min_samples_leaf"": 1}",DecisionTree.joblib
RandomForest,0.7255,0.0039,0.7303,5,0.7954,0.6315,0.6442,0.831,0.7224,0.0025,0.5203,0.0025,17879.6,106.08,"{""m__max_depth"": null, ""m__min_samples_leaf"": 1}",RandomForest.joblib
SVM RBF,0.691,0.0015,0.6948,5,0.7375,0.6058,0.611,0.8098,0.6873,0.0,0.4587,0.0,263.7,104.62,"{""m__C"": 300, ""m__gamma"": 0.1}",SVM_RBF.joblib
SOM 10x10,0.6449,0.004,0.6502,5,0.7483,0.5476,0.5358,0.748,0.642,0.0059,0.4191,0.0145,59.8,17.27,"{""m__grid"": 15, ""m__sigma"": 1.5}",SOM_10x10.joblib
