window,t_epoch,kelas,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,ms_baca,ms_fitur,ms_infer,ms_total,n_cuplik
0,1789089461.49,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,24.479,0.0879,0.0017,0.0896,31
1,1789089471.72,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,25.138,0.0664,0.0019,0.0682,31
2,1789089481.95,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,25.153,0.0652,0.0016,0.0668,31
3,1789089492.18,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,25.426,0.0675,0.0016,0.0691,31
4,1789089502.41,Critical,0.037647,0.104438,0.0,0.530801,48140,62,2,26.072,0.0766,0.0314,0.108,31
5,1789089512.64,Critical,0.200437,0.038905,0.146714,0.293428,256308,263,5,26.297,0.0706,0.0269,0.0974,31
6,1789089522.87,Critical,0.199207,0.038403,0.147958,0.265298,254737,258,6,27.26,0.0732,0.0229,0.0961,31
7,1789089533.1,Critical,1.052151,4.225029,0.147974,24.183318,1345429,1159,5,26.953,0.0805,0.0231,0.1036,31
8,1789089543.331,Critical,0.406063,0.026386,0.368942,0.455467,519281,589,4,27.247,0.0731,0.0256,0.0987,31
9,1789089553.56,Critical,0.408509,0.030266,0.334844,0.468931,522353,588,6,27.395,0.0718,0.0251,0.0969,31
10,1789089563.79,Critical,0.405384,0.032403,0.336396,0.459997,518384,588,6,27.619,0.0692,0.0234,0.0926,31
11,1789089574.02,Critical,0.155855,0.191717,0.0,0.472936,199299,233,6,27.551,0.0691,0.0254,0.0944,31
12,1789089584.25,Critical,0.178669,0.066015,0.0,0.329786,228473,194,2,28.84,0.0743,0.0209,0.0952,31
13,1789089594.48,Critical,0.182772,0.042556,0.110346,0.293432,233719,205,2,27.892,0.0685,0.02,0.0885,31
14,1789089604.71,Critical,0.15848,0.086816,0.0,0.413375,202655,174,2,28.622,0.0733,0.0203,0.0937,31
15,1789089614.94,Critical,0.152763,0.102422,0.0,0.375735,195347,164,2,28.254,0.0738,0.0222,0.096,31
16,1789089625.17,Critical,0.35502,0.821949,0.0,4.824195,453982,398,7,28.266,0.0736,0.0206,0.0943,31
17,1789089635.4,Critical,0.198769,0.116418,0.0,0.376979,254148,239,4,28.808,0.0738,0.0199,0.0937,31
18,1789089645.63,Critical,0.213943,0.122499,0.0,0.40378,273579,243,4,28.229,0.0713,0.02,0.0913,31
19,1789089655.86,Good,2.398616,9.636151,0.0,54.305832,3067208,2355,4,28.962,0.0689,0.0191,0.0879,31
20,1789089666.09,Excellent,1.898106,2.156671,0.001261,9.155533,2427191,1888,4,29.498,0.0706,0.0202,0.0909,31
21,1789089676.32,Critical,0.362509,1.186894,0.0,5.90387,463558,360,2,29.46,0.0714,0.0208,0.0922,31
22,1789089686.55,Critical,0.162291,0.39349,0.0,2.220823,207528,171,4,29.625,0.07,0.0206,0.0906,31
23,1789089696.78,Critical,0.15244,0.068098,0.0,0.207394,194931,160,2,29.58,0.0681,0.0204,0.0886,31
24,1789089707.01,Critical,0.157398,0.064538,0.0,0.20753,201274,174,4,29.72,0.0684,0.0209,0.0893,31
25,1789089717.24,Critical,0.166676,0.193839,0.0,1.112026,213133,248,2,30.219,0.0706,0.0199,0.0905,31
26,1789089727.47,Critical,0.129955,0.060116,0.0,0.260474,166172,183,2,29.676,0.074,0.0228,0.0968,31
27,1789089737.7,Critical,0.128622,0.042813,0.0,0.266846,164475,209,4,29.892,0.0754,0.021,0.0964,31
28,1789089747.93,Critical,0.129588,0.030203,0.075829,0.18967,165711,211,6,30.076,0.071,0.0207,0.0917,31
29,1789089758.16,Critical,0.087107,0.102748,0.0,0.443933,111388,123,2,30.082,0.0747,0.0217,0.0965,31
30,1789089768.39,Critical,0.052156,0.102977,0.0,0.414611,66695,66,2,30.907,0.0718,0.0226,0.0944,31
31,1789089778.62,Critical,0.060486,0.117315,0.0,0.413324,77346,69,2,30.866,0.0716,0.0232,0.0949,31
32,1789089788.85,Critical,0.069793,0.095944,0.0,0.339364,89248,76,3,30.798,0.0716,0.0205,0.0921,31
33,1789089799.08,Critical,0.120183,0.049829,0.0,0.220692,153684,140,2,30.795,0.0718,0.0213,0.0931,31
34,1789089809.31,Critical,0.053957,0.081803,0.0,0.193596,68998,64,4,30.447,0.0713,0.021,0.0922,31
35,1789089819.54,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,30.787,0.0627,0.0018,0.0644,31
