window,t_epoch,kelas,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,ms_baca,ms_fitur,ms_infer,ms_total,n_cuplik
0,1789088693.721,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,16.622,0.0834,0.0016,0.085,31
1,1789088703.951,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,16.713,0.0601,0.0017,0.0618,31
2,1789088714.181,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,16.603,0.0639,0.0015,0.0654,31
3,1789088724.411,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,17.039,0.0608,0.0016,0.0623,31
4,1789088734.641,Critical,0.010378,0.036148,0.0,0.155656,13271,36,2,16.708,0.0725,0.0249,0.0974,31
5,1789088744.871,Good,0.769081,0.153829,0.290206,1.060868,983462,1114,4,17.032,0.0706,0.0265,0.0971,31
6,1789088755.101,Good,0.573601,0.23523,0.001261,0.909373,733491,855,2,17.377,0.0705,0.0215,0.092,31
7,1789088765.331,Good,0.565961,0.255395,0.0,0.9729,723719,849,2,17.324,0.0762,0.0218,0.098,31
8,1789088775.561,Degraded,0.48317,0.188684,0.114135,0.759769,617857,732,2,17.376,0.0708,0.0233,0.0941,31
9,1789088785.791,Degraded,0.607377,0.18145,0.234541,0.902511,776676,909,4,17.319,0.0671,0.024,0.091,31
10,1789088796.021,Degraded,0.756493,0.289089,0.0,1.060844,967368,934,6,17.92,0.0666,0.0207,0.0872,31
11,1789088806.251,Critical,0.214672,0.398486,0.0,1.07167,274516,231,2,17.74,0.0622,0.0244,0.0867,31
12,1789088816.481,Degraded,0.292383,0.430226,0.0,1.097213,373883,298,2,17.795,0.067,0.0204,0.0874,31
13,1789088826.711,Good,0.921974,0.113017,0.375698,1.062087,1178975,1053,5,18.272,0.0679,0.019,0.0869,31
14,1789088836.941,Good,0.894047,0.172901,0.0,1.032067,1143267,1002,4,18.278,0.0686,0.0185,0.0871,31
15,1789088847.171,Good,0.928395,0.05765,0.814728,1.062102,1187177,1014,4,18.427,0.068,0.0211,0.0891,31
16,1789088857.401,Degraded,1.531066,5.863918,0.299638,33.643355,1960063,1703,5,18.785,0.0683,0.0205,0.0888,31
17,1789088867.631,Critical,0.441313,0.028507,0.36866,0.516648,564328,558,8,18.772,0.0632,0.0171,0.0803,31
18,1789088877.861,Critical,0.4424,0.0173,0.371209,0.489722,565719,570,6,19.299,0.0628,0.0192,0.0819,31
19,1789088888.091,Degraded,0.440748,0.03165,0.369912,0.514649,563607,564,5,19.931,0.067,0.0203,0.0873,31
20,1789088898.321,Critical,0.57609,1.756636,0.0,10.174741,736676,702,6,19.834,0.0701,0.0208,0.0909,31
21,1789088908.551,Degraded,0.25721,0.117043,0.0,0.402512,328908,271,3,19.861,0.0657,0.0181,0.0838,31
22,1789088918.781,Critical,0.285057,0.061097,0.147976,0.368675,364516,332,4,19.642,0.0679,0.0207,0.0886,31
23,1789088929.011,Critical,2.058721,10.491144,0.0,59.519022,2632635,2130,4,19.745,0.0652,0.0188,0.0841,31
24,1789088939.241,Critical,0.138508,0.017789,0.112872,0.169554,177117,219,3,20.389,0.0669,0.0187,0.0856,31
25,1789088949.471,Critical,0.139738,0.023572,0.105236,0.189849,178686,236,7,20.249,0.0664,0.0191,0.0855,31
26,1789088959.701,Critical,0.155806,0.077592,0.0,0.482804,199237,236,5,20.69,0.0738,0.0205,0.0943,31
27,1789088969.931,Critical,0.05131,0.126836,0.0,0.55373,65613,57,2,20.789,0.0671,0.0189,0.086,31
28,1789088980.161,Critical,0.144807,0.111972,0.0,0.339378,185171,161,2,20.339,0.0706,0.02,0.0906,31
29,1789088990.391,Critical,0.200331,0.050563,0.110342,0.293449,256173,227,3,21.187,0.0629,0.0189,0.0818,31
30,1789089000.621,Critical,0.213758,0.476675,0.0,2.754538,273337,233,2,20.751,0.069,0.02,0.089,31
31,1789089010.851,Critical,0.159448,0.084982,0.0,0.375741,203895,178,4,21.073,0.0672,0.0199,0.0871,31
32,1789089021.081,Critical,0.204553,0.302969,0.0,1.797701,261581,250,4,21.285,0.0713,0.0207,0.092,31
33,1789089031.311,Critical,0.104527,0.319545,0.0,1.131907,133662,104,2,21.136,0.0836,0.0212,0.1049,31
34,1789089041.541,Good,0.974531,2.037925,0.0,9.139425,1246152,968,2,21.153,0.0671,0.0187,0.0858,31
35,1789089051.771,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,21.202,0.0604,0.0014,0.0617,31
