window,t_epoch,kelas,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,ms_baca,ms_fitur,ms_infer,ms_total,n_cuplik
0,1789081508.939,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,1.306,0.2096,0.0015,0.2111,31
1,1789081519.169,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,1.39,0.0636,0.0016,0.0651,31
2,1789081529.399,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,1.428,0.061,0.0013,0.0623,31
3,1789081539.629,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,1.379,0.0611,0.0013,0.0624,31
4,1789081549.859,Critical,0.5097,1.776038,0.0,9.17516,651779,517,6,1.536,0.0687,0.0264,0.0951,31
5,1789081560.089,Excellent,22.359274,60.425636,0.0,287.80607,28589810,21308,4,2.181,0.0622,0.0243,0.0866,31
6,1789081570.319,Excellent,5.80945,18.298752,0.0,79.350286,7428829,5541,2,2.125,0.0666,0.0213,0.0879,31
7,1789081580.549,Excellent,2.92111,13.093345,0.0,72.470731,3735578,2790,2,2.24,0.063,0.021,0.0841,31
8,1789081590.779,Excellent,2.436873,9.2277,0.0,43.092621,3122512,2329,2,2.17,0.0607,0.0228,0.0834,31
9,1789081601.009,Critical,0.228264,0.071862,0.110349,0.36617,291892,239,2,2.184,0.0618,0.0235,0.0853,31
10,1789081611.239,Critical,0.24082,0.071053,0.18307,0.367611,307949,281,7,2.163,0.064,0.0233,0.0873,31
11,1789081621.469,Critical,0.574706,1.51916,0.186859,8.892257,734910,757,8,2.91,0.0604,0.0243,0.0847,31
12,1789081631.699,Critical,0.287331,0.032026,0.223223,0.368685,367424,403,5,3.381,0.065,0.0197,0.0847,31
13,1789081641.929,Critical,0.229202,0.128199,0.0,0.37573,293093,306,2,3.373,0.0624,0.0184,0.0808,31
14,1789081652.159,Degraded,0.290209,0.046835,0.132751,0.406303,371104,396,2,3.381,0.0609,0.0194,0.0803,31
15,1789081662.389,Critical,0.290097,0.039342,0.221945,0.379506,370962,411,4,3.487,0.0593,0.019,0.0784,31
16,1789081672.619,Degraded,0.44032,0.343641,0.0,0.921758,563060,533,5,3.671,0.0657,0.0186,0.0843,31
17,1789081682.849,Good,0.81903,0.078148,0.658309,0.9543,1047334,876,2,3.734,0.0611,0.0193,0.0804,31
18,1789081693.079,Good,0.884062,0.195749,0.621963,1.429563,1130493,938,2,3.656,0.0597,0.0184,0.0781,31
19,1789081703.309,Good,1.109739,0.520186,0.0,1.434632,1419076,1272,4,3.743,0.0627,0.0193,0.082,31
20,1789081713.539,Good,1.036245,0.594087,0.0,1.646457,1325100,1213,4,4.052,0.0598,0.0191,0.0789,31
21,1789081723.769,Good,1.369645,0.057334,1.251619,1.470889,1751434,1531,4,4.254,0.0652,0.0205,0.0857,31
22,1789081733.999,Good,1.304412,0.258301,0.0,1.572479,1668016,1359,4,4.193,0.0658,0.0187,0.0845,31
23,1789081744.229,Excellent,2.13027,4.701285,0.0,27.809641,2724096,2165,2,4.285,0.0634,0.02,0.0834,31
24,1789081754.459,Good,0.757642,0.233112,0.0,0.993724,968835,772,2,4.186,0.0597,0.0189,0.0785,31
25,1789081764.689,Good,0.822715,0.090453,0.732275,0.919425,1052046,839,2,4.131,0.0592,0.0192,0.0784,31
26,1789081774.919,Good,0.82465,0.074591,0.659527,0.955327,1054520,897,4,4.365,0.0604,0.0195,0.08,31
27,1789081785.149,Degraded,0.828403,0.019649,0.783435,0.858195,1059320,987,6,4.461,0.0597,0.0182,0.0779,31
28,1789081795.379,Good,0.824741,0.04646,0.772366,0.882898,1054640,943,4,4.689,0.0559,0.0186,0.0745,31
29,1789081805.609,Good,0.89147,0.441482,0.0,2.341654,1139960,989,2,4.901,0.0639,0.0199,0.0839,31
30,1789081815.839,Degraded,0.78918,0.867855,0.0,2.00231,1009163,897,4,4.746,0.059,0.0178,0.0768,31
31,1789081826.069,Good,1.839234,0.056352,1.656523,1.992259,2351925,2226,6,5.01,0.0649,0.0212,0.086,31
32,1789081836.299,Excellent,1.832562,0.072537,1.594548,2.045349,2343385,2155,4,5.054,0.0651,0.0206,0.0857,31
33,1789081846.529,Excellent,1.702201,0.457986,0.0,2.048964,2176690,1716,2,5.161,0.0628,0.0187,0.0815,31
34,1789081856.759,TANPA-DATA,0.002259,0.005745,0.0,0.022085,2889,12,2,5.19,0.0638,0.0015,0.0653,31
35,1789081866.989,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,5.093,0.0535,0.0015,0.055,31
