window,t_epoch,kelas,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,ms_baca,ms_fitur,ms_infer,ms_total,n_cuplik
0,1789082658.204,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,12.02,0.0784,0.0014,0.0798,31
1,1789082668.434,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,12.149,0.1003,0.0035,0.1038,31
2,1789082678.664,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,12.137,0.0607,0.0014,0.0621,31
3,1789082688.894,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,12.287,0.0565,0.0015,0.058,31
4,1789082699.124,Critical,0.151684,0.283372,0.0,0.784772,193966,184,5,12.486,0.0712,0.0251,0.0963,31
5,1789082709.354,Critical,0.383524,0.319966,0.0,0.772404,490432,471,6,13.058,0.0681,0.0275,0.0957,31
6,1789082719.584,Critical,0.234667,0.147736,0.0,0.564458,300081,351,2,13.242,0.0661,0.0198,0.0858,31
7,1789082729.814,Critical,0.236624,0.079898,0.075539,0.376725,302582,339,2,12.88,0.0712,0.0216,0.0928,31
8,1789082740.044,Critical,0.326912,0.144903,0.113599,0.72214,418042,482,4,13.144,0.0634,0.0215,0.0849,31
9,1789082750.274,Critical,0.314182,0.709767,0.0,4.169,401753,371,6,13.622,0.0676,0.0232,0.0908,31
10,1789082760.504,Critical,0.192049,0.035352,0.147684,0.232777,245583,255,6,14.17,0.0604,0.0213,0.0816,31
11,1789082770.734,Critical,0.238389,0.267849,0.0,1.296941,304840,294,4,14.668,0.0629,0.0247,0.0876,31
12,1789082780.964,Degraded,0.391747,0.167561,0.0,0.588118,500945,424,2,14.414,0.0606,0.0186,0.0792,31
13,1789082791.194,Degraded,0.444211,0.080548,0.293429,0.586843,568035,480,2,14.441,0.0624,0.0185,0.0809,31
14,1789082801.424,Degraded,0.314179,0.214355,0.0,0.586896,401757,335,2,14.427,0.0643,0.019,0.0832,31
15,1789082811.654,Good,1.987968,8.078487,0.0,46.183879,2541927,1972,4,14.454,0.0631,0.02,0.083,31
16,1789082821.884,Good,0.964903,0.058799,0.846396,1.104446,1233869,1139,6,14.995,0.0631,0.0181,0.0812,31
17,1789082832.114,Good,0.950617,0.075754,0.590336,1.03079,1215601,1125,4,15.061,0.0596,0.0176,0.0771,31
18,1789082842.344,Degraded,0.68925,0.406115,0.0,1.062099,881378,736,4,15.425,0.0667,0.0201,0.0868,31
19,1789082852.574,Degraded,0.69573,0.487188,0.0,1.515619,889668,799,5,15.696,0.0616,0.0187,0.0804,31
20,1789082862.804,Good,0.745695,0.639861,0.0,1.511866,953555,767,2,15.609,0.0654,0.0211,0.0864,31
21,1789082873.034,Degraded,0.412166,0.569551,0.0,1.391877,527056,421,4,15.707,0.0625,0.0179,0.0804,31
22,1789082883.264,Good,1.197895,0.260472,0.0,1.391924,1531805,1322,4,16.124,0.0669,0.0197,0.0866,31
23,1789082893.494,Good,1.270887,0.06025,1.141141,1.436996,1625147,1494,5,16.592,0.0687,0.0199,0.0886,31
24,1789082903.724,Good,2.20598,7.03741,0.0,40.523551,2820912,2375,4,17.047,0.0655,0.0197,0.0852,31
25,1789082913.954,Degraded,0.610012,1.144203,0.0,3.31347,780047,610,2,16.128,0.0591,0.0189,0.078,31
26,1789082924.184,Good,1.575147,1.426678,0.0,3.354437,2014214,1709,4,16.281,0.0666,0.0206,0.0873,31
27,1789082934.414,Excellent,2.112953,1.482359,0.0,3.430608,2701942,2290,4,16.414,0.0729,0.0208,0.0937,31
28,1789082944.644,Excellent,3.201977,0.073717,3.084504,3.341925,4094528,3397,6,16.523,0.0653,0.021,0.0863,31
29,1789082954.874,Excellent,1.22116,1.408356,0.0,3.295517,1561566,1289,2,16.68,0.0618,0.0188,0.0806,31
30,1789082965.104,Excellent,2.499853,1.010016,0.0,3.145933,3196687,2794,6,16.817,0.0802,0.0201,0.1004,31
31,1789082975.334,Excellent,2.914561,0.127859,2.743675,3.218908,3726994,2971,6,17.167,0.0635,0.0195,0.083,31
32,1789082985.564,Excellent,2.477617,0.982087,0.0,3.146135,3168259,2416,4,17.395,0.0683,0.0213,0.0897,31
33,1789082995.794,Good,0.85413,1.267435,0.0,3.167146,1092221,872,2,17.521,0.0654,0.0206,0.086,31
34,1789083006.024,TANPA-DATA,0.000122,0.000668,0.0,0.003782,156,3,2,16.987,0.0599,0.0014,0.0613,31
35,1789083016.254,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,17.134,0.0562,0.0016,0.0578,31
