window,t_epoch,kelas,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,ms_baca,ms_fitur,ms_infer,ms_total,n_cuplik
0,1789082275.849,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,8.373,0.0798,0.0018,0.0816,31
1,1789082286.079,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,8.619,0.0548,0.0014,0.0562,31
2,1789082296.309,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,8.127,0.0598,0.0015,0.0612,31
3,1789082306.539,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,8.435,0.0575,0.0019,0.0594,31
4,1789082316.769,Critical,0.429938,0.877972,0.0,2.315549,549786,455,6,7.874,0.0504,0.0177,0.0681,31
5,1789082326.999,Excellent,2.187672,0.096377,1.9749,2.419341,2797485,2266,4,8.339,0.0664,0.0258,0.0922,31
6,1789082337.229,Excellent,2.009697,2.606394,0.0,15.427593,2569813,2056,2,9.124,0.0744,0.0214,0.0959,31
7,1789082347.459,Good,1.161218,0.491218,0.0,1.529301,1484895,1410,2,9.019,0.0726,0.0216,0.0942,31
8,1789082357.689,Good,1.17669,0.501978,0.0,1.602638,1504691,1355,2,9.105,0.0662,0.0233,0.0894,31
9,1789082367.919,Degraded,0.783918,0.261002,0.297504,1.470993,1002441,1151,6,9.292,0.0631,0.0232,0.0863,31
10,1789082378.149,Degraded,0.46693,0.26295,0.0,0.834039,597088,716,4,9.619,0.0666,0.0217,0.0883,31
11,1789082388.379,Degraded,0.697181,0.02839,0.672146,0.801802,891518,1056,6,9.708,0.0624,0.0229,0.0854,31
12,1789082398.609,Degraded,0.690914,0.023996,0.635946,0.75014,883507,1037,6,10.072,0.0661,0.0182,0.0843,31
13,1789082408.839,Degraded,0.48967,0.267375,0.0,0.896015,626163,741,4,10.277,0.0651,0.0183,0.0834,31
14,1789082419.069,Degraded,0.332194,0.287537,0.0,0.938071,424794,468,2,10.881,0.0663,0.0192,0.0855,31
15,1789082429.299,Degraded,0.310601,0.147048,0.0,0.549201,397181,358,4,10.847,0.0652,0.0196,0.0848,31
16,1789082439.529,Critical,0.366915,0.0387,0.258333,0.480285,469194,456,6,11.042,0.0666,0.019,0.0856,31
17,1789082449.759,Degraded,0.367139,0.032904,0.294688,0.422383,469477,451,4,11.116,0.0656,0.0205,0.0861,31
18,1789082459.989,Critical,0.441092,1.432811,0.0,8.264662,564027,479,4,10.991,0.0652,0.0193,0.0845,31
19,1789082470.219,Critical,0.189791,0.063016,0.110343,0.260745,242694,239,5,11.479,0.0662,0.02,0.0861,31
20,1789082480.449,Critical,0.186485,0.049485,0.110348,0.259594,238468,225,4,11.158,0.0592,0.0192,0.0784,31
21,1789082490.679,Critical,0.430733,1.372491,0.0,7.865494,550794,458,2,11.029,0.0637,0.0197,0.0834,31
22,1789082500.909,Critical,0.175857,0.234725,0.0,0.705554,224875,180,2,11.258,0.0659,0.0189,0.0848,31
23,1789082511.139,Good,1.855858,7.198452,0.0,41.254262,2374679,1981,4,11.191,0.0692,0.0202,0.0894,31
24,1789082521.369,Degraded,0.461137,0.483426,0.0,1.146924,589679,538,4,11.7,0.0694,0.0204,0.0898,31
25,1789082531.599,Good,0.976949,0.052774,0.882748,1.065836,1249273,1162,5,11.96,0.065,0.0197,0.0847,31
26,1789082541.829,Good,0.972908,0.062653,0.846436,1.098441,1244108,1093,4,11.982,0.0698,0.0212,0.091,31
27,1789082552.059,Good,0.777101,0.382316,0.0,1.490488,993721,806,2,12.024,0.0604,0.0181,0.0786,31
28,1789082562.289,Good,2.071087,0.751736,0.0,2.605154,2648398,2395,6,11.887,0.0687,0.0197,0.0885,31
29,1789082572.519,Good,1.573988,1.100286,0.0,2.645439,2012740,1617,4,12.515,0.0646,0.0186,0.0831,31
30,1789082582.749,Excellent,2.357189,0.1217,2.248191,2.628446,3014257,2244,2,12.437,0.0678,0.0205,0.0883,31
31,1789082592.979,Excellent,4.807061,13.60492,0.0,77.505882,6147252,4877,4,12.57,0.0647,0.0195,0.0842,31
32,1789082603.209,Excellent,3.161912,4.917206,0.0,20.399504,4043416,3093,4,12.961,0.0708,0.0196,0.0904,31
33,1789082613.44,Excellent,3.855909,9.358762,0.002521,52.557304,4931134,3761,4,13.062,0.0621,0.0191,0.0812,31
34,1789082623.669,Good,1.061815,2.008518,0.0,9.13922,1357803,1059,4,12.687,0.0648,0.0193,0.084,31
35,1789082633.899,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,13.537,0.0573,0.0016,0.0589,31
