window,t_epoch,kelas,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,ms_baca,ms_fitur,ms_infer,ms_total,n_cuplik
0,1789089843.911,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,24.661,0.1466,0.0035,0.1501,31
1,1789089854.141,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,29.404,0.0677,0.0018,0.0694,31
2,1789089864.371,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,29.227,0.0671,0.0015,0.0686,31
3,1789089874.601,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,29.824,0.0708,0.0018,0.0726,31
4,1789089884.831,Critical,0.024621,0.078756,0.0,0.37765,31484,48,2,29.179,0.0761,0.0261,0.1021,31
5,1789089895.061,Critical,0.118798,0.053376,0.0,0.188121,151912,137,4,30.532,0.0732,0.0272,0.1004,31
6,1789089905.291,Critical,0.12234,0.057993,0.0,0.226477,156442,142,3,30.155,0.0719,0.0221,0.0939,31
7,1789089915.521,Critical,0.355596,1.26779,0.0,7.281896,454725,377,5,30.055,0.0791,0.0224,0.1016,31
8,1789089925.751,Critical,0.119282,0.075744,0.0,0.242897,152533,129,2,30.882,0.0744,0.0261,0.1006,31
9,1789089935.981,Critical,0.11938,0.097392,0.0,0.283051,152658,129,2,30.801,0.0713,0.0254,0.0967,31
10,1789089946.211,Critical,0.126954,0.086516,0.0,0.294191,162344,148,4,30.906,0.0748,0.0249,0.0997,31
11,1789089956.441,Critical,0.114211,0.056998,0.0,0.220703,146039,153,6,31.239,0.0713,0.0273,0.0986,31
12,1789089966.671,Critical,1.066409,5.221848,0.0,29.659414,1363653,1070,4,31.591,0.0745,0.022,0.0965,31
13,1789089976.901,Critical,0.127816,0.029435,0.075252,0.220696,163445,169,5,31.742,0.07,0.0207,0.0907,31
14,1789089987.131,Critical,0.122603,0.050494,0.0,0.329806,156778,149,3,31.915,0.0756,0.0213,0.0969,31
15,1789089997.361,Critical,0.085975,0.124832,0.0,0.416774,109942,106,2,31.691,0.0696,0.021,0.0906,31
16,1789090007.591,Critical,0.122306,0.047436,0.0,0.220706,156400,157,4,32.123,0.0731,0.0201,0.0931,31
17,1789090017.821,Critical,0.098761,0.094559,0.0,0.328532,126289,108,2,32.335,0.073,0.0208,0.0937,31
18,1789090028.051,Critical,0.119517,0.087052,0.0,0.247656,152834,130,2,32.874,0.0731,0.0215,0.0946,31
19,1789090038.281,Critical,0.117851,0.110097,0.0,0.375702,150701,135,3,32.163,0.0707,0.0208,0.0915,31
20,1789090048.511,Critical,0.196893,0.396321,0.0,2.308522,251776,244,4,32.131,0.073,0.0204,0.0934,31
21,1789090058.741,Critical,0.122336,0.060812,0.0,0.266401,156437,156,4,33.163,0.0726,0.0219,0.0945,31
22,1789090068.971,Critical,0.121758,0.039041,0.06085,0.187056,155698,160,5,32.809,0.0696,0.0202,0.0898,31
23,1789090079.201,Critical,0.098141,0.067275,0.0,0.266617,125498,117,4,33.113,0.0715,0.0209,0.0925,31
24,1789090089.431,Critical,0.114207,0.110996,0.0,0.403744,146042,126,4,33.171,0.0709,0.0198,0.0907,31
25,1789090099.661,Critical,0.122252,0.03437,0.037913,0.154378,156330,170,7,33.464,0.0731,0.0221,0.0952,31
26,1789090109.891,Critical,0.123547,0.037437,0.072722,0.187657,157985,158,4,34.238,0.0692,0.022,0.0912,31
27,1789090120.121,Critical,0.063238,0.111159,0.0,0.375709,80866,71,2,33.686,0.0745,0.0223,0.0968,31
28,1789090130.351,Critical,0.157623,0.104517,0.0,0.37572,201561,184,4,33.792,0.0755,0.0209,0.0964,31
29,1789090140.581,Critical,0.17908,0.064933,0.0,0.402559,228997,211,4,33.887,0.0708,0.0196,0.0904,31
30,1789090150.811,Critical,0.17727,0.050603,0.0,0.290229,226684,206,4,33.518,0.0749,0.0213,0.0962,31
31,1789090161.041,Critical,0.179414,0.057856,0.0,0.293431,229426,219,6,33.908,0.0694,0.0207,0.0901,31
32,1789090171.271,Degraded,1.367525,6.475359,0.0,36.828295,1749034,1383,4,34.307,0.0741,0.0651,0.1393,31
33,1789090181.501,Degraded,0.507136,0.029033,0.443922,0.549229,648500,658,7,34.941,0.0715,0.0206,0.0921,31
34,1789090191.731,Degraded,0.506124,0.02709,0.443947,0.528711,647207,649,5,36.171,0.07,0.0206,0.0905,31
35,1789090201.961,Critical,0.272414,0.249195,0.0,0.528415,348349,347,4,35.638,0.0699,0.0201,0.09,31
