window,t_epoch,kelas,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,ms_baca,ms_fitur,ms_infer,ms_total,n_cuplik
0,1789089077.647,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,17.074,0.084,0.0015,0.0855,31
1,1789089087.877,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,20.639,0.0619,0.0019,0.0638,31
2,1789089098.107,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,20.797,0.0667,0.0023,0.0689,31
3,1789089108.337,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,20.621,0.0646,0.0017,0.0663,31
4,1789089118.567,TANPA-DATA,0.00531,0.025566,0.0,0.144126,6790,21,4,19.068,0.0564,0.0014,0.0578,31
5,1789089128.797,Critical,0.139766,0.077986,0.0,0.492523,178725,226,5,20.197,0.0749,0.0271,0.102,31
6,1789089139.027,Critical,0.14066,0.059386,0.0,0.303316,179868,225,2,21.833,0.0718,0.0259,0.0976,31
7,1789089149.257,Critical,0.143019,0.024638,0.089261,0.185612,182882,205,2,22.163,0.0753,0.0244,0.0997,31
8,1789089159.487,Critical,0.102935,0.07763,0.0,0.329793,131628,143,2,21.576,0.0692,0.0232,0.0924,31
9,1789089169.717,Critical,0.060412,0.131079,0.0,0.449705,77252,74,2,21.915,0.0708,0.0242,0.095,31
10,1789089179.947,Critical,0.053807,0.12699,0.0,0.48606,68807,59,2,21.553,0.0627,0.0221,0.0848,31
11,1789089190.177,Critical,0.151063,0.03888,0.0,0.220701,193171,177,5,21.869,0.0712,0.0241,0.0953,31
12,1789089200.407,Critical,0.148726,0.01077,0.111616,0.183942,190186,205,8,22.408,0.0733,0.0274,0.1007,31
13,1789089210.637,Critical,1.632781,8.246885,0.0,46.802316,2087946,1647,4,22.389,0.0703,0.021,0.0913,31
14,1789089220.867,Critical,0.044618,0.107359,0.0,0.375709,57055,48,2,22.425,0.0676,0.0204,0.0881,31
15,1789089231.097,Critical,0.074158,0.123365,0.0,0.375741,94782,77,2,22.32,0.0672,0.0211,0.0883,31
16,1789089241.327,Critical,0.122033,0.059174,0.0,0.255803,156058,137,3,22.538,0.0734,0.0201,0.0936,31
17,1789089251.557,Critical,0.262314,0.783011,0.0,4.5387,335427,279,2,22.538,0.0669,0.0191,0.0859,31
18,1789089261.787,Critical,0.135069,0.118901,0.0,0.413349,172720,148,4,22.416,0.0741,0.0206,0.0946,31
19,1789089272.017,Critical,0.167706,0.046434,0.101016,0.293437,214454,209,4,22.454,0.0674,0.02,0.0875,31
20,1789089282.247,Critical,0.165401,0.039054,0.046205,0.293421,211506,175,2,23.047,0.069,0.0213,0.0903,31
21,1789089292.477,Critical,0.163031,0.087065,0.0,0.316143,208476,176,4,22.463,0.0678,0.0204,0.0881,31
22,1789089302.707,Critical,0.154509,0.156346,0.0,0.857274,197578,179,4,23.027,0.0721,0.0215,0.0936,31
23,1789089312.937,Degraded,0.238979,0.176926,0.0,0.53111,305594,274,2,22.807,0.0699,0.0216,0.0915,31
24,1789089323.167,Degraded,0.361969,0.05589,0.258333,0.477761,462848,420,4,23.149,0.0719,0.0204,0.0923,31
25,1789089333.397,Degraded,2.276744,10.856271,0.0,61.734789,2911403,2299,4,23.092,0.0683,0.0199,0.0882,31
26,1789089343.627,Critical,0.153858,0.032537,0.075539,0.223119,196746,211,7,23.493,0.0712,0.0212,0.0924,31
27,1789089353.857,Critical,0.155438,0.020342,0.139988,0.227034,198766,207,5,24.219,0.0703,0.0219,0.0922,31
28,1789089364.087,Critical,0.15734,0.05467,0.0,0.378237,201199,203,4,24.859,0.0725,0.0211,0.0936,31
29,1789089374.317,Critical,0.164063,0.137702,0.0,0.375707,209813,180,4,24.823,0.071,0.0208,0.0918,31
30,1789089384.547,Critical,0.245769,0.047887,0.183074,0.367414,314278,290,5,24.925,0.0674,0.0204,0.0878,31
31,1789089394.777,Critical,0.243521,0.042982,0.110349,0.311179,311400,294,4,25.21,0.0706,0.0217,0.0924,31
32,1789089405.007,Critical,1.056786,4.497464,0.0,25.686313,1351333,1144,6,25.039,0.0673,0.0205,0.0878,31
33,1789089415.237,Critical,0.113649,0.120473,0.0,0.438898,145328,156,7,26.162,0.0739,0.0213,0.0952,31
34,1789089425.467,Critical,0.211645,0.081443,0.008073,0.376989,270643,311,5,25.703,0.0738,0.0205,0.0943,31
35,1789089435.697,Critical,0.058526,0.096215,0.0,0.259595,74840,75,2,26.185,0.0685,0.021,0.0895,31
