window,t_epoch,kelas,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,ms_baca,ms_fitur,ms_infer,ms_total,n_cuplik
0,1789081893.429,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,4.5,0.0926,0.0015,0.0941,31
1,1789081903.659,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,5.126,0.0582,0.0016,0.0597,31
2,1789081913.889,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,5.08,0.0546,0.0013,0.0559,31
3,1789081924.119,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,5.016,0.0554,0.0015,0.0569,31
4,1789081934.349,Degraded,0.794826,1.885111,0.0,6.353836,1016385,1071,6,5.071,0.0682,0.0244,0.0926,31
5,1789081944.579,Excellent,5.968169,0.121579,5.7377,6.248319,7631781,5735,4,5.75,0.0616,0.0246,0.0863,31
6,1789081954.809,Excellent,5.984753,0.122281,5.709336,6.241927,7653002,5930,4,5.719,0.0647,0.02,0.0847,31
7,1789081965.039,Excellent,5.965725,0.118473,5.818201,6.242166,7628670,5635,2,5.901,0.0616,0.021,0.0826,31
8,1789081975.269,Excellent,5.970785,0.133353,5.753353,6.242667,7635136,5641,2,5.794,0.0609,0.0231,0.084,31
9,1789081985.499,Excellent,4.234971,4.609875,0.0,26.107319,5415457,4311,2,5.678,0.057,0.0221,0.0791,31
10,1789081995.729,Excellent,2.905761,0.872733,0.0,3.326705,3715740,2754,2,5.87,0.059,0.0217,0.0807,31
11,1789082005.959,Excellent,3.224704,0.117947,2.95666,3.370697,4123593,3231,4,5.885,0.0616,0.0249,0.0864,31
12,1789082016.189,Excellent,2.914132,0.868588,0.0,3.443146,3726438,3017,4,6.26,0.0656,0.0198,0.0854,31
13,1789082026.419,Excellent,1.645452,1.602283,0.0,3.625223,2104098,1676,2,6.208,0.0643,0.0195,0.0837,31
14,1789082036.649,Excellent,2.822946,1.003234,0.0,3.578762,3609843,3002,5,6.275,0.063,0.0184,0.0814,31
15,1789082046.879,Excellent,3.340195,0.118536,3.118767,3.592828,4271273,3497,6,6.559,0.0592,0.0195,0.0787,31
16,1789082057.109,Excellent,3.351952,0.136002,3.12107,3.592688,4286310,3526,6,6.803,0.065,0.0193,0.0842,31
17,1789082067.339,Excellent,3.343054,0.094752,3.152531,3.52789,4274929,3491,6,7.018,0.0627,0.0189,0.0816,31
18,1789082077.569,Excellent,5.645947,3.542897,0.002521,17.869891,7219761,6025,4,7.673,0.068,0.0204,0.0884,31
19,1789082087.799,Excellent,2.589849,2.437458,0.0,6.191964,3311746,2690,4,7.548,0.0652,0.0196,0.0848,31
20,1789082098.029,Excellent,2.20355,2.756922,0.0,6.351563,2817810,2744,2,7.69,0.0662,0.0209,0.0871,31
21,1789082108.259,Excellent,5.050541,2.216877,0.0,6.244909,6458397,5970,6,7.789,0.0653,0.0199,0.0851,31
22,1789082118.489,Excellent,6.032476,0.123037,5.704223,6.320162,7714009,7112,4,7.968,0.0984,0.0201,0.1184,31
23,1789082128.719,Excellent,3.002049,6.382197,0.561981,36.10818,3839046,3624,2,7.993,0.0628,0.0191,0.0818,31
24,1789082138.949,Good,1.012883,1.330189,0.0,5.440372,1295214,1501,4,7.794,0.0659,0.0208,0.0866,31
25,1789082149.179,Excellent,3.977397,2.43785,0.0,6.246607,5086153,6305,4,8.029,0.066,0.0222,0.0881,31
26,1789082159.409,Excellent,6.105937,0.174834,5.599763,6.254867,7807998,9605,4,8.225,0.0661,0.02,0.0862,31
27,1789082169.639,Excellent,4.245282,2.608039,0.0,6.219263,5428662,6362,4,8.265,0.0663,0.0201,0.0864,31
28,1789082179.869,Excellent,3.952988,2.75757,0.0,6.20624,5054890,5132,2,8.194,0.0589,0.0194,0.0783,31
29,1789082190.099,Excellent,6.078139,0.088844,5.873932,6.314999,7772423,7951,2,8.248,0.0599,0.019,0.079,31
30,1789082200.329,Excellent,6.038124,0.292371,4.517567,6.299286,7721564,7832,2,8.217,0.0647,0.0203,0.085,31
31,1789082210.559,Excellent,6.044142,0.081375,5.853321,6.273303,7728641,7332,2,8.575,0.0623,0.0199,0.0823,31
32,1789082220.789,Good,1.258236,2.427683,0.0,6.268837,1608974,1870,2,8.343,0.0644,0.0195,0.0839,31
33,1789082231.019,Good,1.03812,1.488902,0.0,4.998249,1327477,1302,2,8.722,0.0631,0.0192,0.0823,31
34,1789082241.249,TANPA-DATA,0.000122,0.000668,0.0,0.003782,156,3,2,8.779,0.0572,0.0014,0.0587,31
35,1789082251.479,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,8.479,0.0551,0.002,0.057,31
