run_id,window_index,n_samples,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,total_bytes,total_packets,active_flows,label
S1_BigBuckBunny_rep1,17,10,3.736346,6.084623,0.0,17.900144,0.006497,0.022806,0.0,0,4681642,3123,1,Excellent
S1_BigBuckBunny_rep1,18,11,2.61372,5.71313,0.0,17.606369,0.0047,0.026315,0.0,0,3602630,2403,1,Excellent
S1_BigBuckBunny_rep1,19,11,3.556462,6.51296,0.0,20.760914,0.006265,0.024524,0.0,0,4901994,3270,1,Excellent
S1_BigBuckBunny_rep1,20,11,1.705337,3.66827,0.0,10.804765,0.004216,0.026091,0.0,0,2350665,1568,1,Excellent
S1_BigBuckBunny_rep1,21,11,4.884175,8.157583,0.0,20.402386,0.006896,0.02643,0.0,0,6731859,4489,1,Excellent
S1_BigBuckBunny_rep1,22,11,2.615512,5.562146,0.0,15.303858,0.004437,0.026436,0.0,0,3605343,2404,1,Excellent
S1_BigBuckBunny_rep1,23,11,4.238732,7.22598,0.0,21.091508,0.006388,0.026244,0.0,0,5842245,3896,1,Excellent
S1_BigBuckBunny_rep1,24,11,3.61497,7.76863,0.0,22.797917,0.003723,0.022122,0.0,0,4982938,3323,1,Excellent
S1_BigBuckBunny_rep1,25,11,3.530704,6.225213,0.0,18.97652,0.020009,0.173647,0.0,0,4866370,3247,1,Excellent
S1_BigBuckBunny_rep1,26,11,2.643439,5.671182,0.0,16.525215,0.004091,0.024447,0.0,0,3643658,2430,1,Excellent
S1_BigBuckBunny_rep1,27,11,0.001161,0.001536,0.0,0.003193,132.814431,427.909133,0.0,0,1600,4,1,Excellent
S1_BigBuckBunny_rep1,28,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Excellent
S1_BigBuckBunny_rep1,29,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,Excellent
S1_ElephantsDream_rep1,1,11,3.64167,6.288057,0.0,18.802059,0.006658,0.026702,0.0,0,5020459,3348,1,Excellent
