run_id,window_index,n_samples,rtt_samples,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,total_bytes,total_packets,active_flows,label
MC_s10_bola_BigBuckBunny,1,98,81,0.972608,3.242603,0.0,26.624825,34.111043,67.779132,0.481696,5,128.61386,176.123329,38.233081,1226644,1038,2,Good
MC_s10_bola_BigBuckBunny,2,98,19,0.056472,0.131628,0.0,0.543969,62.073223,356.208145,3.658537,3,164.264804,321.491214,88.699294,71693,82,4,Degraded
MC_s10_bola_BigBuckBunny,3,97,8,0.019995,0.087645,0.0,0.64588,55.651646,500.884779,6.896552,2,245.031583,1020.847965,315.796279,25054,29,2,Critical
MC_s10_bola_BigBuckBunny,4,208,46,0.121794,0.28092,0.0,1.271591,26.160101,64.562919,0.0,0,570.869763,288.260257,2881.18541,328839,329,2,Critical
MC_s10_bola_BigBuckBunny,5,97,8,0.072843,0.252164,0.0,1.195603,22.942351,234.191558,0.0,0,69.672799,142.039112,48.089411,91643,75,2,Critical
MC_s10_bola_BigBuckBunny,6,97,64,0.235438,0.199226,0.0,0.47263,68.116423,97.615229,0.0,0,234.327761,310.191799,60.950173,299029,302,2,Critical
MC_s10_bola_BigBuckBunny,7,98,61,0.248558,0.212352,0.0,0.498032,68.94159,234.231862,0.0,0,180.475161,310.032575,66.295308,319107,321,2,Degraded
MC_s10_bola_BigBuckBunny,8,97,21,0.117997,0.260176,0.0,1.184183,35.873163,241.534297,0.0,0,120.496432,197.22897,66.417019,150199,133,2,Critical
MC_s10_bola_BigBuckBunny,9,96,47,0.215228,0.247553,0.0,0.814212,109.479453,653.642079,0.8,2,167.716439,250.78161,81.600226,270332,250,2,Degraded
MC_s10_bola_BigBuckBunny,10,96,71,0.29622,0.211118,0.0,0.700268,63.36196,91.430944,0.0,0,203.43902,250.971307,64.928309,372755,340,2,Degraded
MC_s10_bola_BigBuckBunny,11,97,65,0.233714,0.185887,0.0,0.694962,73.65248,118.403935,0.0,0,204.718309,250.257309,62.076649,297939,284,2,Degraded
MC_s10_bola_BigBuckBunny,12,95,52,0.162152,0.167853,0.0,0.691662,78.752935,161.316284,1.522843,3,257.696192,317.414153,94.622532,203435,197,2,Degraded
MC_s10_bola_BigBuckBunny,13,96,58,0.28268,0.267784,0.0,1.181462,43.053121,116.392329,0.0,0,175.498325,292.430343,83.076457,358962,323,2,Critical
MC_s10_bola_BigBuckBunny,14,96,21,0.090788,0.176073,0.0,0.692319,67.595376,347.533774,0.980392,1,240.483338,318.135592,85.685607,114858,102,2,Critical
MC_s10_bola_BigBuckBunny,15,96,25,0.113455,0.220399,0.0,1.181387,80.002919,396.647108,0.719424,1,121.126901,211.926704,62.789962,143430,139,2,Critical
MC_s10_bola_BigBuckBunny,16,95,15,0.07977,0.19178,0.0,1.062467,67.612053,476.429576,1.098901,1,176.278085,299.382369,84.594199,99822,91,2,Critical
MC_s10_bola_BigBuckBunny,17,96,40,0.114257,0.193262,0.0,1.305223,109.314094,463.444559,5.625,9,272.857911,499.048738,147.214667,144648,160,2,Critical
MC_s10_bola_BigBuckBunny,18,95,46,0.100008,0.107893,0.0,0.353779,74.281421,305.909709,12.345679,20,439.922572,617.41514,194.046036,126057,162,3,Critical
MC_s10_bola_BigBuckBunny,19,99,46,0.084424,0.103239,0.0,0.342256,92.571102,253.225943,6.766917,9,419.815867,606.921626,178.633858,111140,133,2,Degraded
MC_s10_bola_BigBuckBunny,20,95,41,0.072144,0.089929,0.0,0.26782,103.100528,271.61794,14.40678,17,373.248847,594.415697,197.310059,91276,118,2,Critical
MC_s10_bola_BigBuckBunny,21,95,27,0.056696,0.12122,0.0,0.696098,85.646066,401.944697,10.344828,9,204.388938,553.034206,193.706293,71637,87,2,Critical
MC_s10_bola_BigBuckBunny,22,94,46,0.098348,0.106696,0.0,0.343223,161.312213,459.535517,0.0,0,418.75654,1265.913907,338.89899,123318,132,3,Critical
MC_s10_bola_BigBuckBunny,23,95,20,0.064213,0.141541,0.0,0.718721,67.522441,466.347832,1.282051,1,516.100585,851.856886,340.483462,81162,78,2,Critical
MC_s10_bola_BigBuckBunny,24,95,32,0.048949,0.083154,0.0,0.237516,193.701283,459.02823,0.0,0,522.411453,1077.553717,350.882192,61870,76,4,Critical
MC_s10_bola_BigBuckBunny,25,95,30,0.046588,0.078783,0.0,0.342578,131.846147,467.037737,1.408451,1,347.28606,902.741528,292.559583,58828,71,2,Critical
MC_s10_bola_BigBuckBunny,26,129,37,0.045023,0.089584,0.0,0.454184,156.932273,575.885009,0.0,0,606.28456,1504.606782,406.021622,77667,88,2,Critical
