run_id,window_index,t_start,mean_o22,stall_s,label
MC_s2_bola_RedBullPlayStreets,0,0.0,4.2213,0.223,Degraded
MC_s2_bola_RedBullPlayStreets,1,10.0,4.414,0,Excellent
MC_s2_bola_RedBullPlayStreets,2,20.0,4.4317,0,Excellent
MC_s2_bola_RedBullPlayStreets,3,30.0,4.4331,0,Excellent
MC_s2_bola_RedBullPlayStreets,4,40.0,4.4331,0,Excellent
MC_s2_bola_RedBullPlayStreets,5,50.0,3.9803,0,Good
MC_s2_bola_RedBullPlayStreets,6,60.0,3.1926,8.18,Critical
MC_s2_bola_RedBullPlayStreets,7,70.0,1.6189,0,Critical
MC_s2_bola_RedBullPlayStreets,8,80.0,3.0371,0,Good
MC_s2_bola_RedBullPlayStreets,9,90.0,2.5311,20.445,Critical
MC_s2_bola_RedBullPlayStreets,10,100.0,1.9951,6.992,Critical
MC_s2_bola_RedBullPlayStreets,11,110.0,2.3844,0,Degraded
MC_s2_bola_RedBullPlayStreets,12,120.0,2.829,0,Degraded
MC_s2_bola_RedBullPlayStreets,13,130.0,2.587,0,Degraded
MC_s2_bola_RedBullPlayStreets,14,140.0,1.6189,5.166,Critical
MC_s2_bola_RedBullPlayStreets,15,150.0,2.2459,0,Degraded
MC_s2_bola_RedBullPlayStreets,16,160.0,2.583,2.881,Critical
MC_s2_bola_RedBullPlayStreets,17,170.0,1.6189,1.163,Critical
MC_s2_bola_RedBullPlayStreets,18,180.0,1.6189,0,Critical
MC_s2_bola_RedBullPlayStreets,19,190.0,2.9853,0,Degraded
MC_s2_bola_RedBullPlayStreets,20,200.0,4.4439,0,Excellent
MC_s2_bola_RedBullPlayStreets,21,210.0,4.4327,0,Excellent
MC_s2_bola_RedBullPlayStreets,22,220.0,4.4331,0,Excellent
MC_s2_bola_RedBullPlayStreets,23,230.0,4.4788,0,Excellent
MC_s2_bola_RedBullPlayStreets,24,240.0,4.5246,0,Excellent
MC_s2_bola_RedBullPlayStreets,25,250.0,4.5246,0,Excellent
