run_id,window_index,n_samples,rtt_samples,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,total_bytes,total_packets,active_flows,bytes_kumulatif,pkt_delta_prev,rasio_diam,tp_delta_prev,tp_kumulatif,tp_pendek_max,tp_pendek_mean,tp_pendek_std,tp_rasio_kumulatif,tp_rasio_prev,tp_slot_akhir,label
MC_s10_bola_BigBuckBunny,1,98,81,0.972608,3.242603,0.0,26.624825,34.111043,65.17327,0.481696,5,128.61386,176.123329,38.233081,1226644,1038,2,1925255,423,0.173469,0.41909,0.762753,26.624825,1.795566,5.768265,1.275128,1.757139,0.0,Good
MC_s10_bola_BigBuckBunny,2,98,19,0.056472,0.131628,0.0,0.543969,62.073223,355.28118,3.658537,3,164.264804,303.627462,88.699294,71693,82,4,1996948,-956,0.765306,-0.916136,0.527059,0.034607,0.00346,0.010379,0.107145,0.058062,0.034607,Degraded
MC_s10_bola_BigBuckBunny,3,97,8,0.019995,0.087645,0.0,0.64588,55.651646,498.676348,6.896552,2,245.031583,1020.847965,315.796279,25054,29,2,2022002,-53,0.907216,-0.036477,0.400823,0.0,0.0,0.0,0.049885,0.354069,0.0,Critical
MC_s10_bola_BigBuckBunny,4,208,46,0.121794,0.28092,0.0,1.271591,26.160101,64.562919,0.0,0,570.869763,288.260257,2881.18541,328839,329,2,2350841,300,0.783654,0.101799,0.303586,1.195603,0.165956,0.338351,0.401185,6.091223,0.0,Critical
MC_s10_bola_BigBuckBunny,5,97,8,0.072843,0.252164,0.0,1.195603,22.942351,214.30841,0.0,0,69.672799,142.039112,48.089411,91643,75,2,2442484,-254,0.917526,-0.048951,0.271291,1.164085,0.123235,0.320485,0.268505,0.598084,0.0,Critical
MC_s10_bola_BigBuckBunny,6,97,64,0.235438,0.199226,0.0,0.47263,68.116423,97.401678,0.0,0,234.327761,310.191799,60.950173,299029,302,2,2741513,227,0.350515,0.162595,0.266892,0.467292,0.270583,0.175238,0.882147,3.232129,0.2332,Critical
MC_s10_bola_BigBuckBunny,7,98,61,0.248558,0.212352,0.0,0.498032,68.94159,202.065566,0.0,0,180.475161,310.032575,66.295308,319107,321,2,3060620,19,0.377551,0.01312,0.264858,0.467739,0.346169,0.1864,0.938458,1.055726,0.466399,Degraded
MC_s10_bola_BigBuckBunny,8,97,21,0.117997,0.260176,0.0,1.184183,35.873163,214.131938,0.0,0,120.496432,197.22897,66.417019,150199,133,2,3210819,-188,0.773196,-0.130561,0.250321,1.181926,0.113764,0.278459,0.471383,0.474726,0.0,Critical
MC_s10_bola_BigBuckBunny,9,96,47,0.215228,0.247553,0.0,0.814212,109.479453,636.319702,0.8,2,167.716439,250.78161,81.600226,270332,250,2,3481151,117,0.479167,0.097231,0.247168,0.814212,0.373944,0.192759,0.870776,1.824012,0.282773,Degraded
MC_s10_bola_BigBuckBunny,10,96,71,0.29622,0.211118,0.0,0.700268,63.36196,90.746112,0.0,0,203.43902,250.889906,64.928309,372755,340,2,3853906,90,0.25,0.080992,0.25119,0.695626,0.285394,0.209813,1.179267,1.376308,0.348145,Degraded
