run_id,window_index,n_samples,rtt_samples,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,total_bytes,total_packets,active_flows,bytes_kumulatif,pkt_delta_prev,rasio_diam,tp_delta_prev,tp_kumulatif,tp_pendek_max,tp_pendek_mean,tp_pendek_std,tp_rasio_kumulatif,tp_rasio_prev,tp_slot_akhir,label
CONT_s10_bola_BigBuckBunny,1,99,99,1.008956,0.276692,0.473738,1.537126,28.234015,53.620802,0.0,0,134.994442,172.316323,33.640652,1278843,1072,4,2563801,-17,0.0,-0.005891,1.011915,1.535625,1.015441,0.299425,0.997076,0.994195,0.698322,Good
CONT_s10_bola_BigBuckBunny,2,98,96,1.056021,0.305625,0.0,2.074364,23.676907,47.115913,0.711744,8,130.672148,167.05568,29.801694,1325850,1124,4,3889651,52,0.020408,0.047065,1.026527,1.445385,1.0837,0.169558,1.028732,1.046647,0.948761,Good
CONT_s10_bola_BigBuckBunny,3,98,98,1.078582,0.153826,0.709864,1.418345,44.412242,52.600671,0.0,0,157.966187,191.445504,22.535376,1357670,1246,5,5247321,122,0.0,0.022561,1.039511,1.306823,1.077611,0.119073,1.037586,1.021364,1.062724,Good
CONT_s10_bola_BigBuckBunny,4,99,99,1.07867,0.179543,0.586563,1.649661,42.277785,53.770533,0.0,0,151.551089,190.104522,27.622784,1373329,1241,5,6620650,-5,0.0,8.8e-05,1.047391,1.411473,1.07908,0.180919,1.029864,1.000082,1.408807,Good
CONT_s10_bola_BigBuckBunny,5,98,60,0.662754,0.57398,0.0,1.642335,22.979379,71.488753,0.0,0,127.585968,156.478556,30.400151,836594,678,2,7457244,-563,0.387755,-0.415916,0.983426,1.642335,0.95175,0.489015,0.673924,0.614418,1.530874,Good
CONT_s10_bola_BigBuckBunny,6,98,68,1.375001,7.07507,0.0,70.876971,25.137088,63.024179,0.55905,8,140.626038,184.619484,42.687178,1734422,1431,2,9191666,753,0.306122,0.712247,1.03933,1.408872,0.855858,0.208782,1.322969,2.074678,0.99068,Excellent
CONT_s10_bola_BigBuckBunny,7,98,98,0.850847,0.211214,0.343547,1.410175,41.008924,56.943458,0.0,0,157.393895,178.200785,23.886329,1075879,991,6,10267545,-440,0.0,-0.524154,1.015735,0.94544,0.85025,0.115966,0.837666,0.618797,0.706345,Excellent
CONT_s10_bola_BigBuckBunny,8,97,97,0.850111,0.115781,0.704986,1.123475,45.083057,57.438362,0.0,0,138.100564,178.09724,42.630528,1068261,1052,4,11335806,61,0.0,-0.000736,0.997436,1.123475,0.857237,0.120711,0.852296,0.999135,0.70771,Excellent
CONT_s10_bola_BigBuckBunny,9,98,98,0.852208,0.118186,0.690368,1.075358,19.27456,19.729717,0.0,0,81.512493,84.223881,9.571645,1080282,1067,2,12416088,15,0.0,0.002097,0.982857,0.94544,0.852974,0.113727,0.867072,1.002467,0.707027,Good
CONT_s10_bola_BigBuckBunny,10,98,68,0.617769,1.36465,0.0,13.550145,33.927133,106.86181,0.573888,4,144.637494,250.971046,79.624769,783187,697,2,13199275,-370,0.306122,-0.234439,0.949563,0.937386,0.588778,0.208066,0.650582,0.724904,0.690334,Good
CONT_s10_bola_BigBuckBunny,11,97,94,0.573816,0.210933,0.0,1.052534,34.321987,37.930286,0.0,0,185.062694,251.581403,56.691872,720190,596,2,13919465,-101,0.030928,-0.043953,0.918465,0.93648,0.582557,0.217287,0.624755,0.928852,0.934672,Good
CONT_s10_bola_BigBuckBunny,12,98,96,0.576673,0.187361,0.0,1.053553,41.296267,69.775783,0.0,0,203.087596,251.353607,60.94354,731550,607,4,14651015,11,0.030612,0.002857,0.892055,0.819633,0.57148,0.22894,0.646455,1.004979,0.583166,Good
