run_id,t_epoch,dt,delta_bytes,delta_packets,active_flows
S5C_RedBullPlayStreets_rep1,1786990026.209,1.0202,21132,17,2
S5C_RedBullPlayStreets_rep1,1786990027.23,1.0211,334500,223,1
S5C_RedBullPlayStreets_rep1,1786990028.251,1.021,384000,256,1
S5C_RedBullPlayStreets_rep1,1786990029.271,1.0207,444000,296,1
S5C_RedBullPlayStreets_rep1,1786990030.292,1.0203,535500,357,1
S5C_RedBullPlayStreets_rep1,1786990031.313,1.021,603000,402,1
S5C_RedBullPlayStreets_rep1,1786990032.335,1.0223,684000,456,1
S5C_RedBullPlayStreets_rep1,1786990033.356,1.0212,750486,501,1
S5C_RedBullPlayStreets_rep1,1786990034.378,1.0215,993000,662,1
S5C_RedBullPlayStreets_rep1,1786990035.402,1.0243,1507500,1005,1
S5C_RedBullPlayStreets_rep1,1786990036.425,1.0232,2045088,1364,1
S5C_RedBullPlayStreets_rep1,1786990037.448,1.023,1339249,893,1
S5C_RedBullPlayStreets_rep1,1786990038.47,1.022,664500,443,1
S5C_RedBullPlayStreets_rep1,1786990039.494,1.0243,2460177,1641,1
S5C_RedBullPlayStreets_rep1,1786990040.516,1.0221,0,0,0
S5C_RedBullPlayStreets_rep1,1786990041.541,1.0245,0,0,0
S5C_RedBullPlayStreets_rep1,1786990042.563,1.0216,1342500,895,1
S5C_RedBullPlayStreets_rep1,1786990043.585,1.0226,1661551,1108,1
S5C_RedBullPlayStreets_rep1,1786990044.607,1.0217,0,0,0
S5C_RedBullPlayStreets_rep1,1786990045.629,1.0224,0,0,0
S5C_RedBullPlayStreets_rep1,1786990046.653,1.0236,1380000,920,1
S5C_RedBullPlayStreets_rep1,1786990047.674,1.0216,995652,664,1
S5C_RedBullPlayStreets_rep1,1786990048.696,1.0219,0,0,0
S5C_RedBullPlayStreets_rep1,1786990049.717,1.0206,0,0,0
S5C_RedBullPlayStreets_rep1,1786990050.738,1.0207,2433903,1623,1
S5C_RedBullPlayStreets_rep1,1786990051.758,1.0206,0,0,0
S5C_RedBullPlayStreets_rep1,1786990052.779,1.0205,0,0,0
S5C_RedBullPlayStreets_rep1,1786990053.799,1.0206,0,0,0
S5C_RedBullPlayStreets_rep1,1786990054.821,1.0217,2338850,1560,1
S5C_RedBullPlayStreets_rep1,1786990055.843,1.0219,0,0,0
S5C_RedBullPlayStreets_rep1,1786990056.865,1.0216,0,0,0
S5C_RedBullPlayStreets_rep1,1786990057.886,1.0215,45000,30,1
S5C_RedBullPlayStreets_rep1,1786990058.908,1.0215,2353555,1570,1
S5C_RedBullPlayStreets_rep1,1786990059.93,1.0221,0,0,0
S5C_RedBullPlayStreets_rep1,1786990060.951,1.0215,0,0,0
S5C_RedBullPlayStreets_rep1,1786990061.973,1.0215,0,0,0
S5C_RedBullPlayStreets_rep1,1786990062.994,1.0214,3570619,2381,1
S5C_RedBullPlayStreets_rep1,1786990064.016,1.0221,0,0,0
S5C_RedBullPlayStreets_rep1,1786990065.039,1.0232,0,0,0
S5C_RedBullPlayStreets_rep1,1786990066.061,1.0216,15000,10,1
S5C_RedBullPlayStreets_rep1,1786990067.081,1.0203,2928940,1953,1
S5C_RedBullPlayStreets_rep1,1786990068.108,1.0264,0,0,0
S5C_RedBullPlayStreets_rep1,1786990069.13,1.0224,0,0,0
S5C_RedBullPlayStreets_rep1,1786990070.154,1.0235,102000,68,1
S5C_RedBullPlayStreets_rep1,1786990071.174,1.0204,3373753,2250,1
S5C_RedBullPlayStreets_rep1,1786990072.196,1.0216,0,0,0
S5C_RedBullPlayStreets_rep1,1786990073.216,1.0203,0,0,0
S5C_RedBullPlayStreets_rep1,1786990074.237,1.0209,237000,158,1
S5C_RedBullPlayStreets_rep1,1786990075.259,1.0218,2470281,1647,1
S5C_RedBullPlayStreets_rep1,1786990076.28,1.0215,0,0,0
S5C_RedBullPlayStreets_rep1,1786990077.302,1.0215,0,0,0
S5C_RedBullPlayStreets_rep1,1786990078.322,1.0204,36000,24,1
S5C_RedBullPlayStreets_rep1,1786990079.343,1.0206,3145850,2098,1
S5C_RedBullPlayStreets_rep1,1786990080.364,1.0218,0,0,0
S5C_RedBullPlayStreets_rep1,1786990081.386,1.0217,0,0,0
S5C_RedBullPlayStreets_rep1,1786990082.408,1.0217,129000,86,1
S5C_RedBullPlayStreets_rep1,1786990083.43,1.0223,3022147,2015,1
S5C_RedBullPlayStreets_rep1,1786990084.452,1.022,0,0,0
S5C_RedBullPlayStreets_rep1,1786990085.474,1.0216,0,0,0
S5C_RedBullPlayStreets_rep1,1786990086.495,1.021,540000,360,1
