run_id,t_epoch,dt,delta_bytes,delta_packets,active_flows
S2A_BigBuckBunny_rep1,1786962670.277,1.0001,0,0,0
S2A_BigBuckBunny_rep1,1786962671.281,1.0041,0,0,0
S2A_BigBuckBunny_rep1,1786962672.285,1.004,0,0,0
S2A_BigBuckBunny_rep1,1786962673.289,1.0042,5108,6,1
S2A_BigBuckBunny_rep1,1786962674.293,1.004,153439,105,1
S2A_BigBuckBunny_rep1,1786962675.297,1.0042,374134,250,1
S2A_BigBuckBunny_rep1,1786962676.301,1.0043,364500,243,1
S2A_BigBuckBunny_rep1,1786962677.306,1.0042,364540,244,2
S2A_BigBuckBunny_rep1,1786962678.31,1.0043,378000,252,1
S2A_BigBuckBunny_rep1,1786962679.314,1.0045,370142,247,1
S2A_BigBuckBunny_rep1,1786962680.327,1.0123,394500,263,1
S2A_BigBuckBunny_rep1,1786962681.331,1.0044,364500,243,1
S2A_BigBuckBunny_rep1,1786962682.335,1.0044,375864,251,1
S2A_BigBuckBunny_rep1,1786962683.34,1.0043,364500,243,1
S2A_BigBuckBunny_rep1,1786962684.344,1.0043,376581,252,1
S2A_BigBuckBunny_rep1,1786962685.348,1.0043,373500,249,1
S2A_BigBuckBunny_rep1,1786962686.352,1.0041,384000,256,1
S2A_BigBuckBunny_rep1,1786962687.357,1.0043,370500,247,1
S2A_BigBuckBunny_rep1,1786962688.361,1.0043,372115,249,1
S2A_BigBuckBunny_rep1,1786962689.365,1.0044,364722,244,1
S2A_BigBuckBunny_rep1,1786962690.37,1.0045,381000,254,1
S2A_BigBuckBunny_rep1,1786962691.374,1.0044,356104,238,1
S2A_BigBuckBunny_rep1,1786962692.379,1.0044,387000,258,1
S2A_BigBuckBunny_rep1,1786962693.383,1.0044,374972,250,1
S2A_BigBuckBunny_rep1,1786962694.387,1.0044,369000,246,1
S2A_BigBuckBunny_rep1,1786962695.392,1.0044,373500,249,1
S2A_BigBuckBunny_rep1,1786962696.396,1.0043,373437,249,1
