run_id,t_epoch,dt,delta_bytes,delta_packets,active_flows
S2D_TheSwissAccount_rep1,1786971115.006,1.0001,0,0,0
S2D_TheSwissAccount_rep1,1786971116.015,1.0089,0,0,0
S2D_TheSwissAccount_rep1,1786971117.027,1.0122,0,0,0
S2D_TheSwissAccount_rep1,1786971118.037,1.0102,4750,6,1
S2D_TheSwissAccount_rep1,1786971119.046,1.009,30092,23,1
S2D_TheSwissAccount_rep1,1786971120.055,1.0091,18000,12,1
S2D_TheSwissAccount_rep1,1786971121.064,1.009,15101,12,1
S2D_TheSwissAccount_rep1,1786971122.073,1.009,20529,19,2
S2D_TheSwissAccount_rep1,1786971123.081,1.0086,15052,11,1
S2D_TheSwissAccount_rep1,1786971124.09,1.0085,22500,15,1
S2D_TheSwissAccount_rep1,1786971125.099,1.0086,15000,10,1
S2D_TheSwissAccount_rep1,1786971126.107,1.0085,21094,16,1
S2D_TheSwissAccount_rep1,1786971127.116,1.009,22500,15,1
S2D_TheSwissAccount_rep1,1786971128.125,1.0088,15000,10,1
S2D_TheSwissAccount_rep1,1786971129.135,1.0104,21000,14,1
S2D_TheSwissAccount_rep1,1786971130.154,1.0191,14589,10,1
S2D_TheSwissAccount_rep1,1786971131.163,1.0089,18052,13,1
S2D_TheSwissAccount_rep1,1786971132.172,1.0087,23891,17,1
S2D_TheSwissAccount_rep1,1786971133.181,1.0087,17831,12,1
S2D_TheSwissAccount_rep1,1786971134.19,1.0092,15052,11,1
S2D_TheSwissAccount_rep1,1786971135.201,1.0108,23514,17,1
S2D_TheSwissAccount_rep1,1786971136.209,1.0087,9915,7,1
S2D_TheSwissAccount_rep1,1786971137.218,1.0087,11987,8,1
S2D_TheSwissAccount_rep1,1786971138.227,1.0087,0,0,0
S2D_TheSwissAccount_rep1,1786971139.236,1.0088,0,0,0
S2D_TheSwissAccount_rep1,1786971140.244,1.0088,0,0,0
S2D_TheSwissAccount_rep1,1786971141.253,1.0088,15000,10,1
S2D_TheSwissAccount_rep1,1786971142.262,1.0089,24000,16,1
S2D_TheSwissAccount_rep1,1786971143.271,1.0088,7599,6,1
S2D_TheSwissAccount_rep1,1786971144.28,1.0093,0,0,0
S2D_TheSwissAccount_rep1,1786971145.297,1.0173,30000,20,1
S2D_TheSwissAccount_rep1,1786971146.307,1.0093,18650,13,1
S2D_TheSwissAccount_rep1,1786971147.315,1.0087,0,0,0
S2D_TheSwissAccount_rep1,1786971148.324,1.0087,15000,10,1
S2D_TheSwissAccount_rep1,1786971149.333,1.0088,18000,12,1
S2D_TheSwissAccount_rep1,1786971150.342,1.0093,16685,12,1
S2D_TheSwissAccount_rep1,1786971151.352,1.0092,0,0,0
S2D_TheSwissAccount_rep1,1786971152.361,1.0092,0,0,0
S2D_TheSwissAccount_rep1,1786971153.37,1.0093,22500,15,1
S2D_TheSwissAccount_rep1,1786971154.379,1.0093,22500,15,1
S2D_TheSwissAccount_rep1,1786971155.389,1.0094,5186,4,1
S2D_TheSwissAccount_rep1,1786971156.402,1.0138,0,0,0
S2D_TheSwissAccount_rep1,1786971157.412,1.0095,27000,18,1
S2D_TheSwissAccount_rep1,1786971158.421,1.0091,22002,15,1
S2D_TheSwissAccount_rep1,1786971159.43,1.0091,0,0,0
S2D_TheSwissAccount_rep1,1786971160.439,1.0092,15000,10,1
S2D_TheSwissAccount_rep1,1786971161.448,1.0091,15000,10,1
S2D_TheSwissAccount_rep1,1786971162.458,1.0092,19626,14,1
S2D_TheSwissAccount_rep1,1786971163.467,1.0091,0,0,0
S2D_TheSwissAccount_rep1,1786971164.476,1.0091,15000,10,1
S2D_TheSwissAccount_rep1,1786971165.485,1.0092,18000,12,1
S2D_TheSwissAccount_rep1,1786971166.494,1.0091,14941,10,1
S2D_TheSwissAccount_rep1,1786971167.503,1.0091,0,0,0
S2D_TheSwissAccount_rep1,1786971168.512,1.0091,0,0,0
S2D_TheSwissAccount_rep1,1786971169.525,1.0123,30000,20,1
S2D_TheSwissAccount_rep1,1786971170.534,1.0091,19109,13,1
S2D_TheSwissAccount_rep1,1786971171.543,1.0092,0,0,0
S2D_TheSwissAccount_rep1,1786971172.552,1.009,15000,10,1
S2D_TheSwissAccount_rep1,1786971173.561,1.0091,18000,12,1
S2D_TheSwissAccount_rep1,1786971174.57,1.0091,18512,13,1
S2D_TheSwissAccount_rep1,1786971175.58,1.0095,0,0,0
S2D_TheSwissAccount_rep1,1786971176.589,1.0091,15000,10,1
S2D_TheSwissAccount_rep1,1786971177.598,1.0089,15000,10,1
S2D_TheSwissAccount_rep1,1786971178.607,1.009,22500,15,1
