run_id,window_index,n_samples,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,label
S1_RedBullPlayStreets_rep1,2,11,6.910952,11.286813,0.0,25.634799,9538030,6360,1,Excellent
S1_RedBullPlayStreets_rep1,3,10,4.077488,8.304625,0.0,23.896822,5115508,3411,1,Excellent
S1_RedBullPlayStreets_rep1,4,11,6.707029,11.004639,0.0,27.237748,9254468,6171,1,Excellent
S1_RedBullPlayStreets_rep1,5,11,4.118306,8.738566,0.0,23.12297,5685669,3791,1,Excellent
S1_RedBullPlayStreets_rep1,6,11,7.062959,11.562577,0.0,27.666625,9746905,6499,1,Excellent
S1_RedBullPlayStreets_rep1,7,11,4.231823,8.981372,0.0,23.933781,5840003,3895,1,Excellent
S1_RedBullPlayStreets_rep1,8,11,6.984641,11.434618,0.0,27.469733,9638455,6430,1,Excellent
S1_RedBullPlayStreets_rep1,9,11,4.439724,9.420318,0.0,24.900305,6128728,4087,1,Excellent
S1_RedBullPlayStreets_rep1,10,11,5.179158,8.459094,0.0,19.395581,7148405,4767,1,Excellent
S1_RedBullPlayStreets_rep1,11,11,6.407501,10.653355,0.0,28.453981,8844674,5898,1,Excellent
S1_RedBullPlayStreets_rep1,12,11,6.611953,10.774977,0.0,27.698002,9126974,6086,1,Excellent
S1_RedBullPlayStreets_rep1,13,11,4.58838,9.733564,0.0,25.358438,6332997,4223,1,Excellent
S1_RedBullPlayStreets_rep1,14,11,6.804652,11.129294,0.0,26.596637,9392318,6264,1,Excellent
S1_RedBullPlayStreets_rep1,15,11,6.625234,10.966504,0.0,26.902233,9144650,6098,1,Excellent
S1_RedBullPlayStreets_rep1,16,11,6.913111,11.30552,0.0,26.902233,9541046,6362,1,Excellent
S1_RedBullPlayStreets_rep1,17,11,4.177407,8.757873,0.0,25.498565,5765103,3844,1,Excellent
S1_RedBullPlayStreets_rep1,18,11,5.459046,9.033967,0.0,23.980094,7538157,5027,1,Excellent
S1_RedBullPlayStreets_rep1,19,11,5.420651,8.907053,0.0,22.556014,7481618,4989,1,Excellent
S1_RedBullPlayStreets_rep1,20,11,5.835446,9.538857,0.0,22.556014,8052884,5370,1,Excellent
S1_RedBullPlayStreets_rep1,21,11,4.792709,10.195002,0.0,28.134832,6615017,4411,1,Excellent
S1_RedBullPlayStreets_rep1,22,11,6.894063,11.261264,0.0,25.818055,9513462,6344,1,Excellent
S1_RedBullPlayStreets_rep1,23,11,4.537979,8.426359,0.0,24.969827,6263271,4177,1,Excellent
S1_RedBullPlayStreets_rep1,24,11,0.001159,0.001533,0.0,0.003188,1600,4,1,Excellent
S1_RedBullPlayStreets_rep1,25,11,0.0,0.0,0.0,0.0,0,0,0,Excellent
