window,t_epoch,kelas,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,ms_baca,ms_fitur,ms_infer,ms_total,n_cuplik
0,1789046890.768,Critical,0.105671,0.123635,0.0,0.530772,135125,144,5,8.327,0.0873,0.0233,0.1106,31
1,1789046900.998,Critical,0.188002,0.045019,0.110349,0.259289,240408,224,4,10.241,0.0695,0.0271,0.0965,31
2,1789046911.228,Critical,0.191717,0.067904,0.0,0.43888,245158,217,2,10.273,0.0667,0.0201,0.0868,31
3,1789046921.458,Degraded,0.807701,2.17493,0.0,8.813725,1032824,799,2,10.389,0.0643,0.021,0.0853,31
4,1789046931.688,Degraded,0.584473,1.787371,0.0,6.274609,747405,564,2,10.157,0.0701,0.0224,0.0926,31
5,1789046941.918,Critical,0.383448,1.460505,0.0,6.099744,490339,369,2,10.404,0.0603,0.0213,0.0816,31
6,1789046952.148,Good,1.486172,2.165077,0.0,9.066646,1900449,1503,4,10.319,0.0658,0.0207,0.0865,31
7,1789046962.378,Critical,0.239596,0.029485,0.18686,0.306771,306384,343,7,11.038,0.066,0.0217,0.0876,31
8,1789046972.608,Critical,0.237206,0.026929,0.221939,0.295954,303327,302,4,11.489,0.0646,0.0184,0.0829,31
9,1789046982.838,Critical,0.238022,0.634097,0.0,3.640275,304370,280,2,11.271,0.0642,0.0194,0.0836,31
10,1789046993.068,Degraded,0.294027,0.065047,0.183076,0.419207,375987,377,2,11.441,0.0627,0.0192,0.0819,31
11,1789047003.298,Critical,0.288106,0.081365,0.146714,0.464213,368415,368,4,11.702,0.0594,0.0185,0.0778,31
12,1789047013.528,Critical,0.287758,0.077565,0.112866,0.44976,367970,397,5,11.648,0.0653,0.0189,0.0841,31
13,1789047023.758,Degraded,0.24211,0.147306,0.0,0.584326,309600,293,2,11.955,0.0614,0.017,0.0783,31
14,1789047033.988,Critical,0.140186,0.213509,0.0,0.880357,179264,165,2,12.061,0.063,0.0188,0.0818,31
15,1789047044.218,Degraded,0.465115,0.40048,0.0,0.95295,594765,509,4,12.155,0.0639,0.0195,0.0834,31
16,1789047054.448,Degraded,0.797252,0.145768,0.04977,0.89496,1019482,937,5,12.244,0.0605,0.0181,0.0786,31
17,1789047064.678,Good,1.071496,0.696393,0.0,3.019179,1370175,1156,4,12.572,0.0637,0.0182,0.0819,31
18,1789047074.908,Degraded,0.675218,0.658256,0.0,1.514341,863436,726,4,12.582,0.0663,0.0197,0.086,31
19,1789047085.138,Excellent,1.322622,0.256398,0.0,1.481387,1691309,1350,2,12.929,0.0654,0.0192,0.0846,31
20,1789047095.368,Good,1.046133,0.548398,0.0,1.534823,1337744,1058,2,12.492,0.0609,0.0176,0.0785,31
21,1789047105.598,Good,0.939187,0.610184,0.0,1.466353,1200990,953,2,12.651,0.0656,0.0191,0.0846,31
22,1789047115.828,Good,2.439067,9.192795,0.0,52.769384,3118935,2594,4,12.839,0.061,0.0181,0.0791,31
23,1789047126.058,Degraded,0.828278,0.027058,0.813846,0.887887,1059158,1053,6,12.863,0.0647,0.0193,0.0839,31
24,1789047136.288,Degraded,0.51717,0.415843,0.0,1.134885,661330,618,6,13.589,0.0644,0.0187,0.0831,31
25,1789047146.518,Good,0.577504,0.368845,0.0,0.931721,738482,608,2,13.411,0.0648,0.0197,0.0845,31
26,1789047156.748,Degraded,0.375946,0.413066,0.0,1.108072,480741,392,4,13.66,0.0628,0.0196,0.0824,31
27,1789047166.978,Degraded,0.761266,0.237681,0.0,1.02701,973468,884,6,13.7,0.0662,0.019,0.0852,31
28,1789047177.208,Good,2.260484,6.087653,0.0,35.280967,2890586,2556,4,13.767,0.0624,0.0195,0.0819,31
29,1789047187.438,Good,1.179013,0.814111,0.0,2.045323,1507655,1178,2,14.189,0.0658,0.0183,0.0841,31
30,1789047197.668,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,14.098,0.0595,0.0016,0.0611,31
31,1789047207.898,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,13.895,0.0534,0.0014,0.0547,31
32,1789047218.128,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,14.324,0.0523,0.0014,0.0537,31
