window,t_epoch,kelas,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,ms_baca,ms_fitur,ms_infer,ms_total,n_cuplik
0,1787638246.993,Excellent,21.93481,41.601369,0.0,141.406608,27474237,20166,4,2.42,0.1056,0.0062,0.1118,10
1,1787638257.02,Excellent,3.316025,6.677946,0.0,18.327782,4155543,3096,2,2.504,0.0405,0.0025,0.043,10
2,1787638267.045,Excellent,5.591121,9.865698,0.0,26.110656,7006316,5186,2,2.387,0.0406,0.0027,0.0433,10
3,1787638277.071,Excellent,2.446477,4.973924,0.0,14.231034,3065668,2274,2,2.479,0.0439,0.0038,0.0476,10
4,1787638287.096,Excellent,6.174392,10.8864,0.0,34.363623,7737142,5743,2,2.405,0.0406,0.0025,0.0431,10
5,1787638297.123,Excellent,1.886286,4.179256,0.0,13.452553,2363954,1765,2,2.503,0.0408,0.0035,0.0443,10
6,1787638307.148,Good,0.607802,0.212739,0.0,0.72317,761700,606,2,2.463,0.0412,0.0038,0.045,10
7,1787638317.175,Good,0.358971,0.341705,0.0,0.723165,449897,358,2,2.545,0.0481,0.007,0.0551,10
8,1787638327.203,Good,0.48415,0.318198,0.0,0.724628,606896,511,2,2.686,0.0413,0.0032,0.0445,10
9,1787638337.233,Good,0.707432,0.00371,0.705007,0.717768,886994,865,4,2.953,0.0418,0.0033,0.0451,10
10,1787638347.264,Good,0.707293,0.004082,0.704281,0.719247,886847,874,2,2.968,0.04,0.0032,0.0432,10
11,1787638357.294,Good,0.647047,0.132857,0.275391,0.715493,811240,789,2,2.875,0.0402,0.0035,0.0436,10
12,1787638367.324,Degraded,0.411567,0.032881,0.374238,0.500645,515988,447,2,2.858,0.0406,0.0039,0.0445,10
13,1787638377.354,Degraded,0.397665,0.020386,0.362251,0.44415,498571,422,2,2.878,0.0406,0.0028,0.0434,10
14,1787638387.386,Degraded,0.404868,0.023088,0.361409,0.445206,507714,430,2,3.08,0.04,0.0029,0.0429,10
15,1787638397.416,Degraded,0.402631,0.01758,0.373809,0.433501,504774,426,2,2.853,0.0414,0.003,0.0444,10
16,1787638407.446,Degraded,0.399343,0.018793,0.36222,0.434124,500706,425,2,2.935,0.0398,0.0032,0.043,10
17,1787638417.475,Degraded,0.297837,0.181201,0.0,0.510238,373381,314,2,2.791,0.0402,0.0031,0.0433,10
18,1787638427.516,Critical,0.137092,0.075562,0.0,0.233577,172130,151,2,3.109,0.0394,0.003,0.0424,10
19,1787638437.546,Critical,0.151038,0.03513,0.083814,0.229017,189368,181,5,2.954,0.037,0.0021,0.0391,10
20,1787638447.579,Critical,0.153059,0.011025,0.133599,0.170332,191941,193,2,3.11,0.0382,0.0019,0.0401,10
21,1787638457.612,Critical,0.153549,0.010379,0.145999,0.172686,192570,192,2,3.179,0.0404,0.002,0.0424,10
22,1787638467.644,Critical,0.123739,0.056697,0.0,0.205105,155174,148,2,3.136,0.0411,0.0024,0.0435,10
23,1787638477.677,Critical,0.111692,0.0861,0.0,0.232039,140076,114,2,3.125,0.039,0.0024,0.0414,10
24,1787638487.709,Degraded,0.239791,0.162151,0.0,0.604658,300725,348,4,3.16,0.042,0.0027,0.0446,10
25,1787638497.743,Degraded,0.274707,0.059072,0.147671,0.35561,344543,406,4,3.253,0.0411,0.0026,0.0437,10
26,1787638507.777,Critical,0.125292,0.110949,0.0,0.284151,157134,191,2,3.249,0.0403,0.0022,0.0424,10
27,1787638517.811,Critical,0.169046,0.1035,0.0,0.309136,212023,251,2,3.252,0.0392,0.0019,0.0411,10
28,1787638527.844,Degraded,0.365268,0.127349,0.185455,0.610785,458116,509,2,3.228,0.0386,0.0025,0.041,10
29,1787638537.879,Degraded,0.216552,0.086436,0.01196,0.319509,271641,324,2,3.459,0.0423,0.0023,0.0445,10
30,1787638547.913,Critical,0.007107,0.016309,0.0,0.055299,8920,21,2,3.175,0.0394,0.0025,0.0419,10
31,1787638557.946,Critical,0.0,0.0,0.0,0.0,0,0,0,3.173,0.0359,0.0022,0.0381,10
