run_id,window_index,n_samples,rtt_samples,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,total_bytes,total_packets,active_flows,label
S1_BigBuckBunny_rep1,1,11,3,5.38595,9.133904,0.0,26.108264,0.037635,0.351035,0.0,0,1.221302,1.385101,0.134702,7429609,5556,2,Excellent
S1_BigBuckBunny_rep1,2,11,2,2.705875,6.889674,0.0,23.818659,0.162024,1.756573,0.0,0,0.820632,1.286829,0.466196,3734642,2772,2,Excellent
S1_BigBuckBunny_rep1,3,11,3,3.257386,5.391236,0.0,14.226684,0.015853,0.088777,0.0,0,0.900888,0.931275,0.022893,4493146,3363,2,Excellent
S1_BigBuckBunny_rep1,4,11,2,4.576827,10.467324,0.0,34.346425,0.005439,0.030076,0.0,0,1.338524,1.431922,0.093399,6313304,4724,2,Excellent
S1_BigBuckBunny_rep1,5,11,3,2.589815,4.563391,0.0,13.445192,0.139315,1.364285,0.0,0,0.737105,1.003566,0.300911,3572275,2666,2,Excellent
S1_BigBuckBunny_rep1,6,11,2,1.089326,2.36999,0.0,7.225625,0.298574,2.685009,0.0,0,1.293655,1.315854,0.022199,1502737,1121,2,Excellent
S1_BigBuckBunny_rep1,7,11,3,2.338891,3.886904,0.0,10.480758,0.118311,0.552917,0.0,0,1.301503,1.544708,0.174507,3226235,2407,2,Excellent
S1_BigBuckBunny_rep1,8,11,3,3.380104,7.487556,0.0,23.64969,14.521063,159.60957,0.0,0,1.170078,1.707234,0.54404,4663572,3471,2,Excellent
S1_BigBuckBunny_rep1,9,11,3,3.65917,6.071482,0.0,16.31118,0.018299,0.084059,0.0,0,1.4335,1.500619,0.047816,5048051,3770,2,Excellent
S1_BigBuckBunny_rep1,10,11,2,2.569856,5.452127,0.0,14.329916,0.011326,0.065689,0.0,0,1.499352,1.57324,0.073888,3546273,2644,2,Excellent
S1_BigBuckBunny_rep1,11,11,3,3.726251,6.128696,0.0,15.574851,0.017096,0.067047,0.0,0,1.471697,1.54644,0.10553,5141139,3829,2,Excellent
S1_BigBuckBunny_rep1,12,11,3,3.17847,5.544614,0.0,14.768741,0.151465,1.217707,0.0,0,1.367281,1.477045,0.140664,4385692,3270,2,Excellent
S1_BigBuckBunny_rep1,13,11,3,3.11941,5.243486,0.0,14.768741,0.032102,0.165879,0.0,0,1.435144,1.456078,0.016657,4304084,3215,2,Excellent
S1_BigBuckBunny_rep1,14,11,3,3.289777,5.643699,0.0,14.657121,0.054402,0.471073,0.0,0,1.446784,1.5871,0.152272,4538103,3390,2,Excellent
S1_BigBuckBunny_rep1,15,11,4,4.051169,6.325602,0.0,18.301136,0.037586,0.240533,0.0,0,1.388646,1.612487,0.241094,5588685,4167,2,Excellent
S1_BigBuckBunny_rep1,16,11,2,2.904033,6.444056,0.0,20.406748,0.014197,0.101153,0.0,0,1.582103,1.724933,0.14283,4028792,2996,2,Excellent
S1_BigBuckBunny_rep1,17,11,3,3.437551,5.971001,0.0,18.11512,0.029211,0.136864,0.0,0,1.486857,1.602524,0.09455,4742250,3545,2,Excellent
S1_BigBuckBunny_rep1,18,11,2,2.644283,5.779657,0.0,17.809533,0.013351,0.089747,0.0,0,1.553102,1.60654,0.053437,3648170,2709,2,Excellent
S1_BigBuckBunny_rep1,19,11,3,3.598727,6.590005,0.0,21.005537,0.05577,0.465959,0.0,0,1.436912,1.488648,0.065958,4965198,3708,2,Excellent
S1_BigBuckBunny_rep1,20,11,4,3.569782,6.341709,0.0,20.281495,0.106776,0.612004,0.0,0,1.231504,1.628713,0.533684,4925357,3678,2,Excellent
S1_BigBuckBunny_rep1,21,11,3,4.941071,8.252498,0.0,20.638318,0.01574,0.059736,0.0,0,1.600389,1.684594,0.082776,6817751,5082,2,Excellent
S1_BigBuckBunny_rep1,22,11,3,3.89001,6.368353,0.0,15.48446,0.047223,0.401158,0.0,0,1.574856,1.719152,0.109907,5367655,4003,2,Excellent
S1_BigBuckBunny_rep1,23,11,3,4.287731,7.309287,0.0,21.333275,0.017282,0.069839,0.0,0,1.662447,1.832429,0.166829,5917121,4414,2,Excellent
S1_BigBuckBunny_rep1,24,11,3,5.401889,8.913195,0.0,23.060116,0.014701,0.06115,0.0,0,1.627315,1.775625,0.107946,7453760,5543,2,Excellent
S1_BigBuckBunny_rep1,25,11,3,3.572003,6.297694,0.0,19.195743,0.041856,0.326652,0.0,0,1.504455,1.584491,0.09268,4928934,3678,2,Excellent
S1_BigBuckBunny_rep1,26,11,2,2.674307,5.737408,0.0,16.718222,0.011443,0.07038,0.0,0,1.309761,1.432132,0.122371,3690042,2746,2,Excellent
S1_BigBuckBunny_rep1,27,10,4,0.002907,0.003561,0.0,0.007271,200.122056,547.957245,0.0,0,24.884555,25.384791,0.296128,3648,12,2,Excellent
S1_BigBuckBunny_rep1,28,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,Excellent
S1_BigBuckBunny_rep1,29,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,Excellent
S1_ElephantsDream_rep1,1,11,2,1.954981,4.162579,0.0,11.592364,0.020745,0.128812,0.0,0,1.460185,1.607195,0.14701,2698169,2007,2,Excellent
S1_ElephantsDream_rep1,2,11,3,5.262825,8.609431,0.0,20.613365,0.015278,0.05667,0.0,0,1.593778,1.644964,0.044827,7263883,5414,2,Excellent
S1_ElephantsDream_rep1,3,11,2,4.623255,10.08327,0.0,30.921466,0.00995,0.058092,0.0,0,1.622566,1.805579,0.183014,6382155,4752,2,Excellent
S1_ElephantsDream_rep1,4,11,3,6.47542,10.7213,0.0,26.421104,0.014682,0.056188,0.0,0,1.651304,1.753389,0.118571,8937300,6656,2,Excellent
S1_ElephantsDream_rep1,5,11,2,6.115959,12.986206,0.0,34.962845,0.009521,0.053197,0.0,0,1.803284,1.829512,0.026228,8441400,6296,2,Excellent
S1_ElephantsDream_rep1,6,11,3,8.89186,14.525502,0.0,33.260211,0.01378,0.052796,0.0,0,1.752815,1.792475,0.037039,12272768,9148,2,Excellent
S1_ElephantsDream_rep1,7,11,2,5.363743,11.516679,0.0,33.676167,0.009925,0.055724,0.0,0,1.79951,1.826821,0.027311,7408870,5526,2,Excellent
S1_ElephantsDream_rep1,8,11,3,7.592944,13.115854,0.0,33.746402,0.082258,0.792812,0.0,0,1.675273,1.812174,0.164453,10479740,7805,4,Excellent
S1_ElephantsDream_rep1,9,11,2,2.293055,4.870353,0.0,13.180906,0.012051,0.071652,0.0,0,1.382322,1.401019,0.018697,3166207,2363,2,Excellent
S1_ElephantsDream_rep1,10,11,3,3.056924,5.002486,0.0,12.035231,0.026845,0.111948,0.0,0,1.253129,1.297364,0.031451,4219927,3141,2,Excellent
S1_ElephantsDream_rep1,11,12,3,3.414131,6.487754,0.0,20.763896,0.050496,0.433904,0.0,0,1.620022,1.851409,0.227157,5141484,3826,2,Degraded
S1_ElephantsDream_rep1,12,11,4,4.298862,5.817861,0.0,14.545714,0.041984,0.197619,0.0,0,1.464202,1.748354,0.303158,5936070,4424,2,Excellent
S1_ElephantsDream_rep1,13,11,2,1.316715,2.797047,0.0,7.587011,0.099057,0.624806,0.0,0,1.148831,1.233415,0.084584,1817716,1358,2,Excellent
S1_ElephantsDream_rep1,14,11,3,2.568539,4.208119,0.0,10.336529,0.049071,0.228097,0.0,0,1.275197,1.385267,0.11083,3545496,2645,2,Excellent
S1_ElephantsDream_rep1,15,11,3,2.027528,3.311902,0.0,7.624765,0.154762,0.816119,0.0,0,1.38696,1.455344,0.050886,2799188,2081,2,Excellent
