window,t_epoch,kelas,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam,ms_baca,ms_fitur,ms_infer,ms_total,n_cuplik
0,1789404828.243,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,22.904,0.2556,0.0009,0.2565,100
1,1789404838.343,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,25.804,0.2326,0.001,0.2336,101
2,1789404848.443,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,25.932,0.2333,0.0011,0.2343,101
3,1789404858.543,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,25.735,0.2294,0.0014,0.2308,101
4,1789404868.643,Critical,0.03087,0.124748,0.0,0.783307,38972,53,2,1.152818,0.189873,0.0,0,26.368669,181.657001,63.396567,0.0,0.100575,0.209025,0.783307,0.03087,0.0,53,0.006186,4.990301,38972,0.930693,26.093,0.2924,0.9602,1.2525,101
5,1789404878.743,Critical,0.200445,0.164317,0.0,0.724193,253060,256,7,71.227024,182.296129,0.390625,1,454.452058,845.569344,226.90633,0.0,0.196903,0.096462,0.24439,0.169575,6.493197,203,0.038616,5.190724,292032,0.306931,26.597,0.294,0.9058,1.1998,101
6,1789404888.743,Excellent,0.199459,0.093506,0.0,0.270774,249326,251,3,180.307744,253.697022,0.0,0,626.552832,845.628378,254.343807,0.0,0.196902,0.096127,0.244225,-0.000986,0.995081,-5,0.061431,3.246879,541358,0.18,27.155,0.2942,0.8729,1.167,100
7,1789404898.843,Critical,1.225603,8.459141,0.0,84.894148,1547250,1394,4,131.925471,242.3783,9.182209,128,439.260821,845.589074,258.491649,0.374383,3.643327,15.250234,84.894148,1.026144,6.144636,1143,0.207306,5.912048,2088608,0.128713,27.256,0.2957,0.891,1.1868,101
8,1789404908.943,Critical,0.406911,0.121594,0.0,0.733357,513723,580,4,66.085832,158.387493,9.655172,56,193.974297,292.867709,74.698784,0.37537,0.40366,0.089237,0.624569,-0.818692,0.332009,-814,0.229533,1.772778,2602331,0.009901,27.571,0.3125,0.8976,1.2101,101
9,1789404919.043,Critical,0.408304,0.091441,0.244109,0.613381,515482,578,4,95.297362,418.902625,11.418685,66,186.153853,303.690446,104.065309,0.489284,0.41479,0.100862,0.608332,0.001393,1.003423,-2,0.247446,1.650073,3117813,0.0,27.093,0.3058,0.8943,1.2001,101
10,1789404929.143,Critical,0.406495,0.09822,0.24406,0.660923,513195,584,4,70.301776,255.357566,10.787671,63,165.637313,308.125765,86.959006,0.489298,0.40549,0.09335,0.608624,-0.001809,0.995569,6,0.26193,1.551922,3631008,0.0,27.763,0.3058,0.8996,1.2054,101
