window,t_epoch,kelas,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam,ms_baca,ms_fitur,ms_infer,ms_total,n_cuplik
0,1789403684.271,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,12.815,0.2416,0.001,0.2425,100
1,1789403694.371,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,14.76,0.2172,0.0011,0.2184,101
2,1789403704.471,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,14.915,0.2171,0.0009,0.2179,101
3,1789403714.471,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,14.888,0.2144,0.0011,0.2154,100
4,1789403724.571,Critical,0.697878,1.871007,0.0,6.283676,881065,957,4,0.415361,1.450395,2.61233,25,41.212265,75.544717,51.088145,6.150218,2.27373,2.796845,6.283676,0.697878,0.0,957,0.14013,4.980218,881065,0.851485,14.946,0.2551,0.929,1.1841,101
5,1789403734.671,Excellent,6.035232,0.302653,4.825034,6.877725,7619440,7127,4,2.094162,9.985121,0.12628,9,37.077873,55.071547,9.445618,5.986889,6.047048,0.187728,6.698249,5.337354,8.647976,6170,1.125895,5.360386,8500505,0.0,15.879,0.3387,0.8793,1.218,101
6,1789403744.671,Critical,6.037569,0.279459,5.092121,7.034551,7546939,7053,4,5.320266,9.591555,0.08507,6,45.911969,62.209584,9.961011,6.026638,6.06022,0.191147,6.551492,0.002337,1.000387,-74,1.823573,3.310846,16047444,0.0,15.831,0.291,0.8699,1.1609,100
7,1789403754.771,Excellent,6.047778,0.277439,5.061185,6.765105,7635345,7397,2,0.456107,2.949792,0.094633,7,35.73257,49.389629,7.488205,6.127226,6.052453,0.312704,6.765105,0.010209,1.001691,344,2.353568,2.569621,23682789,0.0,15.487,0.2743,0.8394,1.1137,101
8,1789403764.871,Excellent,6.046131,0.185787,5.318878,6.500296,7633208,7502,2,0.34154,2.327795,0.119968,9,34.51465,45.222729,6.556347,5.510142,6.038792,0.200134,6.405736,-0.001647,0.999728,105,2.76521,2.1865,31315997,0.0,15.665,0.2951,0.8478,1.1429,101
9,1789403774.971,Excellent,4.599118,11.394184,0.0,115.170326,5806153,5224,2,6.339587,20.239328,0.593415,31,40.370192,69.141895,14.395996,2.656928,0.973595,1.471208,3.873358,-1.447013,0.760671,-2278,2.949129,1.559483,37122150,0.336634,15.814,0.2751,0.8711,1.1462,101
10,1789403785.071,Excellent,2.909543,0.944277,0.0,3.860288,3673296,2851,2,6.227227,10.998787,0.105226,3,64.990722,72.210757,8.132702,3.252437,3.238133,0.078591,3.252863,-1.689575,0.632631,-2373,2.94552,0.987786,40795446,0.089109,15.601,0.284,0.8653,1.1493,101
