window,t_epoch,kelas,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam,ms_baca,ms_fitur,ms_infer,ms_total,n_cuplik
0,1789404446.134,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,19.564,0.2617,0.0012,0.2629,100
1,1789404456.234,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,22.27,0.2398,0.0012,0.241,101
2,1789404466.334,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,22.309,0.2307,0.0012,0.2319,101
3,1789404476.434,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,22.198,0.223,0.0011,0.2241,101
4,1789404486.534,TANPA-DATA,0.0061,0.0429,0.0,0.423653,7701,30,4,1.260645,9.860829,6.666667,2,98.18398,235.453913,81.432557,0.0,0.019873,0.075646,0.423653,0.0061,0.0,30,0.001222,4.991817,7701,0.960396,20.431,0.1965,0.0009,0.1973,101
5,1789404496.634,Critical,0.150284,0.12397,0.0,0.750317,189736,241,4,98.597042,248.172033,15.352697,37,619.233203,987.163839,343.788758,0.124162,0.143924,0.088899,0.250245,0.144184,24.636721,211,0.026107,5.756464,197437,0.247525,22.096,0.3255,0.9699,1.2953,101
6,1789404506.735,Critical,0.14721,0.113753,0.0,0.604231,185862,230,5,47.495792,87.388389,8.26087,19,496.921023,771.527585,255.164233,0.243276,0.163361,0.168156,0.604231,-0.003074,0.979545,-11,0.043433,3.389358,383299,0.178218,23.233,0.3034,0.8992,1.2026,101
7,1789404516.834,Critical,0.110448,0.15113,0.0,0.844221,139432,155,2,53.730353,148.591837,1.290323,2,347.159829,689.51746,263.873627,0.844221,0.071429,0.167128,0.844221,-0.036762,0.750275,-75,0.05182,2.131378,522731,0.49505,23.767,0.2981,0.9162,1.2143,101
8,1789404526.834,Critical,0.144445,0.112352,0.0,0.484158,180557,203,2,75.71876,183.664849,2.955665,6,372.179995,861.779465,227.056516,0.0,0.138522,0.124631,0.364157,0.033997,1.30781,48,0.062032,2.328556,703288,0.29,23.523,0.3252,0.8788,1.2041,100
9,1789404536.934,Critical,0.140486,0.192655,0.0,1.251207,177365,192,2,60.490828,141.009368,10.9375,21,471.608149,877.042666,326.628689,0.0,0.146886,0.217375,0.530087,-0.003959,0.972592,-11,0.069893,2.010015,880653,0.50495,23.566,0.2766,0.8645,1.1411,101
