window,t_epoch,kelas,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam,ms_baca,ms_fitur,ms_infer,ms_total,n_cuplik
0,1789405209.603,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,25.393,0.2521,0.0009,0.253,100
1,1789405219.703,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,28.794,0.3909,0.0015,0.3923,101
2,1789405229.803,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,28.977,0.226,0.0011,0.2271,101
3,1789405239.903,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,29.124,0.2237,0.0014,0.2251,101
4,1789405250.003,Critical,0.119462,0.293644,0.0,1.329189,150827,142,4,4.003993,29.907165,0.0,0,154.550627,196.264137,47.828083,0.604244,0.389216,0.419451,1.329189,0.119462,0.0,142,0.023941,4.98985,150827,0.841584,29.198,0.268,0.9172,1.1852,101
5,1789405260.103,Critical,1.041464,4.772828,0.0,48.70103,1314857,1187,5,25.8124,46.401499,7.919124,94,254.833469,451.741733,132.900378,0.488311,0.417177,0.087251,0.632011,0.922002,8.717952,1045,0.193809,5.373662,1465684,0.049505,29.475,0.3088,0.9118,1.2206,101
6,1789405270.203,Degraded,0.279428,0.166143,0.0,0.618521,352780,392,2,54.325671,100.122556,10.204082,40,177.857891,301.533875,57.820092,0.500477,0.274392,0.156062,0.618521,-0.762036,0.268303,-795,0.206058,1.356065,1818464,0.148515,29.641,0.2997,0.8137,1.1135,101
7,1789405280.303,Degraded,0.320513,0.228525,0.0,1.008627,404650,494,4,41.56619,112.779822,16.194332,80,175.37395,361.551244,74.136184,0.128309,0.355832,0.161395,0.628819,0.041085,1.147033,102,0.220383,1.454345,2223114,0.168317,29.762,0.2997,0.9085,1.2081,101
8,1789405290.403,Degraded,0.372789,0.239909,0.0,1.008319,470649,556,4,42.402385,59.441629,14.568345,81,149.288408,168.584559,46.338165,0.499515,0.377774,0.241135,1.008319,0.052276,1.163101,62,0.237336,1.570723,2693763,0.118812,30.075,0.413,0.9384,1.3514,101
9,1789405300.503,Degraded,0.217295,0.175701,0.0,1.232897,274335,292,4,109.304985,238.537467,6.849315,20,484.107151,1076.004688,284.727735,0.364186,0.19022,0.1504,0.364186,-0.155494,0.58289,-264,0.23533,0.923363,2968098,0.257426,30.395,0.3008,0.9002,1.201,101
