window,t_epoch,kelas,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam,ms_baca,ms_fitur,ms_infer,ms_total,n_cuplik
0,1789404065.044,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,18.087,0.2545,0.0009,0.2554,100
1,1789404075.144,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,18.484,0.233,0.001,0.2339,101
2,1789404085.244,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,18.559,0.2231,0.001,0.2241,101
3,1789404095.344,TANPA-DATA,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,18.455,0.2142,0.0012,0.2154,101
4,1789404105.444,Critical,0.423428,0.86097,0.0,2.656655,534578,441,4,1.754784,9.868428,0.0,0,79.183285,103.880138,23.91865,2.296571,1.379557,1.046934,2.656655,0.423428,0.0,441,0.084854,4.990077,534578,0.80198,18.573,0.2556,0.9372,1.1928,101
5,1789404115.444,Good,2.185219,0.31273,1.328429,2.909095,2731542,2164,4,12.60053,24.766313,0.0,0,80.806644,103.76863,18.886404,2.172265,2.177921,0.338815,2.896574,1.761791,5.160781,1723,0.432598,5.051385,3266120,0.0,19.405,0.3037,0.892,1.1957,100
6,1789404125.544,Excellent,2.203444,6.639154,0.0,67.883849,2781897,2206,2,12.394299,18.035874,0.99728,22,89.617853,144.204406,24.88853,1.75174,0.547714,0.711993,1.876609,0.018225,1.00834,42,0.6863,3.210613,6048017,0.247525,19.269,0.2892,0.8894,1.1786,101
7,1789404135.644,Excellent,1.404941,0.219946,0.728328,1.977314,1773743,1682,2,12.883721,14.884692,1.545779,26,114.092269,145.052198,24.285441,1.216632,1.406343,0.202762,1.962876,-0.798503,0.637611,-524,0.776353,1.809668,7821760,0.0,19.078,0.3056,0.8811,1.1866,101
8,1789404145.744,Good,1.40816,0.238806,0.732379,2.121038,1777796,1637,2,14.050358,16.515951,2.015883,33,107.212046,144.988447,25.081521,1.345796,1.409487,0.208179,1.936725,0.003219,1.002291,-45,0.846708,1.6631,9599556,0.0,19.355,0.302,0.8875,1.1895,101
9,1789404155.844,Good,0.833088,0.339497,0.0,1.692348,1051772,1139,6,27.655095,44.652854,14.398595,164,111.629903,214.118474,53.383387,0.61247,0.688528,0.081201,0.85246,-0.575072,0.591615,-498,0.845344,0.985502,10651328,0.019802,19.349,0.2986,0.8786,1.1773,101
