n,mechanism,block_size,body_bytes,blocks,latency_ms,frame_seq,check,t_rel_ms
1,rfc7959,1024,11203,11,21.624,63,0,94
2,rfc7959,1024,11203,11,24.740,63,0,119
3,rfc7959,1024,11203,11,19.124,63,0,138
4,rfc7959,1024,11594,12,19.548,64,0,157
5,rfc7959,1024,11594,12,19.671,64,0,177
6,rfc7959,1024,11594,12,26.464,64,0,203
7,rfc7959,1024,11667,12,19.551,65,0,223
8,rfc7959,1024,11667,12,19.259,65,0,242
9,rfc7959,1024,11667,12,21.637,65,0,264
10,rfc7959,1024,11791,12,20.862,66,0,285
11,rfc7959,1024,11791,12,20.230,66,0,305
12,rfc7959,1024,11791,12,18.896,66,0,324
13,rfc7959,1024,11413,12,21.746,67,0,346
14,rfc7959,1024,11413,12,21.388,67,0,367
15,rfc7959,1024,11413,12,19.849,67,0,387
16,rfc7959,1024,11413,12,24.127,67,0,411
17,rfc7959,1024,11033,11,21.930,68,0,433
18,rfc7959,1024,11033,11,33.153,68,0,466
19,rfc7959,1024,10437,11,22.667,69,0,489
20,rfc7959,1024,10437,11,34.474,69,0,523
21,rfc7959,1024,9976,10,21.863,70,0,545
22,rfc7959,1024,9976,10,17.455,70,0,563
23,rfc7959,1024,9976,10,17.742,70,0,580
24,rfc7959,1024,9976,10,19.002,70,0,599
25,rfc7959,1024,9822,10,16.496,71,0,616
26,rfc7959,1024,9822,10,16.398,71,0,632
27,rfc7959,1024,9822,10,18.130,71,0,650
28,rfc7959,1024,9822,10,20.684,71,0,671
29,rfc7959,1024,9656,10,18.865,72,0,690
30,rfc7959,1024,9656,10,16.785,72,0,707
