n,mechanism,block_size,body_bytes,blocks,latency_ms,frame_seq,check,t_rel_ms
1,rfc9177,1024,11100,11,7.751,101,0,2614
2,rfc9177,1024,11100,11,9.261,101,0,2623
3,rfc9177,1024,11100,11,9.638,101,0,2632
4,rfc9177,1024,11100,11,7.380,101,0,2640
5,rfc9177,1024,11100,11,7.968,101,0,2648
6,rfc9177,1024,11100,11,9.454,101,0,2657
7,rfc9177,1024,11100,11,8.109,101,0,2665
8,rfc9177,1024,10509,11,7.702,102,0,2673
9,rfc9177,1024,10509,11,4015.588,102,0,6689
10,rfc9177,1024,9892,10,7.816,162,0,6697
11,rfc9177,1024,9892,10,7.035,162,0,6704
12,rfc9177,1024,9892,10,5.624,162,0,6709
13,rfc9177,1024,9892,10,6.642,162,0,6716
14,rfc9177,1024,9892,10,6.526,162,0,6722
15,rfc9177,1024,9892,10,7.367,162,0,6730
16,rfc9177,1024,9892,10,7.607,162,0,6737
17,rfc9177,1024,9794,10,6.899,163,0,6744
18,rfc9177,1024,9794,10,7.363,163,0,6752
19,rfc9177,1024,9794,10,5.796,163,0,6757
20,rfc9177,1024,9794,10,6.536,163,0,6764
21,rfc9177,1024,9794,10,6.508,163,0,6770
22,rfc9177,1024,9794,10,6.273,163,0,6777
23,rfc9177,1024,9794,10,6.862,163,0,6784
24,rfc9177,1024,9794,10,6.088,163,0,6790
25,rfc9177,1024,9794,10,6.470,163,0,6796
26,rfc9177,1024,9794,10,5.452,163,0,6802
27,rfc9177,1024,9549,10,8.032,164,0,6810
28,rfc9177,1024,9549,10,7.482,164,0,6817
29,rfc9177,1024,9549,10,8.118,164,0,6825
30,rfc9177,1024,9549,10,6.381,164,0,6832
