n,mechanism,block_size,body_bytes,blocks,latency_ms,frame_seq,check,t_rel_ms
1,rfc9177,1024,169344,166,131.087,70,0,755
2,rfc9177,1024,174032,170,129.582,72,0,885
3,rfc9177,1024,178501,175,139.137,74,0,1024
4,rfc9177,1024,178841,175,123.463,76,0,1148
5,rfc9177,1024,179209,176,140.584,78,0,1288
6,rfc9177,1024,173433,170,110.326,80,0,1398
7,rfc9177,1024,170719,167,114.419,82,0,1513
8,rfc9177,1024,170621,167,146.669,83,0,1660
9,rfc9177,1024,171728,168,115.769,86,0,1775
10,rfc9177,1024,176211,173,120.360,87,0,1896
11,rfc9177,1024,178874,175,122.219,89,0,2018
12,rfc9177,1024,179816,176,130.444,91,0,2148
13,rfc9177,1024,177689,174,133.290,93,0,2282
14,rfc9177,1024,172085,169,122.340,95,0,2404
15,rfc9177,1024,170804,167,122.508,97,0,2527
16,rfc9177,1024,168701,165,119.078,99,0,2646
17,rfc9177,1024,171280,168,108.752,100,0,2754
18,rfc9177,1024,177521,174,117.634,102,0,2872
19,rfc9177,1024,179459,176,116.872,104,0,2989
20,rfc9177,1024,180472,177,124.558,106,0,3114
21,rfc9177,1024,175321,172,118.189,108,0,3232
22,rfc9177,1024,172748,169,156.702,109,0,3388
23,rfc9177,1024,170302,167,135.221,112,0,3524
24,rfc9177,1024,169687,166,129.476,114,0,3653
25,rfc9177,1024,176976,173,127.313,116,0,3780
26,rfc9177,1024,178908,175,130.714,118,0,3911
27,rfc9177,1024,179011,175,125.470,119,0,4037
28,rfc9177,1024,179873,176,135.528,121,0,4172
29,rfc9177,1024,173182,170,124.763,123,0,4297
30,rfc9177,1024,171831,168,130.131,125,0,4427
31,rfc9177,1024,169303,166,120.799,127,0,4548
32,rfc9177,1024,171303,168,121.120,129,0,4669
33,rfc9177,1024,177665,174,130.957,131,0,4800
34,rfc9177,1024,179022,175,122.865,133,0,4923
35,rfc9177,1024,180748,177,157.204,135,0,5080
36,rfc9177,1024,175334,172,121.661,137,0,5202
37,rfc9177,1024,170804,167,132.035,139,0,5334
38,rfc9177,1024,171595,168,136.592,140,0,5470
39,rfc9177,1024,171224,168,141.178,143,0,5612
40,rfc9177,1024,177731,174,138.750,145,0,5750
41,rfc9177,1024,179447,176,131.630,147,0,5882
42,rfc9177,1024,181621,178,138.096,149,0,6020
43,rfc9177,1024,177597,174,143.845,151,0,6164
44,rfc9177,1024,172537,169,124.988,153,0,6289
45,rfc9177,1024,170459,167,138.018,155,0,6427
46,rfc9177,1024,169425,166,113.773,157,0,6541
47,rfc9177,1024,177102,173,139.325,159,0,6680
48,rfc9177,1024,179271,176,134.037,161,0,6814
49,rfc9177,1024,180693,177,136.133,163,0,6950
50,rfc9177,1024,177753,174,133.963,165,0,7084
51,rfc9177,1024,171308,168,119.769,167,0,7204
52,rfc9177,1024,170670,167,122.424,169,0,7327
53,rfc9177,1024,169155,166,114.372,171,0,7441
54,rfc9177,1024,171291,168,118.300,172,0,7559
55,rfc9177,1024,178376,175,123.082,174,0,7682
56,rfc9177,1024,178979,175,122.331,176,0,7805
57,rfc9177,1024,180358,177,120.321,178,0,7925
58,rfc9177,1024,174159,171,120.554,180,0,8046
59,rfc9177,1024,170160,167,126.803,182,0,8172
60,rfc9177,1024,171401,168,112.380,183,0,8285
61,rfc9177,1024,168582,165,113.912,185,0,8399
62,rfc9177,1024,174937,171,130.781,187,0,8529
63,rfc9177,1024,178795,175,132.002,189,0,8661
64,rfc9177,1024,179868,176,132.011,191,0,8794
65,rfc9177,1024,179733,176,134.658,193,0,8928
66,rfc9177,1024,173026,169,124.496,195,0,9053
67,rfc9177,1024,170658,167,117.247,197,0,9170
68,rfc9177,1024,170184,167,121.331,198,0,9291
69,rfc9177,1024,170108,167,121.590,200,0,9413
70,rfc9177,1024,176646,173,129.242,202,0,9542
71,rfc9177,1024,177568,174,132.686,204,0,9675
72,rfc9177,1024,179764,176,131.168,206,0,9806
73,rfc9177,1024,177231,174,130.090,208,0,9936
74,rfc9177,1024,171167,168,134.844,210,0,10071
75,rfc9177,1024,170723,167,210.312,212,0,10281
76,rfc9177,1024,170494,167,189.361,215,0,10471
77,rfc9177,1024,177735,174,124.241,218,0,10595
78,rfc9177,1024,179846,176,127.640,220,0,10723
79,rfc9177,1024,178537,175,137.304,222,0,10860
80,rfc9177,1024,172504,169,126.122,224,0,10986
81,rfc9177,1024,170978,167,121.895,225,0,11108
82,rfc9177,1024,169462,166,115.593,227,0,11224
83,rfc9177,1024,170149,167,4130.466,229,0,15354
84,rfc9177,1024,178266,175,117.140,291,0,15471
85,rfc9177,1024,179847,176,128.305,293,0,15599
86,rfc9177,1024,174297,171,118.170,295,0,15718
87,rfc9177,1024,171149,168,117.665,297,0,15835
88,rfc9177,1024,169832,166,113.656,298,0,15949
89,rfc9177,1024,168615,165,115.346,300,0,16064
90,rfc9177,1024,174552,171,118.162,302,0,16183
91,rfc9177,1024,176925,173,115.918,303,0,16298
92,rfc9177,1024,177877,174,114.200,305,0,16413
93,rfc9177,1024,180724,177,115.777,307,0,16528
94,rfc9177,1024,175933,172,116.288,309,0,16645
95,rfc9177,1024,171985,168,113.730,311,0,16759
96,rfc9177,1024,171482,168,118.421,312,0,16877
97,rfc9177,1024,168981,166,111.263,314,0,16988
98,rfc9177,1024,172839,169,118.122,316,0,17106
99,rfc9177,1024,177009,173,118.564,317,0,17225
100,rfc9177,1024,177685,174,124.355,319,0,17349
