n,mechanism,block_size,body_bytes,blocks,latency_ms,frame_seq,check,t_rel_ms
1,rfc9177,1024,0,0,6000.000,0,-99,6037
2,rfc9177,1024,10109,10,7.750,156,0,6062
3,rfc9177,1024,10109,10,8.554,156,0,6071
4,rfc9177,1024,10034,10,9.115,157,0,6080
5,rfc9177,1024,10034,10,7.964,157,0,6088
6,rfc9177,1024,10034,10,5.986,157,0,6094
7,rfc9177,1024,0,0,6000.000,0,-99,12096
8,rfc9177,1024,10147,10,9.436,247,0,12106
9,rfc9177,1024,0,0,6000.000,0,-99,18115
10,rfc9177,1024,0,0,6000.000,0,-99,24121
11,rfc9177,1024,10869,11,10.018,427,0,24131
12,rfc9177,1024,0,0,6000.000,0,-99,30160
13,rfc9177,1024,9632,10,15.890,518,0,30176
14,rfc9177,1024,9632,10,4050.278,518,0,34226
15,rfc9177,1024,11025,11,9.979,579,0,34236
16,rfc9177,1024,11025,11,11.307,579,0,34247
17,rfc9177,1024,11025,11,4014.557,579,0,38262
18,rfc9177,1024,11761,12,4054.032,639,0,42316
19,rfc9177,1024,11090,11,11.629,700,0,42328
20,rfc9177,1024,11090,11,9.955,700,0,42337
21,rfc9177,1024,11090,11,9.105,700,0,42347
22,rfc9177,1024,0,0,6000.000,0,-99,48365
23,rfc9177,1024,9662,10,4027.367,791,0,52392
24,rfc9177,1024,10675,11,11.258,851,0,52403
25,rfc9177,1024,10675,11,4019.532,851,0,56423
26,rfc9177,1024,11818,12,8.095,912,0,56431
27,rfc9177,1024,11818,12,4025.963,912,0,60457
28,rfc9177,1024,11617,12,10.270,997,0,62119
29,rfc9177,1024,11617,12,4019.014,997,0,66138
30,rfc9177,1024,11888,12,4017.412,1057,0,70156
