n,mechanism,block_size,body_bytes,blocks,latency_ms,frame_seq,check,t_rel_ms
1,rfc9177,1024,10587,11,7.801,63,0,41
2,rfc9177,1024,10587,11,8.904,63,0,50
3,rfc9177,1024,10587,11,10.471,63,0,60
4,rfc9177,1024,10587,11,9.260,63,0,70
5,rfc9177,1024,11141,11,7.772,64,0,78
6,rfc9177,1024,11141,11,9.097,64,0,87
7,rfc9177,1024,11141,11,9.361,64,0,96
8,rfc9177,1024,11141,11,9.002,64,0,105
9,rfc9177,1024,11141,11,7.365,64,0,112
10,rfc9177,1024,11141,11,8.434,64,0,121
11,rfc9177,1024,11141,11,7.502,64,0,128
12,rfc9177,1024,11141,11,11.984,64,0,140
13,rfc9177,1024,11403,12,9.045,65,0,149
14,rfc9177,1024,11403,12,10.853,65,0,160
15,rfc9177,1024,11403,12,8.750,65,0,169
16,rfc9177,1024,11403,12,10.233,65,0,179
17,rfc9177,1024,11403,12,9.209,65,0,188
18,rfc9177,1024,11403,12,11.456,65,0,200
19,rfc9177,1024,11534,12,10.492,66,0,210
20,rfc9177,1024,11534,12,8.248,66,0,219
21,rfc9177,1024,11534,12,12.736,66,0,231
22,rfc9177,1024,11534,12,7.689,66,0,239
23,rfc9177,1024,11534,12,9.007,66,0,248
24,rfc9177,1024,11534,12,11.208,66,0,259
25,rfc9177,1024,11534,12,9.298,66,0,269
26,rfc9177,1024,11659,12,8.534,67,0,277
27,rfc9177,1024,11659,12,9.411,67,0,287
28,rfc9177,1024,11659,12,14.995,67,0,301
29,rfc9177,1024,11659,12,9.889,67,0,311
30,rfc9177,1024,11659,12,10.570,67,0,322
