n,mechanism,block_size,body_bytes,blocks,latency_ms,frame_seq,check,t_rel_ms
1,rfc7959,1024,178823,175,293.330,84,0,1793
2,rfc7959,1024,171062,168,263.823,88,0,2057
3,rfc7959,1024,174035,170,298.688,92,0,2355
4,rfc7959,1024,179696,176,298.212,97,0,2653
5,rfc7959,1024,170523,167,293.253,101,0,2947
6,rfc7959,1024,172477,169,300.429,106,0,3247
7,rfc7959,1024,177877,174,285.401,110,0,3533
8,rfc7959,1024,173372,170,300.120,114,0,3833
9,rfc7959,1024,167787,164,283.120,119,0,4116
10,rfc7959,1024,177490,174,327.832,123,0,4444
11,rfc7959,1024,173600,170,296.374,128,0,4740
12,rfc7959,1024,168387,165,291.255,133,0,5031
13,rfc7959,1024,177631,174,311.476,137,0,5343
14,rfc7959,1024,175789,172,321.649,142,0,5665
15,rfc7959,1024,168090,165,304.977,146,0,5969
16,rfc7959,1024,178431,175,301.330,151,0,6271
17,rfc7959,1024,180547,177,326.356,155,0,6597
18,rfc7959,1024,169991,167,295.966,160,0,6893
19,rfc7959,1024,176932,173,311.911,165,0,7205
20,rfc7959,1024,178632,175,290.780,170,0,7496
21,rfc7959,1024,169833,166,300.380,174,0,7796
22,rfc7959,1024,172806,169,318.671,178,0,8115
23,rfc7959,1024,179657,176,306.417,183,0,8421
24,rfc7959,1024,171708,168,316.329,188,0,8738
25,rfc7959,1024,172746,169,2437.946,192,0,11176
26,rfc7959,1024,173236,170,338.410,229,0,11514
27,rfc7959,1024,168317,165,324.465,234,0,11839
28,rfc7959,1024,178799,175,326.200,239,0,12165
29,rfc7959,1024,171428,168,305.803,244,0,12471
30,rfc7959,1024,168006,165,298.558,248,0,12769
31,rfc7959,1024,178903,175,347.453,253,0,13117
32,rfc7959,1024,171510,168,307.899,258,0,13425
33,rfc7959,1024,170811,167,324.599,263,0,13749
34,rfc7959,1024,180304,177,327.757,268,0,14077
35,rfc7959,1024,173013,169,329.495,273,0,14406
36,rfc7959,1024,172385,169,359.484,278,0,14766
37,rfc7959,1024,180710,177,349.101,283,0,15115
38,rfc7959,1024,171299,168,364.719,288,0,15480
39,rfc7959,1024,177412,174,312.787,294,0,15793
40,rfc7959,1024,180415,177,319.907,298,0,16113
41,rfc7959,1024,171305,168,365.292,303,0,16478
42,rfc7959,1024,179059,175,333.171,309,0,16811
43,rfc7959,1024,175324,172,373.156,314,0,17184
44,rfc7959,1024,168734,165,304.610,319,0,17489
45,rfc7959,1024,178807,175,353.729,324,0,17843
46,rfc7959,1024,173572,170,380.866,329,0,18223
47,rfc7959,1024,170829,167,309.139,335,0,18533
48,rfc7959,1024,178202,175,343.541,339,0,18876
49,rfc7959,1024,171360,168,350.414,345,0,19227
50,rfc7959,1024,173588,170,329.776,350,0,19557
51,rfc7959,1024,181006,177,347.031,355,0,19904
52,rfc7959,1024,171869,168,436.690,360,0,20340
53,rfc7959,1024,179362,176,312.791,367,0,20653
54,rfc7959,1024,177995,174,323.988,371,0,20977
55,rfc7959,1024,169954,166,297.764,376,0,21275
56,rfc7959,1024,178313,175,323.305,381,0,21598
57,rfc7959,1024,178109,174,339.616,385,0,21938
58,rfc7959,1024,168596,165,284.881,391,0,22223
59,rfc7959,1024,177519,174,308.925,395,0,22532
60,rfc7959,1024,179650,176,313.798,399,0,22846
61,rfc7959,1024,170375,167,277.378,404,0,23123
62,rfc7959,1024,176511,173,302.498,408,0,23426
63,rfc7959,1024,180904,177,322.029,413,0,23748
64,rfc7959,1024,170447,167,311.091,418,0,24059
65,rfc7959,1024,175495,172,323.757,422,0,24382
66,rfc7959,1024,180765,177,299.665,427,0,24682
67,rfc7959,1024,171150,168,3150.070,432,0,27832
68,rfc7959,1024,172221,169,299.187,479,0,28131
69,rfc7959,1024,179494,176,318.262,483,0,28450
70,rfc7959,1024,171598,168,303.184,488,0,28753
71,rfc7959,1024,171538,168,323.559,493,0,29076
72,rfc7959,1024,179583,176,331.513,497,0,29408
73,rfc7959,1024,171801,168,295.804,502,0,29704
74,rfc7959,1024,169802,166,298.632,507,0,30002
75,rfc7959,1024,179929,176,341.335,512,0,30344
76,rfc7959,1024,172583,169,289.777,517,0,30634
77,rfc7959,1024,169157,166,299.602,521,0,30933
78,rfc7959,1024,179385,176,351.415,526,0,31285
79,rfc7959,1024,171642,168,341.141,531,0,31626
80,rfc7959,1024,171942,168,309.468,536,0,31935
81,rfc7959,1024,180901,177,350.175,541,0,32285
82,rfc7959,1024,170875,167,305.198,546,0,32591
83,rfc7959,1024,170129,167,291.544,550,0,32882
84,rfc7959,1024,179624,176,265.013,555,0,33147
85,rfc7959,1024,172905,169,290.221,559,0,33438
86,rfc7959,1024,169085,166,272.985,563,0,33710
87,rfc7959,1024,178087,174,304.078,567,0,34015
88,rfc7959,1024,177779,174,312.682,572,0,34327
89,rfc7959,1024,171062,168,275.700,576,0,34603
90,rfc7959,1024,175430,172,320.519,580,0,34924
91,rfc7959,1024,180211,176,308.912,585,0,35232
92,rfc7959,1024,169859,166,333.091,590,0,35566
93,rfc7959,1024,177116,173,343.895,595,0,35910
94,rfc7959,1024,179994,176,369.466,600,0,36279
95,rfc7959,1024,168461,165,290.723,606,0,36570
96,rfc7959,1024,178911,175,310.694,610,0,36880
97,rfc7959,1024,178887,175,320.858,615,0,37201
98,rfc7959,1024,169053,166,299.448,620,0,37501
99,rfc7959,1024,177510,174,314.291,624,0,37815
100,rfc7959,1024,179884,176,304.485,629,0,38120
