n,mechanism,block_size,body_bytes,blocks,latency_ms,frame_seq,check,t_rel_ms
1,rfc7959,512,13908,28,43.873,68,0,431
2,rfc7959,512,13908,28,44.981,68,0,476
3,rfc7959,512,14583,29,50.207,69,0,526
4,rfc7959,512,15315,30,63.753,70,0,590
5,rfc7959,512,15575,31,54.476,71,0,644
6,rfc7959,512,15575,31,54.779,71,0,699
7,rfc7959,512,15907,32,46.087,72,0,745
8,rfc7959,512,15868,31,51.644,73,0,797
9,rfc7959,512,15952,32,50.510,74,0,847
10,rfc7959,512,15952,32,50.434,74,0,898
11,rfc7959,512,15805,31,50.598,75,0,948
12,rfc7959,512,15747,31,50.186,76,0,999
13,rfc7959,512,14721,29,50.369,77,0,1049
14,rfc7959,512,14721,29,50.774,77,0,1100
15,rfc7959,512,14524,29,53.972,78,0,1154
16,rfc7959,512,14030,28,47.900,79,0,1202
17,rfc7959,512,14170,28,51.593,80,0,1253
18,rfc7959,512,13774,27,63.564,81,0,1317
19,rfc7959,512,13774,27,65.452,81,0,1382
20,rfc7959,512,13917,28,57.487,82,0,1440
21,rfc7959,512,14290,28,52.772,83,0,1493
22,rfc7959,512,15098,30,61.278,84,0,1554
23,rfc7959,512,15450,31,87.039,85,0,1641
24,rfc7959,512,15660,31,105.787,86,0,1747
25,rfc7959,512,15884,32,61.523,88,0,1808
26,rfc7959,512,16213,32,50.085,89,0,1858
27,rfc7959,512,15746,31,97.660,90,0,1956
28,rfc7959,512,14967,30,59.893,91,0,2016
29,rfc7959,512,14389,29,51.100,92,0,2067
30,rfc7959,512,14284,28,46.161,93,0,2113
31,rfc7959,512,14284,28,54.861,93,0,2168
32,rfc7959,512,13941,28,43.642,94,0,2212
33,rfc7959,512,13583,27,47.167,95,0,2259
34,rfc7959,512,13810,27,51.524,96,0,2310
35,rfc7959,512,13810,27,49.920,96,0,2360
36,rfc7959,512,14104,28,55.838,97,0,2416
37,rfc7959,512,14762,29,52.303,98,0,2468
38,rfc7959,512,15308,30,94.408,99,0,2563
39,rfc7959,512,15450,31,56.583,100,0,2619
40,rfc7959,512,15687,31,54.698,101,0,2674
41,rfc7959,512,15922,32,64.424,102,0,2739
42,rfc7959,512,16067,32,57.981,103,0,2797
43,rfc7959,512,15938,32,64.289,104,0,2861
44,rfc7959,512,15044,30,51.454,105,0,2912
45,rfc7959,512,15044,30,52.795,105,0,2965
46,rfc7959,512,14453,29,56.033,106,0,3021
47,rfc7959,512,14251,28,49.893,107,0,3071
48,rfc7959,512,14086,28,48.841,108,0,3120
49,rfc7959,512,14046,28,48.119,109,0,3168
50,rfc7959,512,14046,28,50.343,109,0,3218
51,rfc7959,512,13701,27,54.187,110,0,3273
52,rfc7959,512,13920,28,57.303,111,0,3330
53,rfc7959,512,14657,29,43.792,112,0,3374
54,rfc7959,512,14657,29,58.554,112,0,3432
55,rfc7959,512,15230,30,51.693,113,0,3484
56,rfc7959,512,15636,31,48.099,114,0,3532
57,rfc7959,512,15794,31,48.134,115,0,3580
58,rfc7959,512,15794,31,48.278,115,0,3628
59,rfc7959,512,15832,31,54.006,116,0,3683
60,rfc7959,512,16111,32,50.342,117,0,3733
61,rfc7959,512,16097,32,52.165,118,0,3785
62,rfc7959,512,16097,32,53.754,118,0,3839
63,rfc7959,512,15534,31,54.265,119,0,3893
64,rfc7959,512,14693,29,45.649,120,0,3939
65,rfc7959,512,14157,28,45.841,121,0,3985
66,rfc7959,512,14157,28,49.350,121,0,4034
67,rfc7959,512,14293,28,62.463,122,0,4096
68,rfc7959,512,14247,28,52.675,123,0,4149
69,rfc7959,512,13648,27,46.174,124,0,4195
70,rfc7959,512,13634,27,58.410,125,0,4254
71,rfc7959,512,13634,27,44.601,125,0,4298
72,rfc7959,512,14276,28,47.965,126,0,4346
73,rfc7959,512,14970,30,58.294,127,0,4405
74,rfc7959,512,15547,31,61.359,128,0,4466
75,rfc7959,512,15611,31,55.282,129,0,4521
76,rfc7959,512,15611,31,69.457,129,0,4591
77,rfc7959,512,16164,32,73.887,131,0,4665
78,rfc7959,512,16119,32,71.436,132,0,4736
79,rfc7959,512,15823,31,58.451,133,0,4794
80,rfc7959,512,15044,30,53.475,134,0,4848
81,rfc7959,512,15044,30,53.682,134,0,4902
82,rfc7959,512,14268,28,48.641,135,0,4950
83,rfc7959,512,14389,29,51.387,136,0,5002
84,rfc7959,512,13906,28,68.148,137,0,5070
85,rfc7959,512,13951,28,52.534,138,0,5122
86,rfc7959,512,13951,28,50.665,138,0,5173
87,rfc7959,512,13863,28,46.349,139,0,5219
88,rfc7959,512,14158,28,51.452,140,0,5271
89,rfc7959,512,14914,30,46.175,141,0,5317
90,rfc7959,512,14914,30,51.897,141,0,5369
91,rfc7959,512,15447,31,56.927,142,0,5426
92,rfc7959,512,15626,31,63.671,143,0,5490
93,rfc7959,512,16034,32,84.246,144,0,5574
94,rfc7959,512,16063,32,57.237,145,0,5631
95,rfc7959,512,16056,32,80.769,146,0,5712
96,rfc7959,512,15958,32,67.410,147,0,5779
97,rfc7959,512,14829,29,55.325,148,0,5835
98,rfc7959,512,14489,29,48.582,149,0,5883
99,rfc7959,512,14185,28,52.748,150,0,5936
100,rfc7959,512,14038,28,58.659,151,0,5995
