n,mechanism,block_size,body_bytes,blocks,latency_ms,frame_seq,check,t_rel_ms
1,rfc9177,1024,0,0,6000.000,0,-99,6028
2,rfc9177,1024,11454,12,4030.154,232,0,14231
3,rfc9177,1024,12063,12,4043.369,292,0,18274
4,rfc9177,1024,10162,10,11.610,353,0,18286
5,rfc9177,1024,0,0,6000.000,0,-99,24307
6,rfc9177,1024,0,0,6000.000,0,-99,30309
7,rfc9177,1024,0,0,6000.000,0,-99,36321
8,rfc9177,1024,11422,12,21.028,624,0,36342
9,rfc9177,1024,11422,12,4020.843,624,0,40363
10,rfc9177,1024,0,0,6000.000,0,-99,46384
11,rfc9177,1024,9774,10,21.783,774,0,46406
12,rfc9177,1024,10053,10,4015.891,775,0,50422
13,rfc9177,1024,11440,12,17.136,835,0,50439
14,rfc9177,1024,11440,12,12.647,835,0,50451
15,rfc9177,1024,11440,12,4058.557,835,0,54510
16,rfc9177,1024,11875,12,4026.668,896,0,58537
17,rfc9177,1024,10175,10,4018.382,957,0,62555
18,rfc9177,1024,9660,10,4015.649,1017,0,66571
19,rfc9177,1024,0,0,6000.000,0,-99,72597
20,rfc9177,1024,0,0,6000.000,0,-99,78617
21,rfc9177,1024,11773,12,4021.876,1313,0,86335
22,rfc9177,1024,10409,11,9.685,1373,0,86345
23,rfc9177,1024,10191,10,4114.357,1374,0,90459
24,rfc9177,1024,9665,10,4090.012,1435,0,94549
25,rfc9177,1024,11610,12,11.204,1497,0,94560
26,rfc9177,1024,0,0,6000.000,0,-99,100572
27,rfc9177,1024,11209,11,23.152,1587,0,100595
28,rfc9177,1024,11209,11,10.594,1587,0,100606
29,rfc9177,1024,11209,11,4024.764,1587,0,104631
30,rfc9177,1024,9997,10,7.393,1648,0,104638
