n,mechanism,block_size,body_bytes,blocks,latency_ms,frame_seq,check,t_rel_ms
1,rfc9177,1024,11843,12,11.417,61,0,43
2,rfc9177,1024,12067,12,9.255,62,0,53
3,rfc9177,1024,12067,12,8.272,62,0,61
4,rfc9177,1024,12067,12,9.441,62,0,70
5,rfc9177,1024,12067,12,7.587,62,0,78
6,rfc9177,1024,12067,12,4107.432,62,0,4185
7,rfc9177,1024,10211,10,4095.715,124,0,8281
8,rfc9177,1024,9754,10,10.093,185,0,8291
9,rfc9177,1024,0,0,6000.000,0,-99,14306
10,rfc9177,1024,11797,12,21.490,276,0,14328
11,rfc9177,1024,11797,12,9.252,276,0,14337
12,rfc9177,1024,11797,12,8.916,276,0,14346
13,rfc9177,1024,11797,12,8.934,276,0,14355
14,rfc9177,1024,11797,12,9.256,276,0,14364
15,rfc9177,1024,11797,12,11.163,276,0,14375
16,rfc9177,1024,11797,12,8.009,276,0,14383
17,rfc9177,1024,11893,12,8.850,277,0,14392
18,rfc9177,1024,11893,12,4017.046,277,0,18409
19,rfc9177,1024,11383,12,25.122,337,0,18434
20,rfc9177,1024,11383,12,44.835,337,0,18479
21,rfc9177,1024,10815,11,9.727,338,0,18489
22,rfc9177,1024,10815,11,4019.005,338,0,22508
23,rfc9177,1024,10226,10,7.914,398,0,22516
24,rfc9177,1024,9850,10,11.309,399,0,22527
25,rfc9177,1024,9850,10,4010.261,399,0,26538
26,rfc9177,1024,10145,10,12.094,459,0,26550
27,rfc9177,1024,10145,10,8.126,459,0,26558
28,rfc9177,1024,10145,10,12.103,459,0,26570
29,rfc9177,1024,10145,10,9.560,459,0,26579
30,rfc9177,1024,10145,10,4022.622,459,0,30602
