n,mechanism,block_size,body_bytes,blocks,latency_ms,frame_seq,check,t_rel_ms
1,rfc7959,1024,11271,12,22.413,96,0,2267
2,rfc7959,1024,10767,11,17.333,97,0,2285
3,rfc7959,1024,10767,11,27.309,97,0,2312
4,rfc7959,1024,10767,11,23.839,97,0,2336
5,rfc7959,1024,10308,11,19.082,98,0,2355
6,rfc7959,1024,10308,11,19.282,98,0,2374
7,rfc7959,1024,10308,11,16.654,98,0,2391
8,rfc7959,1024,10308,11,2592.330,98,0,4983
9,rfc7959,1024,11897,12,2671.751,137,0,7655
10,rfc7959,1024,11119,11,23.588,177,0,7679
11,rfc7959,1024,11656,12,20.732,178,0,7699
12,rfc7959,1024,11656,12,21.249,178,0,7721
13,rfc7959,1024,11656,12,2384.486,178,0,10105
14,rfc7959,1024,10043,10,21.209,214,0,10126
15,rfc7959,1024,10043,10,22.491,214,0,10149
16,rfc7959,1024,9843,10,18.314,215,0,10167
17,rfc7959,1024,9843,10,20.451,215,0,10188
18,rfc7959,1024,9843,10,17.429,215,0,10205
19,rfc7959,1024,9608,10,5221.567,216,0,15427
20,rfc7959,1024,11632,12,2869.221,294,0,18296
21,rfc7959,1024,11644,12,2968.763,337,0,21265
22,rfc7959,1024,11864,12,22.925,381,0,21288
23,rfc7959,1024,12073,12,22.834,382,0,21310
24,rfc7959,1024,12073,12,2827.267,382,0,24138
25,rfc7959,1024,11788,12,21.132,424,0,24159
26,rfc7959,1024,12004,12,2406.831,425,0,26566
27,rfc7959,1024,9705,10,3000.870,461,0,29567
28,rfc7959,1024,10413,11,2859.850,506,0,32426
29,rfc7959,1024,10164,10,2252.809,549,0,34679
30,rfc7959,1024,12004,12,2662.913,583,0,37342
