n,mechanism,block_size,body_bytes,blocks,latency_ms,frame_seq,check,t_rel_ms
1,rfc7959,256,14232,56,96.165,107,0,3023
2,rfc7959,256,14050,55,107.717,108,0,3131
3,rfc7959,256,13530,53,102.274,110,0,3233
4,rfc7959,256,14164,56,106.370,111,0,3340
5,rfc7959,256,15561,61,105.963,113,0,3446
6,rfc7959,256,15918,63,105.926,114,0,3552
7,rfc7959,256,16185,64,116.260,116,0,3668
8,rfc7959,256,15779,62,116.570,118,0,3785
9,rfc7959,256,14665,58,111.265,120,0,3896
10,rfc7959,256,14285,56,111.508,121,0,4007
11,rfc7959,256,13910,55,119.697,123,0,4127
12,rfc7959,256,13940,55,106.522,125,0,4234
13,rfc7959,256,14640,58,124.405,126,0,4358
14,rfc7959,256,15623,62,107.231,128,0,4465
15,rfc7959,256,16104,63,125.356,130,0,4591
16,rfc7959,256,16048,63,144.719,132,0,4735
17,rfc7959,256,14578,57,146.289,134,0,4882
18,rfc7959,256,14114,56,116.627,136,0,4998
19,rfc7959,256,13652,54,95.454,138,0,5094
20,rfc7959,256,13775,54,100.254,139,0,5194
21,rfc7959,256,15216,60,103.445,141,0,5297
22,rfc7959,256,15530,61,118.678,142,0,5416
23,rfc7959,256,16054,63,124.935,144,0,5541
24,rfc7959,256,16030,63,111.837,146,0,5653
25,rfc7959,256,15471,61,112.349,147,0,5765
26,rfc7959,256,14515,57,102.244,149,0,5868
27,rfc7959,256,14100,56,105.249,151,0,5973
28,rfc7959,256,13860,55,124.235,152,0,6097
29,rfc7959,256,14158,56,136.435,154,0,6233
30,rfc7959,256,15390,61,108.128,156,0,6342
31,rfc7959,256,15870,62,99.226,158,0,6441
32,rfc7959,256,16004,63,114.920,159,0,6556
33,rfc7959,256,15908,63,120.414,161,0,6676
34,rfc7959,256,14447,57,107.179,163,0,6783
35,rfc7959,256,14266,56,107.259,164,0,6891
36,rfc7959,256,13864,55,126.831,166,0,7018
37,rfc7959,256,13921,55,96.989,168,0,7115
38,rfc7959,256,14634,58,112.485,169,0,7227
39,rfc7959,256,15575,61,110.753,171,0,7338
40,rfc7959,256,15972,63,97.240,173,0,7435
41,rfc7959,256,16260,64,104.666,174,0,7540
42,rfc7959,256,15147,60,118.497,176,0,7658
43,rfc7959,256,14382,57,97.442,178,0,7756
44,rfc7959,256,14138,56,121.509,179,0,7877
45,rfc7959,256,13680,54,89.448,181,0,7967
46,rfc7959,256,13855,55,96.272,182,0,8063
47,rfc7959,256,15254,60,113.516,184,0,8176
48,rfc7959,256,15446,61,103.464,185,0,8280
49,rfc7959,256,15913,63,113.295,187,0,8393
50,rfc7959,256,16215,64,114.333,189,0,8508
51,rfc7959,256,15544,61,97.342,190,0,8605
52,rfc7959,256,14307,56,96.142,192,0,8701
53,rfc7959,256,14166,56,102.179,193,0,8803
54,rfc7959,256,13759,54,95.999,195,0,8899
55,rfc7959,256,13882,55,116.409,196,0,9016
56,rfc7959,256,15042,59,102.785,198,0,9118
57,rfc7959,256,15449,61,125.155,199,0,9244
58,rfc7959,256,16017,63,119.214,201,0,9363
59,rfc7959,256,16336,64,118.786,203,0,9482
60,rfc7959,256,15105,60,105.244,205,0,9587
61,rfc7959,256,14468,57,108.964,206,0,9696
62,rfc7959,256,14088,56,111.363,208,0,9807
63,rfc7959,256,13690,54,108.375,210,0,9916
64,rfc7959,256,14043,55,105.848,211,0,10021
65,rfc7959,256,15422,61,106.572,213,0,10128
66,rfc7959,256,15706,62,105.948,215,0,10234
67,rfc7959,256,16042,63,119.016,216,0,10353
68,rfc7959,256,15859,62,136.891,218,0,10490
69,rfc7959,256,14570,57,144.936,220,0,10635
70,rfc7959,256,14045,55,122.676,222,0,10758
71,rfc7959,256,13815,54,100.016,224,0,10858
72,rfc7959,256,14515,57,107.321,226,0,10965
73,rfc7959,256,15179,60,178.994,227,0,11144
74,rfc7959,256,15816,62,114.757,230,0,11259
75,rfc7959,256,16031,63,121.034,232,0,11380
76,rfc7959,256,15537,61,120.555,233,0,11500
77,rfc7959,256,14353,57,97.677,235,0,11598
78,rfc7959,256,14104,56,109.234,237,0,11707
79,rfc7959,256,13839,55,110.338,238,0,11818
80,rfc7959,256,14236,56,114.605,240,0,11932
81,rfc7959,256,15537,61,116.573,242,0,12049
82,rfc7959,256,15716,62,109.112,243,0,12158
83,rfc7959,256,16197,64,125.610,245,0,12284
84,rfc7959,256,15744,62,105.810,247,0,12389
85,rfc7959,256,14981,59,98.370,248,0,12488
86,rfc7959,256,14195,56,96.563,250,0,12584
87,rfc7959,256,14251,56,112.672,251,0,12697
88,rfc7959,256,13662,54,87.296,253,0,12784
89,rfc7959,256,14025,55,103.842,254,0,12888
90,rfc7959,256,15432,61,128.495,256,0,13017
91,rfc7959,256,15815,62,105.112,258,0,13122
92,rfc7959,256,15768,62,125.128,259,0,13247
93,rfc7959,256,16006,63,110.451,261,0,13357
94,rfc7959,256,14675,58,130.785,263,0,13488
95,rfc7959,256,14267,56,107.394,265,0,13596
96,rfc7959,256,14011,55,90.963,267,0,13687
97,rfc7959,256,14038,55,98.400,268,0,13785
98,rfc7959,256,14480,57,108.603,269,0,13894
99,rfc7959,256,15429,61,119.377,271,0,14013
100,rfc7959,256,15977,63,121.764,273,0,14135
