n,mechanism,block_size,body_bytes,blocks,latency_ms,frame_seq,check,t_rel_ms
1,rfc7959,1024,67644,67,111.835,73,0,844
2,rfc7959,1024,69095,68,124.808,74,0,969
3,rfc7959,1024,71859,71,119.056,76,0,1088
4,rfc7959,1024,72400,71,131.755,78,0,1220
5,rfc7959,1024,72997,72,129.383,80,0,1349
6,rfc7959,1024,69586,68,128.586,82,0,1478
7,rfc7959,1024,68894,68,121.676,84,0,1599
8,rfc7959,1024,67843,67,109.082,86,0,1709
9,rfc7959,1024,66913,66,116.549,87,0,1825
10,rfc7959,1024,70322,69,129.483,89,0,1955
11,rfc7959,1024,72138,71,142.212,91,0,2097
12,rfc7959,1024,72641,71,137.415,93,0,2234
13,rfc7959,1024,71707,71,130.353,95,0,2365
14,rfc7959,1024,68861,68,108.409,97,0,2473
15,rfc7959,1024,68166,67,120.598,99,0,2594
16,rfc7959,1024,67040,66,111.078,101,0,2705
17,rfc7959,1024,67910,67,115.306,102,0,2820
18,rfc7959,1024,71373,70,152.790,104,0,2973
19,rfc7959,1024,72207,71,138.083,106,0,3111
20,rfc7959,1024,72770,72,124.306,108,0,3235
21,rfc7959,1024,70849,70,115.282,110,0,3351
22,rfc7959,1024,68362,67,119.231,112,0,3470
23,rfc7959,1024,67800,67,118.188,114,0,3588
24,rfc7959,1024,67316,66,122.472,116,0,3710
25,rfc7959,1024,70498,69,124.944,118,0,3835
26,rfc7959,1024,71967,71,124.802,119,0,3960
27,rfc7959,1024,72646,71,126.283,121,0,4087
28,rfc7959,1024,72763,72,144.951,123,0,4231
29,rfc7959,1024,69797,69,135.182,125,0,4367
30,rfc7959,1024,68181,67,146.273,127,0,4513
31,rfc7959,1024,67734,67,120.789,129,0,4634
32,rfc7959,1024,68490,67,139.253,131,0,4773
33,rfc7959,1024,71684,71,133.466,133,0,4907
34,rfc7959,1024,72056,71,130.513,135,0,5037
35,rfc7959,1024,73044,72,134.704,137,0,5172
36,rfc7959,1024,70792,70,139.208,139,0,5311
37,rfc7959,1024,68946,68,120.446,141,0,5431
38,rfc7959,1024,68051,67,118.850,143,0,5550
39,rfc7959,1024,68309,67,135.081,145,0,5685
40,rfc7959,1024,71729,71,120.587,147,0,5806
41,rfc7959,1024,72246,71,163.717,149,0,5970
42,rfc7959,1024,73053,72,163.161,151,0,6133
43,rfc7959,1024,69453,68,131.151,154,0,6264
44,rfc7959,1024,68486,67,156.944,156,0,6421
45,rfc7959,1024,67310,66,148.236,158,0,6569
46,rfc7959,1024,68989,68,164.778,160,0,6734
47,rfc7959,1024,72120,71,147.116,163,0,6881
48,rfc7959,1024,72431,71,137.734,165,0,7019
49,rfc7959,1024,72156,71,142.517,167,0,7161
50,rfc7959,1024,68846,68,124.277,169,0,7286
51,rfc7959,1024,68477,67,125.438,171,0,7411
52,rfc7959,1024,67511,66,115.628,173,0,7527
53,rfc7959,1024,70375,69,132.809,175,0,7660
54,rfc7959,1024,72153,71,127.932,177,0,7788
55,rfc7959,1024,72282,71,147.027,179,0,7935
56,rfc7959,1024,72208,71,122.003,181,0,8057
57,rfc7959,1024,68897,68,116.060,183,0,8173
58,rfc7959,1024,68148,67,132.680,184,0,8305
59,rfc7959,1024,68013,67,127.457,186,0,8433
60,rfc7959,1024,67873,67,145.777,188,0,8579
61,rfc7959,1024,71083,70,147.216,190,0,8726
62,rfc7959,1024,72778,72,151.400,193,0,8877
63,rfc7959,1024,72782,72,142.700,195,0,9020
64,rfc7959,1024,69106,68,137.785,197,0,9158
65,rfc7959,1024,68153,67,129.618,199,0,9287
66,rfc7959,1024,67497,66,110.637,201,0,9398
67,rfc7959,1024,69320,68,132.365,203,0,9530
68,rfc7959,1024,71920,71,128.961,205,0,9659
69,rfc7959,1024,72674,71,135.190,207,0,9795
70,rfc7959,1024,73089,72,312.295,209,0,10107
71,rfc7959,1024,68264,67,132.730,213,0,10240
72,rfc7959,1024,67956,67,124.569,215,0,10364
73,rfc7959,1024,68640,68,135.926,217,0,10500
74,rfc7959,1024,72091,71,156.390,219,0,10657
75,rfc7959,1024,72603,71,173.486,221,0,10830
76,rfc7959,1024,72187,71,139.749,224,0,10970
77,rfc7959,1024,69368,68,133.660,226,0,11103
78,rfc7959,1024,68323,67,149.445,228,0,11253
79,rfc7959,1024,67657,67,120.047,230,0,11373
80,rfc7959,1024,69661,69,137.350,232,0,11510
81,rfc7959,1024,72676,71,160.811,234,0,11671
82,rfc7959,1024,73143,72,139.957,237,0,11811
83,rfc7959,1024,71228,70,129.730,239,0,11941
84,rfc7959,1024,68489,67,125.084,241,0,12066
85,rfc7959,1024,68383,67,128.232,243,0,12194
86,rfc7959,1024,67265,66,116.961,245,0,12311
87,rfc7959,1024,69077,68,119.964,246,0,12431
88,rfc7959,1024,71803,71,158.220,248,0,12589
89,rfc7959,1024,73001,72,152.141,251,0,12742
90,rfc7959,1024,71968,71,182.686,253,0,12924
91,rfc7959,1024,68385,67,129.097,256,0,13053
92,rfc7959,1024,67677,67,142.747,258,0,13196
93,rfc7959,1024,68271,67,137.341,260,0,13334
94,rfc7959,1024,71285,70,134.200,262,0,13468
95,rfc7959,1024,72590,71,137.167,264,0,13605
96,rfc7959,1024,73006,72,135.245,266,0,13740
97,rfc7959,1024,70318,69,140.016,268,0,13880
98,rfc7959,1024,68946,68,123.423,270,0,14004
99,rfc7959,1024,68260,67,113.023,272,0,14117
100,rfc7959,1024,67537,66,115.768,273,0,14232
