n,mechanism,block_size,body_bytes,blocks,latency_ms,frame_seq,check,t_rel_ms
1,rfc7959,1024,10952,11,21.374,131,0,4768
2,rfc7959,1024,10559,11,19.663,132,0,4788
3,rfc7959,1024,10559,11,2187.763,132,0,6975
4,rfc7959,1024,9525,10,19.719,165,0,6995
5,rfc7959,1024,9525,10,18.362,165,0,7013
6,rfc7959,1024,9525,10,18.881,165,0,7032
7,rfc7959,1024,9607,10,19.869,166,0,7052
8,rfc7959,1024,9607,10,18.859,166,0,7071
9,rfc7959,1024,0,0,6000.000,0,-99,13087
10,rfc7959,1024,10959,11,872.821,269,0,13960
11,rfc7959,1024,10959,11,22.425,269,0,13982
12,rfc7959,1024,11434,12,29.071,270,0,14011
13,rfc7959,1024,11434,12,29.121,270,0,14040
14,rfc7959,1024,11668,12,5234.509,271,0,19275
15,rfc7959,1024,10090,10,20.161,349,0,19295
16,rfc7959,1024,10090,10,21.332,349,0,19316
17,rfc7959,1024,9976,10,18.036,350,0,19334
18,rfc7959,1024,9976,10,19.275,350,0,19354
19,rfc7959,1024,9976,10,2754.612,350,0,22108
20,rfc7959,1024,10135,10,2977.772,392,0,25086
21,rfc7959,1024,9937,10,22.217,436,0,25108
22,rfc7959,1024,9645,10,2344.687,437,0,27453
23,rfc7959,1024,11561,12,19.872,472,0,27473
24,rfc7959,1024,11561,12,22.693,472,0,27495
25,rfc7959,1024,11561,12,19.627,472,0,27515
26,rfc7959,1024,11647,12,22.986,473,0,27538
27,rfc7959,1024,11647,12,23.638,473,0,27562
28,rfc7959,1024,11647,12,27.239,473,0,27589
29,rfc7959,1024,12081,12,24.793,474,0,27614
30,rfc7959,1024,12081,12,19.704,474,0,27634
