run_id,window_index,t_start,mean_o22,stall_s,label
KALIBRASI_bbb_1p5m,0,0.0,3.8643,1.86,Critical
KALIBRASI_bbb_1p5m,1,10.0,3.5625,0,Good
KALIBRASI_bbb_1p5m,2,20.0,3.8419,0,Good
KALIBRASI_bbb_1p5m,3,30.0,3.8236,0,Good
KALIBRASI_bbb_1p5m,4,40.0,3.8236,0,Good
KALIBRASI_bbb_1p5m,5,50.0,3.8834,0,Good
KALIBRASI_bbb_1p5m,6,60.0,3.8693,0,Good
KALIBRASI_bbb_1p5m,7,70.0,3.8693,0,Good
KALIBRASI_bbb_1p5m,8,80.0,3.8793,0,Good
KALIBRASI_bbb_1p5m,9,90.0,3.9025,0,Good
KALIBRASI_bbb_1p5m,10,100.0,3.9025,0,Good
KALIBRASI_bbb_1p5m,11,110.0,3.9025,0,Good
KALIBRASI_bbb_1p5m,12,120.0,3.9025,0,Good
KALIBRASI_bbb_1p5m,13,130.0,3.9025,0,Good
KALIBRASI_bbb_1p5m,14,140.0,3.9025,0,Good
KALIBRASI_bbb_1p5m,15,150.0,3.9025,0,Good
KALIBRASI_bbb_1p5m,16,160.0,3.9025,0,Good
KALIBRASI_bbb_1p5m,17,170.0,3.9025,0,Good
KALIBRASI_bbb_1p5m,18,180.0,3.9025,0,Good
KALIBRASI_bbb_1p5m,19,190.0,3.9025,0,Good
KALIBRASI_bbb_1p5m,20,200.0,3.9025,0,Good
KALIBRASI_bbb_1p5m,21,210.0,3.9025,0,Good
KALIBRASI_bbb_1p5m,22,220.0,3.9025,0,Good
KALIBRASI_bbb_1p5m,23,230.0,3.9025,0,Good
KALIBRASI_bbb_1p5m,24,240.0,3.9025,0,Good
KALIBRASI_bbb_1p5m,25,250.0,3.9025,0,Good
KALIBRASI_bbb_1p5m,26,260.0,3.9025,0,Good
KALIBRASI_bbb_1p5m,27,270.0,3.9025,0,Good
KALIBRASI_bbb_1p5m,28,280.0,3.9025,0,Good
KALIBRASI_bbb_1p5m,29,290.0,3.9025,0,Good
