run_id,window_index,n_samples,rtt_samples,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,total_bytes,total_packets,active_flows,vc_indeks_slot,vc_sesi_durasi_burst,vc_sesi_n_byte,vc_sesi_n_paket,vc_sesi_n_slot_aktif,vc_sesi_pkt_cvar,vc_sesi_pkt_kurt,vc_sesi_pkt_maks,vc_sesi_pkt_mean,vc_sesi_pkt_min,vc_sesi_pkt_skew,vc_sesi_pkt_std,vc_sesi_pkt_var,vc_sesi_rasio_aktif,vc_sesi_reg_intercept,vc_sesi_reg_slope,vc_sesi_t_ke_pertama,vc_sesi_t_stlh_terakhir,vc_sesi_tp_burst,vc_sesi_tp_rata,vc_sesi_vol_cvar,vc_sesi_vol_kurt,vc_sesi_vol_maks,vc_sesi_vol_mean,vc_sesi_vol_min,vc_sesi_vol_skew,vc_sesi_vol_std,vc_sesi_vol_var,vc_slot_durasi_burst,vc_slot_n_byte,vc_slot_n_paket,vc_slot_n_slot_aktif,vc_slot_pkt_cvar,vc_slot_pkt_kurt,vc_slot_pkt_maks,vc_slot_pkt_mean,vc_slot_pkt_min,vc_slot_pkt_skew,vc_slot_pkt_std,vc_slot_pkt_var,vc_slot_rasio_aktif,vc_slot_reg_intercept,vc_slot_reg_slope,vc_slot_t_ke_pertama,vc_slot_t_stlh_terakhir,vc_slot_tp_burst,vc_slot_tp_rata,vc_slot_vol_cvar,vc_slot_vol_kurt,vc_slot_vol_maks,vc_slot_vol_mean,vc_slot_vol_min,vc_slot_vol_skew,vc_slot_vol_std,vc_slot_vol_var,vc_trend_durasi_burst,vc_trend_n_byte,vc_trend_n_paket,vc_trend_n_slot_aktif,vc_trend_pkt_cvar,vc_trend_pkt_kurt,vc_trend_pkt_maks,vc_trend_pkt_mean,vc_trend_pkt_min,vc_trend_pkt_skew,vc_trend_pkt_std,vc_trend_pkt_var,vc_trend_rasio_aktif,vc_trend_reg_intercept,vc_trend_reg_slope,vc_trend_t_ke_pertama,vc_trend_t_stlh_terakhir,vc_trend_tp_burst,vc_trend_tp_rata,vc_trend_vol_cvar,vc_trend_vol_kurt,vc_trend_vol_maks,vc_trend_vol_mean,vc_trend_vol_min,vc_trend_vol_skew,vc_trend_vol_std,vc_trend_vol_var,label
CONT_s10_bola_BigBuckBunny,11,,,0.575375,,,,,,,,,,,,,,11,122.739,12247308.0,12945.0,1019.0,0.529249,0.334395,37.0,10.850796,0.0,-0.504125,5.742769,32.979397,0.854149,824082.879673,101280.958283,0.002,0.011,0.798267,0.798182,0.554338,-0.271299,33473.0,10265.974853,0.0,-0.456225,5690.820227,32385434.85675,9.625,722120.0,875.0,93.0,0.302318,4.527807,18.0,9.020619,0.0,-1.143104,2.727099,7.43707,0.958763,-5322.324582,73341.446973,0.364,0.011,0.600204,0.577696,0.347608,4.256725,16981.0,7444.536082,0.0,-0.383067,2587.777675,6696593.292955,29.281,1622636.0,1917.0,189.0,0.887776,1.146968,37.0,6.610345,0.0,0.559798,5.868504,34.439339,0.651724,-43844.623698,51598.860206,0.708,0.011,0.443328,0.432703,0.944798,1.978953,33473.0,5595.296552,0.0,0.869638,5286.425221,27946291.621095,Good
CONT_s10_bola_BigBuckBunny,12,,,0.582552,,,,,,,,,,,,,,12,132.686,12971613.0,13737.0,1111.0,0.5278,0.351965,37.0,10.657099,0.0,-0.434392,5.624815,31.638538,0.861908,976628.105531,97681.088782,0.002,0.064,0.782094,0.781705,0.555003,-0.271003,33473.0,10063.314973,0.0,-0.374999,5585.168517,31194107.365001,9.843,724305.0,792.0,92.0,0.360003,1.656621,17.0,8.25,0.0,-0.496792,2.970026,8.821053,0.958333,7063.642851,73054.924873,0.093,0.064,0.588686,0.579444,0.411714,3.009207,19530.0,7544.84375,0.0,0.369192,3106.318282,9649213.270066,28.468,1840090.0,2116.0,236.0,0.602887,0.181501,23.0,7.296552,0.0,-0.257542,4.399,19.351199,0.813793,-171500.547347,65085.593004,1.468,0.064,0.517097,0.490691,0.655749,1.091099,23040.0,6345.137931,0.0,0.244115,4160.81828,17312408.762916,Good
CONT_s10_bola_BigBuckBunny,13,,,1.758722,,,,,,,,,,,,,,13,142.964,15227815.0,15642.0,1210.0,2.855418,1295.996645,1190.0,11.269452,0.0,35.448613,32.178992,1035.487545,0.871758,966958.919889,97861.876084,0.002,0.009,0.85212,0.852055,3.835937,1331.592527,1562991.0,10971.048271,0.0,36.175847,42084.255262,1771084540.918362,10.175,2256202.0,1905.0,99.0,6.186293,93.447649,1190.0,19.242424,3.0,9.756161,119.039274,14170.348794,1.0,257566.750871,247780.416268,0.039,0.009,1.773918,1.765589,6.868766,93.606843,1562991.0,22789.919192,3001.0,9.768089,156538.619243,24504339314.36074,29.85,3702627.0,3572.0,284.0,5.665284,284.630896,1190.0,12.232877,0.0,16.896872,69.302717,4802.866544,0.972603,-482981.810832,130411.728288,0.364,0.009,0.992329,0.980082,7.189206,285.430313,1562991.0,12680.229452,0.0,16.931765,91160.783129,8310288380.747854,Degraded
CONT_s10_bola_BigBuckBunny,14,,,0.389536,,,,,,,,,,,,,,14,152.934,15713176.0,16179.0,1281.0,2.859739,1377.312936,1190.0,10.902291,0.0,36.485229,31.177702,972.049111,0.863208,968709.98136,97833.404091,0.002,0.039,0.821959,0.821738,3.848065,1418.938484,1562991.0,10588.393531,0.0,37.308513,40744.824717,1660140741.208481,9.867,485361.0,537.0,71.0,0.905104,-0.100176,19.0,5.59375,0.0,0.733922,5.062926,25.633224,0.739583,-31977.57119,50312.121995,0.094,0.039,0.393523,0.388289,0.984311,0.721672,19590.0,5055.84375,0.0,1.051723,4976.523057,24765781.733224,30.091,3465868.0,3234.0,262.0,6.256944,282.857912,1190.0,11.113402,0.0,16.833028,69.535931,4835.245716,0.900344,-144047.575767,138488.131236,0.093,0.039,0.921436,0.917412,7.67426,283.954935,1562991.0,11910.199313,0.0,16.881156,91401.970049,8354320128.801514,Critical
CONT_s10_bola_BigBuckBunny,15,,,0.460839,,,,,,,,,,,,,,15,162.904,16287505.0,16796.0,1360.0,2.846004,1460.3844,1190.0,10.63038,0.0,37.527579,30.254108,915.311046,0.860759,1015871.606434,96937.451363,0.002,0.069,0.799858,0.799509,3.833628,1507.063429,1562991.0,10308.547468,0.0,38.422855,39519.137174,1561762202.988879,9.762,574329.0,617.0,79.0,0.699751,0.097131,20.0,6.427083,0.0,0.418265,4.497355,20.226206,0.822917,4553.731047,57660.892544,0.169,0.069,0.470665,0.459463,0.789813,0.035791,18220.0,5982.59375,0.0,0.679978,4725.128286,22326837.317434,30.115,3315892.0,3059.0,249.0,6.620314,282.504567,1190.0,10.512027,0.0,16.817445,69.592922,4843.174855,0.85567,1117432.897353,80659.324015,0.039,0.069,0.880861,0.877714,8.025783,283.704086,1562991.0,11394.817869,0.0,16.870072,91452.33569,8363529703.197737,Degraded
CONT_s10_bola_BigBuckBunny,16,,,0.460948,,,,,,,,,,,,,,16,172.874,16861742.0,17431.0,1441.0,2.827505,1543.606522,1190.0,10.400358,0.0,38.544823,29.407059,864.77514,0.859785,1091783.601875,95577.620103,0.002,0.099,0.780302,0.779846,3.816711,1595.022623,1562991.0,10060.705251,0.0,39.502818,38398.807334,1474468404.680832,9.866,574237.0,635.0,81.0,0.651223,0.147288,21.0,6.614583,0.0,0.257718,4.307569,18.555154,0.84375,2276.112838,57811.305405,0.035,0.099,0.465629,0.45939,0.77045,0.12321,18377.0,5981.635417,0.0,0.743072,4608.551301,21238745.097259,29.807,1633927.0,1789.0,231.0,0.746789,-0.040757,21.0,6.211806,0.0,0.46796,4.638905,21.519442,0.802083,-63604.886324,56552.800211,0.094,0.099,0.438535,0.435714,0.841821,0.250443,19590.0,5673.357639,0.0,0.812561,4775.952468,22809721.979663,Degraded
CONT_s10_bola_BigBuckBunny,17,,,0.265793,,,,,,,,,,,,,,17,182.949,17196534.0,17862.0,1494.0,2.843068,1623.181241,1190.0,10.07445,0.0,39.464038,28.642344,820.383845,0.84264,1199510.920155,93757.406628,0.002,0.024,0.751971,0.751864,3.85341,1681.55583,1562991.0,9699.116751,0.0,40.522704,37374.678272,1396866575.953066,9.972,334792.0,431.0,53.0,1.018977,-0.518681,18.0,4.443299,0.0,0.473531,4.527621,20.499356,0.546392,35055.232761,27883.068668,0.004,0.024,0.268586,0.267834,1.148182,3.155007,18511.0,3451.463918,0.0,1.390559,3962.910008,15704655.730455,29.807,1483358.0,1683.0,213.0,0.779324,-0.163003,21.0,5.823529,0.0,0.337376,4.538416,20.597222,0.737024,60041.323526,51230.691122,0.169,0.024,0.398123,0.395562,0.893633,0.574697,18511.0,5132.726644,0.0,0.883691,4586.772241,21038479.588211,Degraded
CONT_s10_bola_BigBuckBunny,18,,,0.318138,,,,,,,,,,,,,,18,192.921,17593067.0,18361.0,1571.0,2.843281,1703.94341,1190.0,9.82397,0.0,40.389535,27.932305,780.213644,0.840556,1335700.10313,91575.491168,0.002,0.052,0.729545,0.729341,3.870282,1768.291853,1562991.0,9413.090958,0.0,41.526916,36431.312676,1327240543.294718,9.869,396533.0,499.0,77.0,0.777908,0.315417,18.0,5.197917,0.0,0.56789,4.0435,16.34989,0.802083,-36053.455509,46640.586386,0.079,0.052,0.321437,0.317226,0.865378,2.466022,16981.0,4130.552083,0.0,1.18757,3574.487066,12776957.786732,29.913,1305562.0,1565.0,211.0,0.808323,-0.140527,21.0,5.415225,0.0,0.388156,4.377251,19.160323,0.730104,99143.71232,41051.296664,0.035,0.052,0.349162,0.34815,0.928728,1.447746,18511.0,4517.515571,0.0,1.086728,4195.542093,17602573.452014,Degraded
CONT_s10_bola_BigBuckBunny,19,,,0.187477,,,,,,,,,,,,,,19,202.682,17826657.0,18683.0,1634.0,2.870109,1781.045321,1190.0,9.507888,0.0,41.231226,27.288673,744.671654,0.831552,1494205.689888,89164.682461,0.002,0.291,0.703631,0.702615,3.920514,1853.064588,1562991.0,9072.090076,0.0,42.473853,35567.260194,1265029997.736788,9.554,233590.0,322.0,63.0,1.09177,2.119631,17.0,3.354167,0.0,1.413568,3.661979,13.410088,0.65625,7893.711431,23512.046271,0.155,0.291,0.195596,0.186872,1.181457,3.19548,13579.0,2433.229167,0.0,1.731294,2874.755545,8264219.441667,29.705,964915.0,1252.0,193.0,0.95795,0.195233,18.0,4.33218,0.0,0.741182,4.150013,17.222607,0.66782,10995.648848,33909.11522,0.004,0.291,0.259866,0.257311,1.065767,3.13755,18511.0,3338.806228,0.0,1.429235,3558.389584,12662136.434544,Degraded
CONT_s10_bola_BigBuckBunny,20,,,0.208402,,,,,,,,,,,,,,20,212.968,18089111.0,19009.0,1692.0,2.894638,1858.035083,1190.0,9.21872,0.0,42.049586,26.684859,712.081687,0.820563,1676205.866343,86528.986336,0.002,0.005,0.679505,0.679483,3.961857,1938.212447,1562991.0,8772.604753,0.0,43.401315,34755.808196,1207966203.34928,9.871,262454.0,326.0,58.0,1.204193,1.552399,18.0,3.360825,0.0,1.372754,4.047081,16.378866,0.597938,4583.730125,25572.126708,0.124,0.005,0.212707,0.209963,1.387439,1.720893,14995.0,2705.71134,0.0,1.62137,3754.00876,14092581.769974,29.916,892577.0,1147.0,198.0,1.0088,0.888479,18.0,3.968858,0.0,1.053651,4.003783,16.030277,0.685121,62581.88366,28788.191505,0.079,0.005,0.238689,0.238021,1.130579,2.218047,16981.0,3088.50173,0.0,1.468815,3491.794475,12192628.653643,Critical
