run_id,window_index,t_start,mean_o22,stall_s,label
S5A_OfForestAndMen_rep1,0,0.0,4.1919,0.886,Degraded
S5A_OfForestAndMen_rep1,1,10.0,3.9013,0,Good
S5A_OfForestAndMen_rep1,2,20.0,3.1019,1.284,Critical
S5A_OfForestAndMen_rep1,3,30.0,3.1595,0,Good
S5A_OfForestAndMen_rep1,4,40.0,3.7685,0,Good
S5A_OfForestAndMen_rep1,5,50.0,3.512,0,Good
S5A_OfForestAndMen_rep1,6,60.0,3.7423,0,Good
S5A_OfForestAndMen_rep1,7,70.0,3.7423,0,Good
S5A_OfForestAndMen_rep1,8,80.0,3.8596,0,Good
S5A_OfForestAndMen_rep1,9,90.0,3.8339,0,Good
S5A_OfForestAndMen_rep1,10,100.0,3.8079,0,Good
S5A_OfForestAndMen_rep1,11,110.0,3.8079,0,Good
S5A_OfForestAndMen_rep1,12,120.0,3.7867,0,Good
S5A_OfForestAndMen_rep1,13,130.0,3.7776,0,Good
S5A_OfForestAndMen_rep1,14,140.0,3.7776,0,Good
S5A_OfForestAndMen_rep1,15,150.0,3.7776,0,Good
S5A_OfForestAndMen_rep1,16,160.0,3.5226,0,Good
S5A_OfForestAndMen_rep1,17,170.0,3.6608,0,Good
S5A_OfForestAndMen_rep1,18,180.0,3.7423,0,Good
S5A_OfForestAndMen_rep1,19,190.0,3.7529,0,Good
S5A_OfForestAndMen_rep1,20,200.0,3.3551,0,Good
S5A_OfForestAndMen_rep1,21,210.0,3.0091,0,Good
S5A_OfForestAndMen_rep1,22,220.0,2.9276,0,Degraded
S5A_OfForestAndMen_rep1,23,230.0,3.1917,0,Good
S5A_OfForestAndMen_rep1,24,240.0,3.2903,0,Good
S5A_OfForestAndMen_rep1,25,250.0,3.7458,0,Good
S5A_OfForestAndMen_rep1,26,260.0,3.7423,0,Good
S5A_OfForestAndMen_rep1,27,270.0,3.7423,0,Good
S5A_OfForestAndMen_rep1,28,280.0,3.4979,0,Good
S5A_OfForestAndMen_rep1,29,290.0,2.9276,0,Degraded
