run_id,t_epoch,dt,delta_bytes,delta_packets,active_flows
S3B_Valkaama_rep1,1786975294.363,1.0125,0,0,0
S3B_Valkaama_rep1,1786975295.375,1.0122,3049568,2034,1
S3B_Valkaama_rep1,1786975296.388,1.0125,0,0,0
S3B_Valkaama_rep1,1786975297.4,1.0124,0,0,0
S3B_Valkaama_rep1,1786975298.421,1.0204,15000,10,1
S3B_Valkaama_rep1,1786975299.433,1.0125,3006879,2005,1
S3B_Valkaama_rep1,1786975300.446,1.0126,0,0,0
S3B_Valkaama_rep1,1786975301.458,1.0126,0,0,0
S3B_Valkaama_rep1,1786975302.471,1.0125,96000,64,1
S3B_Valkaama_rep1,1786975303.484,1.0128,2936923,1958,1
S3B_Valkaama_rep1,1786975304.496,1.0126,0,0,0
S3B_Valkaama_rep1,1786975305.509,1.0126,0,0,0
S3B_Valkaama_rep1,1786975306.523,1.0147,216000,144,1
S3B_Valkaama_rep1,1786975307.536,1.0126,3065908,2044,1
S3B_Valkaama_rep1,1786975308.552,1.0164,0,0,0
S3B_Valkaama_rep1,1786975309.565,1.0123,0,0,0
S3B_Valkaama_rep1,1786975310.576,1.0115,0,0,0
S3B_Valkaama_rep1,1786975311.588,1.0116,1570988,1048,1
S3B_Valkaama_rep1,1786975312.6,1.0118,0,0,0
S3B_Valkaama_rep1,1786975313.611,1.0118,0,0,0
S3B_Valkaama_rep1,1786975314.623,1.0118,78000,52,1
S3B_Valkaama_rep1,1786975315.638,1.0143,1647572,1099,1
S3B_Valkaama_rep1,1786975316.65,1.0127,0,0,0
S3B_Valkaama_rep1,1786975317.662,1.0116,0,0,0
S3B_Valkaama_rep1,1786975318.674,1.0117,433500,289,1
S3B_Valkaama_rep1,1786975319.687,1.0139,1092800,729,1
S3B_Valkaama_rep1,1786975320.699,1.0116,0,0,0
S3B_Valkaama_rep1,1786975321.711,1.0116,0,0,0
S3B_Valkaama_rep1,1786975322.722,1.0116,75000,50,1
S3B_Valkaama_rep1,1786975323.734,1.0118,1253561,836,1
S3B_Valkaama_rep1,1786975324.746,1.0116,0,0,0
S3B_Valkaama_rep1,1786975325.757,1.0117,0,0,0
S3B_Valkaama_rep1,1786975326.77,1.0123,352500,235,1
S3B_Valkaama_rep1,1786975327.782,1.0117,925030,617,1
S3B_Valkaama_rep1,1786975328.794,1.0121,0,0,0
